Implement|ArgumentOrder|ItemType|Star|MasterType|ItemName|DimX|DimY|typedef_a_supprimer|Validation|Module|Public|Kind_of_export
struct|0|ub|0|uint8||||0|0|TYPEDEF|1|None
struct|0|uw|0|uint16||||0|0|TYPEDEF|1|None
struct|0|u4|0|uint32||||0|0|TYPEDEF|1|None
struct|0|sb|0|sint8||||0|0|TYPEDEF|1|None
struct|0|sw|0|sint16||||0|0|TYPEDEF|1|None
struct|0|s4|0|sint32||||0|0|TYPEDEF|1|None
struct|0|bool|0|boolean||||0|0|TYPEDEF|1|None
struct|0|uint8|0|Std_ReturnType||||0|0|TYPEDEF|1|None
argret|1|Std_ReturnType|0|func_GDEI_SetEventStatus||0|0|0|0|HEADER|1|None
argin|1|uint16|0|func_GDEI_SetEventStatus|u16DftIdx|0|0|0|0|HEADER|1|None
argin|2|uint8|0|func_GDEI_SetEventStatus|u8EventStatus|0|0|0|0|HEADER|1|None
argret|1|Std_ReturnType|0|func_GDEI_GetEventStatus||0|0|0|0|HEADER|1|None
argin|1|uint16|0|func_GDEI_GetEventStatus|u16DftIdx|0|0|0|0|HEADER|1|None
argin|2|uint8|1|func_GDEI_GetEventStatus|u8EventStatusExtended|0|0|0|0|HEADER|1|None
struct|0|uint32|0|Dem_DTCGroupType||0|0|0|0|GDEXTINT|1|Module Header
struct|0|uint8|0|Dem_DTCKindType||0|0|0|0|GDEXTINT|1|Module Header
struct|0|uint8|0|Dem_ReturnControlDTCSettingType||0|0|0|0|GDEXTINT|1|Module Header
argret|1|Std_ReturnType|0|func_DisableDTCRecordUpdate||0|0|0|0|HEADER|1|None
struct|0|uint8|0|Dem_ReturnClearDTCType||0|0|0|0|GDEXTINT|1|Module Header
struct|0|uint8|0|Dem_DTCOriginType||0|0|0|0|GDEXTINT|1|Module Header
struct|0|uint8|0|Dem_ReturnSetDTCFilterType||0|0|0|0|GDEXTINT|1|Module Header
struct|0|uint8|0|Dem_FilterWithSeverityType||0|0|0|0|GDEXTINT|1|Module Header
argret|1|Std_ReturnType|0|func_EnableDTCRecordUpdate||0|0|0|0|HEADER|1|None
argret|1|Dem_ReturnControlDTCSettingType|0|func_GDEI_DisableDTCSetting||0|0|0|0|HEADER|1|None
argin|1|Dem_DTCGroupType|0|func_GDEI_DisableDTCSetting|u32DTCGroup|0|0|0|0|HEADER|1|None
argin|2|Dem_DTCKindType|0|func_GDEI_DisableDTCSetting|u8DTCKind|0|0|0|0|HEADER|1|None
struct|0|uint8|0|Dem_DTCSeverityType||0|0|0|0|GDEXTINT|1|Module Header
struct|0|uint8|0|Dem_FilterForFDCType||0|0|0|0|GDEXTINT|1|Module Header
argret|1|Dem_ReturnSetDTCFilterType|0|func_GDEI_SetDTCFilter||0|0|0|0|HEADER|1|None
argin|1|uint8|0|func_GDEI_SetDTCFilter|u8DTCStatusMask|0|0|0|0|HEADER|1|None
argin|2|Dem_DTCKindType|0|func_GDEI_SetDTCFilter|u8DTCKind|0|0|0|0|HEADER|1|None
argin|3|Dem_DTCOriginType|0|func_GDEI_SetDTCFilter|u8DTCOrigin|0|0|0|0|HEADER|1|None
argin|4|Dem_FilterWithSeverityType|0|func_GDEI_SetDTCFilter|u8FilterWithSeverity|0|0|0|0|HEADER|1|None
argin|5|Dem_DTCSeverityType|0|func_GDEI_SetDTCFilter|u8DTCSeverityMask|0|0|0|0|HEADER|1|None
argin|6|Dem_FilterForFDCType|0|func_GDEI_SetDTCFilter|u8FilterForFaultDetectionCounter|0|0|0|0|HEADER|1|None
struct|0|uint8|0|Dem_ReturnGetNumberOfFilteredDTCType||0|0|0|0|GDEXTINT|1|Module Header
argret|1|Dem_ReturnGetNumberOfFilteredDTCType|0|func_GDEI_GetNumberOfFilteredDTC||0|0|0|0|HEADER|1|None
argin|1|uint16|1|func_GDEI_GetNumberOfFilteredDTC|u16NumberOfFilteredDTC|0|0|0|0|HEADER|1|None
struct|0|uint8|0|Dem_ReturnGetNextFilteredDTCType||0|0|0|0|GDEXTINT|1|Module Header
argret|1|Dem_ReturnGetNextFilteredDTCType|0|func_GDEI_GetNextFilteredDTC||0|0|0|0|HEADER|1|None
argin|1|uint32|1|func_GDEI_GetNextFilteredDTC|u32DTC|0|0|0|0|HEADER|1|None
argin|2|uint8|1|func_GDEI_GetNextFilteredDTC|u8DTCStatus|0|0|0|0|HEADER|1|None
