Name|Type|Requirement
GDU_bGUSCfg|0|VEMS_E_10_03081_001.01
GDU_bGUSCfg|0|VEMS_E_10_03081_002.01
GDU_bGUSCfg|0|VEMS_E_10_03081_003.01
GDU_bGUSCfg|0|VEMS_E_10_03081_004.01
GDU_bGUSCfg|0|VEMS_E_10_03081_005.01
GDU_bGUSCfg|0|VEMS_E_10_03081_006.01
GDU_bInhGUSCfg_C|0|VEMS_E_10_03081_001.01
GDU_bInhGUSCfg_C|0|VEMS_E_10_03081_002.01
GDU_bInhGUSCfg_C|0|VEMS_E_10_03081_003.01
GDU_bInhGUSCfg_C|0|VEMS_E_10_03081_004.01
GDU_bInhGUSCfg_C|0|VEMS_E_10_03081_005.01
GDU_bInhGUSCfg_C|0|VEMS_E_10_03081_006.01
GDU_astrDftUnit|0|VEMS_E_10_03081_004.01
GDU_astrDftUnit|0|VEMS_E_10_03081_005.01
GDU_astrDftUnit|0|VEMS_E_10_03081_006.01
GDU_au16CtDec|0|PTS_R_5444560_001.01
GDU_au16CtDec|0|PTS_R_5444560_002.01
GDU_au16CtDec|0|PTS_R_5444560_003.01
GDU_au16CtDec|0|VEMS_E_10_03081_001.02
GDU_au16CtDec|0|VEMS_E_10_03081_002.02
GDU_au16CtDec|0|VEMS_E_10_03081_003.02
GDU_au16CtInc|0|PTS_R_5444560_001.01
GDU_au16CtInc|0|PTS_R_5444560_002.01
GDU_au16CtInc|0|PTS_R_5444560_003.01
GDU_au16CtInc|0|VEMS_E_10_03081_001.02
GDU_au16CtInc|0|VEMS_E_10_03081_002.02
GDU_au16CtInc|0|VEMS_E_10_03081_003.02
GDU_bRstDftCal_C|0|PTS_R_5444560_001.01
GDU_bRstDftCal_C|0|PTS_R_5444560_002.01
GDU_bRstDftCal_C|0|PTS_R_5444560_003.01
GDU_bRstDftCal_C|0|VEMS_E_10_03081_001.02
GDU_bRstDftCal_C|0|VEMS_E_10_03081_002.02
GDU_bRstDftCal_C|0|VEMS_E_10_03081_003.02
GD_EveKOn_GDU|1|PTS_R_5444560_001.01
GD_EveKOn_GDU|1|PTS_R_5444560_002.01
GD_EveKOn_GDU|1|PTS_R_5444560_003.01
GD_EveKOn_GDU|1|VEMS_E_10_03081_001.02
GD_EveKOn_GDU|1|VEMS_E_10_03081_002.02
GD_EveKOn_GDU|1|VEMS_E_10_03081_003.02
GD_EveKOn_GDU|1|VEMS_E_10_03081_004.01
GD_EveKOn_GDU|1|VEMS_E_10_03081_005.01
GD_astrDftEep|0|VEMS_E_10_03081_004.01
GD_astrDftEep|0|VEMS_E_10_03081_005.01
GD_astrDftEep|0|VEMS_E_10_03081_006.01
GD_astrDftEep|0|PTS_R_5444560_001.01
GD_astrDftEep|0|PTS_R_5444560_002.01
GD_astrDftEep|0|PTS_R_5444560_003.01
GDU_astrDftUnit|0|PTS_R_5444560_001.01
GDU_astrDftUnit|0|PTS_R_5444560_002.01
GDU_astrDftUnit|0|PTS_R_5444560_003.01
GDU_au16CtDec|0|VEMS_E_10_03081_004.01
GDU_au16CtDec|0|VEMS_E_10_03081_005.01
GDU_au16CtDec|0|VEMS_E_10_03081_006.01
GDU_au16CtInc|0|VEMS_E_10_03081_004.01
GDU_au16CtInc|0|VEMS_E_10_03081_005.01
GDU_au16CtInc|0|VEMS_E_10_03081_006.01
GDU_bRstDftCal_C|0|VEMS_E_10_03081_004.01
GDU_bRstDftCal_C|0|VEMS_E_10_03081_005.01
GDU_bRstDftCal_C|0|VEMS_E_10_03081_006.01
GD_astrDftEep|0|VEMS_E_10_03081_001.02
GD_astrDftEep|0|VEMS_E_10_03081_002.02
GD_EveKOn_GDU|1|VEMS_E_10_03081_006.01
GD_EveRst_GDU|1|PTS_R_5444560_001.01
GD_EveRst_GDU|1|PTS_R_5444560_002.01
GD_EveRst_GDU|1|PTS_R_5444560_003.01
GD_EveRst_GDU|1|VEMS_E_10_03081_001.02
GD_EveRst_GDU|1|VEMS_E_10_03081_002.02
GD_EveRst_GDU|1|VEMS_E_10_03081_003.02
GD_EveRst_GDU|1|VEMS_E_10_03081_004.01
GD_EveRst_GDU|1|VEMS_E_10_03081_005.01
GD_EveRst_GDU|1|VEMS_E_10_03081_006.01
GD_EveRstDft_GDU|1|PTS_R_5444560_001.01
GD_EveRstDft_GDU|1|PTS_R_5444560_002.01
GD_EveRstDft_GDU|1|PTS_R_5444560_003.01
GD_EveRstDft_GDU|1|VEMS_E_10_03081_001.02
GD_EveRstDft_GDU|1|VEMS_E_10_03081_002.02
GD_EveRstDft_GDU|1|VEMS_E_10_03081_003.02
GD_EveRstDft_GDU|1|VEMS_E_10_03081_004.01
GD_EveRstDft_GDU|1|VEMS_E_10_03081_005.01
GD_EveRstDft_GDU|1|VEMS_E_10_03081_006.01
GD_EveRstDftObd_GDU|1|PTS_R_5444560_001.01
GD_EveRstDftObd_GDU|1|PTS_R_5444560_002.01
GD_astrDftEep|0|VEMS_E_10_03081_003.02
GDU_astrDftUnit|0|VEMS_E_10_03081_001.02
GDU_astrDftUnit|0|VEMS_E_10_03081_002.02
GDU_astrDftUnit|0|VEMS_E_10_03081_003.02
GD_EveRstDftObd_GDU|1|PTS_R_5444560_003.01
GD_EveRstDftObd_GDU|1|VEMS_E_10_03081_001.02
GD_EveRstDftObd_GDU|1|VEMS_E_10_03081_002.02
GD_EveRstDftObd_GDU|1|VEMS_E_10_03081_003.02
GD_EveRstDftObd_GDU|1|VEMS_E_10_03081_004.01
GD_EveRstDftObd_GDU|1|VEMS_E_10_03081_005.01
GD_EveRstDftObd_GDU|1|VEMS_E_10_03081_006.01
GDU_vidSdlSlow|1|PTS_R_5444560_001.01
GDU_vidSdlSlow|1|PTS_R_5444560_002.01
GDU_vidSdlSlow|1|PTS_R_5444560_003.01
GDU_vidSdlSlow|1|VEMS_E_10_03081_001.02
GDU_vidSdlSlow|1|VEMS_E_10_03081_002.02
GDU_vidSdlSlow|1|VEMS_E_10_03081_003.02
GDU_vidSdlSlow|1|VEMS_E_10_03081_004.01
GDU_vidSdlSlow|1|VEMS_E_10_03081_005.01
GDU_vidSdlSlow|1|VEMS_E_10_03081_006.01
