Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GD_EveRst_IuprGenDen|B|();|SCH.1|IUPRGENDEN|1|PTS_DOC_5497341||||0|0|0|0|Evénement reset du calculateur.|
IUPRGENDEN_vidF01_ObdCond|D|();|FCT1.4|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction gère le calcul du Dénominateur Général de l’IUPR ainsi que le Compteur de démarrages OBD.|
IUPRGENDEN_vidF01_SinceEngStrt|D|();|FCT1.6|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction gère le compteur de temps depuis le démarrage moteur IUPR_tiSinceEngStrt|
IUPRGENDEN_vidF02_bObdStrt|C|();|FCT1.2|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction crée un booléen qui s’active quand le régime moteur est supérieur à un seuil calibrable (GOBD_nObdStrtThd_C) correspondant au régime de ralenti -150tr/min. Cela correspond au critère d’un démarrage OBD.|
IUPRGENDEN_vidF02_ObdStrt|D|();|FCT1.5|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction calcule le nombre de démarrage OBD (IUPR_ctObdStrt).|
IUPRGENDEN_vidF02_VehSpdOver40|D|();|FCT1.7|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction gère le compteur de temps passé avec la vitesse véhicule supérieure à 40 km/h IUPR_tiVehSpdOver40|
IUPRGENDEN_vidF03_GenDen|D|();|FCT1.3|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction comprend une sous-fonction F01_IUPR_OBDCOND dans laquelle est calculé le Dénominateur Général et le Compteur de démarrages OBD. Elle peut être inhiber et les paramètres de sortie figés si FRM_bFrzOBDGenDen provenant du GAR est activé.|
IUPRGENDEN_vidF03_VehIdle|D|();|FCT1.8|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction gère le compteur de temps passé au ralenti|
IUPRGENDEN_vidF04_ReInitPrm|C|();|FCT1.9|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Cette fonction est appelée à chaque début de DC Global qui correspond aussi au démarrage moteur (hors calage et arrêts « Stop&Start ») et permet de ré-initialiser à 0 chaque compteurs de temps|
IUPRGENDEN_vidInitOutput|B|();|FCT1.1|IUPRGENDEN|0|PTS_DOC_5497341||||0|0|0|0|Initialisation des variables internes et sorties.|
IUPRGENDEN_vidMngEveGlbDCStrt|C|();|SCH.4|IUPRGENDEN|1|PTS_DOC_5497341||||0|0|0|0|Evenement Global DC Start|
IUPRGENDEN_vidMngEveSdlFast|C|();|SCH.3|IUPRGENDEN|1|PTS_DOC_5497341||||0|0|0|0|Evenement rapide|
IUPRGENDEN_vidMngEveSdlSlow|C|();|SCH.2|IUPRGENDEN|1|PTS_DOC_5497341||||0|0|0|0|Evenement lent|
