Name|Type|Requirement
GOBD_nObdStrtThd_C|0|VEMS_R_11_03253_001.02
IUPR_bRstPrm_C|0|VEMS_R_11_03253_001.02
IUPR_tiObdStrtThd_C|0|VEMS_R_11_03253_001.02
Iupr_ambient_temp_thresh|0|VEMS_R_11_03253_001.02
Iupr_gen_denom_cumul_delay|0|VEMS_R_11_03253_001.02
Iupr_gen_denom_idle_delay|0|VEMS_R_11_03253_001.02
Iupr_gen_denom_over_40kph_delay|0|VEMS_R_11_03253_001.02
Iupr_pressure_thresh|0|VEMS_R_11_03253_001.02
Iupr_vitesse_veh_idle_thresh|0|VEMS_R_11_03253_001.02
Iupr_vitesse_vehicule_thresh|0|VEMS_R_11_03253_001.02
GOBD_nObdStrtThd_C|0|VEMS_R_11_03253_002.01
IUPR_bRstPrm_C|0|VEMS_R_11_03253_002.01
IUPR_tiObdStrtThd_C|0|VEMS_R_11_03253_002.01
Iupr_ambient_temp_thresh|0|VEMS_R_11_03253_002.01
Iupr_gen_denom_cumul_delay|0|VEMS_R_11_03253_002.01
Iupr_gen_denom_idle_delay|0|VEMS_R_11_03253_002.01
Iupr_gen_denom_over_40kph_delay|0|VEMS_R_11_03253_002.01
Iupr_pressure_thresh|0|VEMS_R_11_03253_002.01
Iupr_vitesse_veh_idle_thresh|0|VEMS_R_11_03253_002.01
Iupr_vitesse_vehicule_thresh|0|VEMS_R_11_03253_002.01
GOBD_nObdStrtThd_C|0|PTS_R_5497341_001.01
GOBD_nObdStrtThd_C|0|PTS_R_5497341_002.01
GOBD_nObdStrtThd_C|0|PTS_R_5497341_003.01
Iupr_ambient_temp_thresh|0|PTS_R_5497341_001.01
Iupr_ambient_temp_thresh|0|PTS_R_5497341_002.01
Iupr_ambient_temp_thresh|0|PTS_R_5497341_003.01
IUPR_bRstPrm_C|0|PTS_R_5497341_001.01
GD_EveRst_IuprGenDen|1|PTS_R_5497341_001.01
GD_EveRst_IuprGenDen|1|PTS_R_5497341_002.01
GD_EveRst_IuprGenDen|1|PTS_R_5497341_003.01
GD_EveRst_IuprGenDen|1|VEMS_R_11_03253_001.02
GD_EveRst_IuprGenDen|1|VEMS_R_11_03253_002.01
IUPRGENDEN_vidMngEveGlbDCStrt|1|PTS_R_5497341_001.01
IUPRGENDEN_vidMngEveGlbDCStrt|1|PTS_R_5497341_002.01
IUPRGENDEN_vidMngEveGlbDCStrt|1|PTS_R_5497341_003.01
IUPR_bRstPrm_C|0|PTS_R_5497341_002.01
IUPR_bRstPrm_C|0|PTS_R_5497341_003.01
Iupr_gen_denom_cumul_delay|0|PTS_R_5497341_001.01
Iupr_gen_denom_cumul_delay|0|PTS_R_5497341_002.01
Iupr_gen_denom_cumul_delay|0|PTS_R_5497341_003.01
Iupr_gen_denom_idle_delay|0|PTS_R_5497341_001.01
Iupr_gen_denom_idle_delay|0|PTS_R_5497341_002.01
Iupr_gen_denom_idle_delay|0|PTS_R_5497341_003.01
Iupr_gen_denom_over_40kph_delay|0|PTS_R_5497341_001.01
Iupr_gen_denom_over_40kph_delay|0|PTS_R_5497341_002.01
Iupr_gen_denom_over_40kph_delay|0|PTS_R_5497341_003.01
Iupr_pressure_thresh|0|PTS_R_5497341_001.01
Iupr_pressure_thresh|0|PTS_R_5497341_002.01
Iupr_pressure_thresh|0|PTS_R_5497341_003.01
IUPR_tiObdStrtThd_C|0|PTS_R_5497341_001.01
IUPR_tiObdStrtThd_C|0|PTS_R_5497341_002.01
IUPR_tiObdStrtThd_C|0|PTS_R_5497341_003.01
Iupr_vitesse_veh_idle_thresh|0|PTS_R_5497341_001.01
Iupr_vitesse_veh_idle_thresh|0|PTS_R_5497341_002.01
Iupr_vitesse_veh_idle_thresh|0|PTS_R_5497341_003.01
Iupr_vitesse_vehicule_thresh|0|PTS_R_5497341_001.01
Iupr_vitesse_vehicule_thresh|0|PTS_R_5497341_002.01
Iupr_vitesse_vehicule_thresh|0|PTS_R_5497341_003.01
IUPRGENDEN_vidMngEveGlbDCStrt|1|VEMS_R_11_03253_001.02
IUPRGENDEN_vidMngEveGlbDCStrt|1|VEMS_R_11_03253_002.01
IUPRGENDEN_vidMngEveSdlFast|1|PTS_R_5497341_001.01
IUPRGENDEN_vidMngEveSdlFast|1|PTS_R_5497341_002.01
IUPRGENDEN_vidMngEveSdlFast|1|PTS_R_5497341_003.01
IUPRGENDEN_vidMngEveSdlFast|1|VEMS_R_11_03253_001.02
IUPRGENDEN_vidMngEveSdlFast|1|VEMS_R_11_03253_002.01
IUPRGENDEN_vidMngEveSdlSlow|1|PTS_R_5497341_001.01
IUPRGENDEN_vidMngEveSdlSlow|1|PTS_R_5497341_002.01
IUPRGENDEN_vidMngEveSdlSlow|1|PTS_R_5497341_003.01
IUPRGENDEN_vidMngEveSdlSlow|1|VEMS_R_11_03253_001.02
IUPRGENDEN_vidMngEveSdlSlow|1|VEMS_R_11_03253_002.01
