Name|Type|Requirement
IUPR_ctDenGrpRat|0|VEMS_R_10_06318_001.01
IUPR_ctDenGrpRat|0|VEMS_R_10_06318_002.01
IUPR_ctDenGrpRat|0|VEMS_R_10_06318_004.01
IUPR_ctDenGrpRat|0|VEMS_R_10_06318_005.01
IUPR_ctDenRat|0|VEMS_R_10_06318_001.01
IUPR_ctDenRat|0|VEMS_R_10_06318_004.01
IUPR_ctDenRat|0|VEMS_R_10_06318_005.01
IUPR_ctNumGrpRat|0|VEMS_R_10_06318_001.01
IUPR_ctNumGrpRat|0|VEMS_R_10_06318_002.01
IUPR_ctNumGrpRat|0|VEMS_R_10_06318_004.01
IUPR_ctNumGrpRat|0|VEMS_R_10_06318_005.01
IUPR_ctNumRat|0|VEMS_R_10_06318_001.01
IUPR_ctNumRat|0|VEMS_R_10_06318_002.01
IUPR_ctNumRat|0|VEMS_R_10_06318_004.01
IUPR_ctNumRat|0|VEMS_R_10_06318_005.01
IUPR_ctDenRat|0|VEMS_R_10_06318_002.01
IUPR_ctDenGrpRat|0|VEMS_R_10_06318_003.02
IUPR_ctNumGrpRat|0|VEMS_R_10_06318_003.02
IUPR_ctDenRat|0|VEMS_R_10_06318_006.01
IUPR_ctNumRat|0|VEMS_R_10_06318_006.01
IUPR_idxDftRat_C|0|VEMS_R_10_06318_001.01
IUPR_idxDftRat_C|0|VEMS_R_10_06318_002.01
IUPR_idxDftRat_C|0|VEMS_R_10_06318_004.01
IUPR_idxDftRat_C|0|VEMS_R_10_06318_005.01
IUPR_idxGrpRat_C|0|VEMS_R_10_06318_001.01
IUPR_idxGrpRat_C|0|VEMS_R_10_06318_002.01
IUPR_idxGrpRat_C|0|VEMS_R_10_06318_004.01
IUPR_idxGrpRat_C|0|VEMS_R_10_06318_005.01
Iupr_DenChoiceRat_C|0|VEMS_R_10_06318_001.01
Iupr_DenChoiceRat_C|0|VEMS_R_10_06318_002.01
Iupr_DenChoiceRat_C|0|VEMS_R_10_06318_004.01
Iupr_DenChoiceRat_C|0|VEMS_R_10_06318_005.01
IUPR_idxDftRat_C|0|VEMS_R_10_06318_006.01
IUPR_idxGrpRat_C|0|VEMS_R_10_06318_006.01
Iupr_DenChoiceRat_C|0|VEMS_R_10_06318_006.01
GD_EveRst_IuprRatio|1|VEMS_R_10_06318_001.01
GD_EveRst_IuprRatio|1|VEMS_R_10_06318_002.01
GD_EveRst_IuprRatio|1|VEMS_R_10_06318_003.02
GD_EveRst_IuprRatio|1|VEMS_R_10_06318_004.01
IUPR_ctDenGrpRat|0|VEMS_R_10_06318_006.01
IUPR_ctNumGrpRat|0|VEMS_R_10_06318_006.01
IUPR_ctDenRat|0|VEMS_R_10_06318_003.02
IUPR_ctNumRat|0|VEMS_R_10_06318_003.02
IUPR_idxDftRat_C|0|VEMS_R_10_06318_003.02
IUPR_idxGrpRat_C|0|VEMS_R_10_06318_003.02
Iupr_DenChoiceRat_C|0|VEMS_R_10_06318_003.02
GD_EveRst_IuprRatio|1|VEMS_R_10_06318_005.01
GD_EveRst_IuprRatio|1|VEMS_R_10_06318_006.01
IUPRRATIO_vidMngEveSdlSlow|1|VEMS_R_10_06318_001.01
IUPRRATIO_vidMngEveSdlSlow|1|VEMS_R_10_06318_002.01
IUPRRATIO_vidMngEveSdlSlow|1|VEMS_R_10_06318_003.02
IUPRRATIO_vidMngEveSdlSlow|1|VEMS_R_10_06318_004.01
IUPRRATIO_vidMngEveSdlSlow|1|VEMS_R_10_06318_005.01
IUPRRATIO_vidMngEveSdlSlow|1|VEMS_R_10_06318_006.01
