Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acq_excam_tooth_det_upvb0|boolean|HEADER|1|0|0|Acq_excam_tooth_det_upvb0|0|0|Phys|bool|2|0||HEADER|HEADER||Acq_excam_tooth_det_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Acq_excam_tooth_det_vld_upvb0|boolean|HEADER|1|0|0|Acq_excam_tooth_det_vld_upvb0|0|0|Phys|bool|1|1|0|HEADER|HEADER||Acq_excam_tooth_det_vld_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Acq_incam_tooth_det_upvb0|boolean|HEADER|1|0|0|Acq_incam_tooth_det_upvb0|0|0|Phys|bool|2|0||HEADER|HEADER||Acq_incam_tooth_det_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Acq_incam_tooth_det_vld_upvb0|boolean|HEADER|1|0|0|Acq_incam_tooth_det_vld_upvb0|0|0|Phys|bool|2|0|0|HEADER|HEADER||Acq_incam_tooth_det_vld_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DEF_IUPR_EX_CAM_DENOM_OK|uint8|IUPRSPCDEN|1|0|0|DEF_IUPR_EX_CAM_DENOM_OK|0|0|Phys|-||||IUPRSPCDEN|IUPRSPCDEN||DEF_IUPR_EX_CAM_DENOM_OK||3||||||||0|1|||6|0|0|0||0|||||0|
DEF_IUPR_EX_VLV_DENOM_OK|uint8|IUPRSPCDEN|1|0|0|DEF_IUPR_EX_VLV_DENOM_OK|0|0|Phys|-||||IUPRSPCDEN|IUPRSPCDEN||DEF_IUPR_EX_VLV_DENOM_OK||3||||||||0|1|||4|0|0|0||0|||||0|
DEF_IUPR_GEN_DENOM_OK|uint8|HEADER|1|0|0|DEF_IUPR_GEN_DENOM_OK|0|0|Phys|-||||HEADER|HEADER||DEF_IUPR_GEN_DENOM_OK||3||||||||0|1|||0|0|0|0||0|||||0|
DEF_IUPR_IN_CAM_DENOM_OK|uint8|IUPRSPCDEN|1|0|0|DEF_IUPR_IN_CAM_DENOM_OK|0|0|Phys|-||||IUPRSPCDEN|IUPRSPCDEN||DEF_IUPR_IN_CAM_DENOM_OK||3||||||||0|1|||5|0|0|0||0|||||0|
DEF_IUPR_IN_VLV_DENOM_OK|uint8|IUPRSPCDEN|1|0|0|DEF_IUPR_IN_VLV_DENOM_OK|0|0|Phys|-||||IUPRSPCDEN|IUPRSPCDEN||DEF_IUPR_IN_VLV_DENOM_OK||3||||||||0|1|||3|0|0|0||0|||||0|
DEF_IUPR_PSPG_DENOM_OK|uint8|IUPRSPCDEN|1|0|0|DEF_IUPR_PSPG_DENOM_OK|0|0|Phys|-||||IUPRSPCDEN|IUPRSPCDEN||DEF_IUPR_PSPG_DENOM_OK||3||||||||0|1|||7|0|0|0||0|||||0|
DEF_IUPR_TCO_DENOM_OK|uint8|IUPRSPCDEN|1|0|0|DEF_IUPR_TCO_DENOM_OK|0|0|Phys|-||||IUPRSPCDEN|IUPRSPCDEN||DEF_IUPR_TCO_DENOM_OK||3||||||||0|1|||1|0|0|0||0|||||0|
