Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
IUPRSPCDEN_bF01_tCoSen|C|Func_F01_tCoSen|FCT1.5|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Cette fonction produit le critère d’incrémentation du dénominateur spécifique « ColdStart » pour les défauts du capteur température d’eau.|
IUPRSPCDEN_bF06_pSpgSen|B|Func_F06_pSpgSen|FCT1.8|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Cette fonction produit le critère d’incrémentation du dénominateur spécifique « BP » pour les diagnostics de la suralimentation.|
IUPRSPCDEN_bF07_tCoDiag|A|Func_bF07_tCoDiag|FCT1.9|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Cette fonction produit le critère d'incrémentation du dénominateur spécifique diagnostic "cold start" validés|
IUPRSPCDEN_bF0x_XxCmSen|B|Func_XxCmSen|FCT1.7|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Cette fonction produit le critère d’incrémentation du dénominateur spécifique « VVT » pour les défauts du capteur arbre à cames admission. Cette fonction est appelée deux fois avec des paramêtres différents…|
IUPRSPCDEN_bF0x_XxVlv|B|Func_XxVlv|FCT1.6|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Cette fonction produit le critère d’incrémentation du dénominateur spécifique « VVT » pour les défauts de la VVT admission. Cette fonction est appelée deux fois avec des paramêtres différents.|
IuprSpcDen_EveRst|B|();|SCH.1|IUPRSPCDEN|1|V02 NT 11 03254||||0|0|0|0|Fonction appelée à l'initialisation du calculateur.|
IuprSpcDen_GlbDCStrt|B|();|SCH.2|IUPRSPCDEN|1|V02 NT 11 03254||||0|0|0|0|Fonction appelée lors de la réinitialisation lors d'un nouveau DC global.|
IuprSpcDen_SdlSlow|B|();|SCH.3|IUPRSPCDEN|1|V02 NT 11 03254||||0|0|0|0|Calcul des conditions d'incrémentation des dénominateurs spécifiques à la récurrence du moniteur lent de la fonction GD|
IUPRSPCDEN_vidF01_Ini|B|();|FCT1.1|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Fonction d'initialisation appelée soir sur un événement Reset au sur un événement DC global.|
IUPRSPCDEN_vidF02_ColdStrtCdn|A|();|FCT1.3|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Détection du démarrage à froid|
IUPRSPCDEN_vidF03_ClcnIncCdn|A|();|FCT1.4|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Calcul des conditions d'incrémentation des dénominateurs spécifiques à la récurrence du moniteur lent de la fonction GD.|
IUPRSPCDEN_vidInternalValueInit|B|();|FCT1.2|IUPRSPCDEN|0|V02 NT 11 03254||||0|0|0|0|Fonction d'initialisation appelée uniquement sur un événement Reset|
