Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1|||||||V02 NT 10 08914|0|1||||1|0|0||0|1|15|1|15|0|
CoReqVeh_stNetwEl|uint8|HEADER|1|0|0|CoReqVeh_stNetwEl|0|0|Phys|-|1|1|0|FHCAN|FHCAN||CoReqVeh_stNetwEl||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
DIAGCAN_bIntegratioElectronique|boolean|HEADER|1|0|0|DIAGCAN_bIntegratioElectronique|0|0|Phys|bool|2|0||DIAGCAN|DIAGCAN||DIAGCAN_bIntegratioElectronique||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bArchiCf|boolean|HEADER|1|0|0|Ext_bArchiCf|0|0|Phys|bool|2|0||Gestion des consignes de couple|Gestion des consignes de couple||Ext_bArchiCf||1|||||||V02 NT 10 08914|0|1||||1|0|0||0|0|1|0|1|0|
Ext_noJDD|uint8|HEADER|1|0|0|Ext_noJDD|0|0|Phys|-|1|1|0|FHCAN|FHCAN||Ext_noJDD||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
Ext_stJDDAnsw|uint8|HEADER|1|0|0|Ext_stJDDAnsw|0|0|Phys|s.u.|1|1|0|ISCAN|ISCAN||Ext_stJDDAnsw||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
FRM_FRM_ACVMODBSIFAIL|uint16|HEADER|1|0|0|FRM_FRM_ACVMODBSIFAIL|0|0|Phys|-|||||||FRM_FRM_ACVMODBSIFAIL||3|||||||V02 NT 10 08914|0|1|||0|0|0|0||0|||||0|
GD_DFT_NB|uint16|HEADER|1|0|0|GD_DFT_NB|0|0|Phys|-|||||||GD_DFT_NB||3|||||||V02 NT 10 08914|0|1|||350|0|0|0||0|||||0|
GD_NoDTC_C|uint32|HEADER|1|GD_DFT_NB|0|GD_NoDTC_C|0|0|Hexa|-||||MEM|MEM||GD_NoDTC_C||2|||||||NONE|1|1||||1|0|0|Code défaut générique associé à la défaillance concernée|0|0|FFFFFFFF|||0|
GD_SampleTiFast_SC|uint8|HEADER|1|0|0|GD_SampleTiFast_SC|0|0|Phys|-|||||||GD_SampleTiFast_SC||3|||||||V02 NT 10 08914|0|1|||10|0|0|0||0|||||0|
Jbsi_abstDTCNoCxt|boolean|JDD|0|1|JBSI_NB_CTXT|Jbsi_abstDTCNoCxt|0|0|Phys|bool|2|0||JDD|JDD||Jbsi_abstDTCNoCxt||1|||||||V02 NT 10 08914|0|1||||0|0|0||0|0|1|0|1|0|
Jbsi_ack_bsi|boolean|JDD|0|0|0|Jbsi_ack_bsi|0|0|Phys|bool|2|0||JDD|JDD||Jbsi_ack_bsi||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
JBSI_ACK_CMM_55F|uint8|JDD|1|0|0|JBSI_ACK_CMM_55F|0|0|Phys|-|||||||JBSI_ACK_CMM_55F||3|||||||V02 NT 10 08914|0|1|||136|0|0|0||0|||||0|
JBSI_ACK_CMM_772|uint8|JDD|1|0|0|JBSI_ACK_CMM_772|0|0|Phys|-|||||||JBSI_ACK_CMM_772||3|||||||V02 NT 10 08914|0|1|||8|0|0|0||0|||||0|
Jbsi_acq_trame55F|uint8|HEADER|1|0|0|Jbsi_acq_trame55F|0|0|Phys|-|1|1|0|Divers|Divers||Jbsi_acq_trame55F||1|||||||V02 NT 10 08914|0|1||||1|0|0||0|0|255|0|255|0|
JBSI_ANTICIPATION|bool|JDD|1|0|0|Jbsi_etat_rcd|0|1|Phys|bool|2|1||Divers|Divers||JBSI_ANTICIPATION||1||||||||0|1||||1|0|0||0|||||0|
JBSI_ATTENTE_ACQUITTEMENT|bool|JDD|0|0|0|Jbsi_etat_automate|0|4|Phys|bool|2|4||JDD|JDD||JBSI_ATTENTE_ACQUITTEMENT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
JBSI_ATTENTE_ENVOI_TRAME_1|bool|JDD|0|0|0|Jbsi_etat_automate|0|1|Phys|bool|2|1||JDD|JDD||JBSI_ATTENTE_ENVOI_TRAME_1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
JBSI_ATTENTE_ENVOI_TRAME_2|bool|JDD|0|0|0|Jbsi_etat_automate|0|2|Phys|bool|2|2||JDD|JDD||JBSI_ATTENTE_ENVOI_TRAME_2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
JBSI_ATTENTE_ENVOI_TRAME_3|bool|JDD|0|0|0|Jbsi_etat_automate|0|3|Phys|bool|2|3||JDD|JDD||JBSI_ATTENTE_ENVOI_TRAME_3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
