Name|Type|Requirement
CALL_DftUnvalTypCc_NameVar|1|VEMS_R_10_08914_001.01
CALL_FrfRecTypCc_NameVar|1|VEMS_R_10_08914_001.01
CALL_StPresTypCc_NameVar|1|VEMS_R_10_08914_001.01
GD_noDTCTypCc_NameVar|0|VEMS_R_10_08914_001.01
JDD_vidDataArchi2010|1|VEMS_R_09_08914_012.01
JDD_vidFrzDataAEE2010|1|VEMS_R_09_08914_006.01
JBSI_ANTICIPATION|0|VEMS_R_10_08914_001.01
Jbsi_autorise_fin_power_latch|0|VEMS_R_10_08914_001.01
Jbsi_calib_tempo_envoi_trame|0|VEMS_R_10_08914_001.01
Jbsi_calib_tentative_envoi|0|VEMS_R_10_08914_001.01
Jbsi_calib_tentative_envoi_proc|0|VEMS_R_10_08914_001.01
Jbsi_calib_time_out|0|VEMS_R_10_08914_001.01
Jbsi_code_defaut|0|VEMS_R_10_08914_001.01
Jbsi_engine_air_load|0|VEMS_R_10_08914_001.01
Jbsi_etat_alimentation|0|VEMS_R_10_08914_001.01
Jbsi_etat_dtc|0|VEMS_R_10_08914_001.01
Jbsi_etat_principal_sev|0|VEMS_R_10_08914_001.01
Jbsi_etat_rcd|0|VEMS_R_10_08914_001.01
Jbsi_etat_reseau_electrique|0|VEMS_R_10_08914_001.01
Jbsi_info_moteur_therm|0|VEMS_R_10_08914_001.01
Jbsi_kilometrage|0|VEMS_R_10_08914_001.01
Jbsi_Lbd_closed_loop|0|VEMS_R_10_08914_001.01
Jbsi_Correct_lente|0|VEMS_R_10_08914_001.01
Jbsi_Ld_feedback|0|VEMS_R_10_08914_001.01
GD_EveRst_GJDD|1|PTS_R_5447356_001.01
GD_EveRst_GJDD|1|PTS_R_5447356_002.01
GD_EveRst_GJDD|1|PTS_R_5447356_003.01
GD_EveRst_GJDD|1|VEMS_R_10_08914_001.01
GD_EveRstDft_GJDD|1|PTS_R_5447356_001.01
GD_EveRstDft_GJDD|1|PTS_R_5447356_002.01
GD_EveRstDft_GJDD|1|PTS_R_5447356_003.01
GD_EveRstDft_GJDD|1|VEMS_R_10_08914_001.01
GD_EveRxn55F_GJDD|1|PTS_R_5447356_001.01
GD_EveRxn55F_GJDD|1|PTS_R_5447356_002.01
GD_EveRxn55F_GJDD|1|PTS_R_5447356_003.01
GD_EveRxn55F_GJDD|1|VEMS_R_10_08914_001.01
GD_EveRxn772_GJDD|1|PTS_R_5447356_001.01
JBSI_POWER_LATCH|0|VEMS_R_10_08914_001.01
JBSI_POWER_ON|0|VEMS_R_10_08914_001.01
JBSI_POWER_ON_DEFAUT|0|VEMS_R_10_08914_001.01
JBSI_SLEEPING|0|VEMS_R_10_08914_001.01
JBSI_TRANSIT|0|VEMS_R_10_08914_001.01
Jbsi_manu_inh|0|VEMS_R_10_08914_001.01
Jbsi_manu_inh_3_trames_evt_fug|0|VEMS_R_10_08914_001.01
Jbsi_nEng|0|VEMS_R_10_08914_001.01
Jbsi_nombre_trame|0|VEMS_R_10_08914_001.01
Jbsi_numero_trame|0|VEMS_R_10_08914_001.01
Jbsi_pDsThrMes|0|VEMS_R_10_08914_001.01
Jbsi_pertinence_info_bsi|0|VEMS_R_10_08914_001.01
Jbsi_ref_horaire|0|VEMS_R_10_08914_001.01
Jbsi_shunt_parc_bsi|0|VEMS_R_10_08914_001.01
Jbsi_spdVeh|0|VEMS_R_10_08914_001.01
Jbsi_tCoMes|0|VEMS_R_10_08914_001.01
Jbsi_tempo_restart_proc_delay|0|VEMS_R_10_08914_001.01
Jbsi_type_message|0|VEMS_R_10_08914_001.01
Jbsi_bInh_C|0|PTS_R_5447356_001.01
Jbsi_bInh_C|0|PTS_R_5447356_002.01
Jbsi_bInh_C|0|PTS_R_5447356_003.01
Jbsi_bInh_C|0|VEMS_R_10_08914_001.01
Jbsi_calib_tempo_envoi_trame|0|PTS_R_5447356_001.01
GD_EveRxn772_GJDD|1|PTS_R_5447356_002.01
GD_EveRxn772_GJDD|1|PTS_R_5447356_003.01
GD_EveRxn772_GJDD|1|VEMS_R_10_08914_001.01
GD_SdlFast_GJDD|1|PTS_R_5447356_001.01
GD_SdlFast_GJDD|1|PTS_R_5447356_002.01
GD_SdlFast_GJDD|1|PTS_R_5447356_003.01
GD_SdlFast_GJDD|1|VEMS_R_10_08914_001.01
JDD_CxtFrfRec|1|PTS_R_5447356_001.01
JDD_CxtFrfRec|1|PTS_R_5447356_002.01
JDD_CxtFrfRec|1|PTS_R_5447356_003.01
JDD_CxtFrfRec|1|VEMS_R_10_08914_001.01
JDD_DftExitUnval|1|PTS_R_5447356_001.01
JDD_DftExitUnval|1|PTS_R_5447356_002.01
JDD_DftExitUnval|1|PTS_R_5447356_003.01
JDD_DftExitUnval|1|VEMS_R_10_08914_001.01
JDD_DftInPres|1|PTS_R_5447356_001.01
JDD_DftInPres|1|PTS_R_5447356_002.01
Jbsi_calib_tempo_envoi_trame|0|PTS_R_5447356_002.01
Jbsi_calib_tempo_envoi_trame|0|PTS_R_5447356_003.01
Jbsi_calib_tentative_envoi|0|PTS_R_5447356_001.01
Jbsi_calib_tentative_envoi|0|PTS_R_5447356_002.01
Jbsi_calib_tentative_envoi|0|PTS_R_5447356_003.01
Jbsi_calib_tentative_envoi_proc|0|PTS_R_5447356_001.01
Jbsi_calib_tentative_envoi_proc|0|PTS_R_5447356_002.01
Jbsi_calib_tentative_envoi_proc|0|PTS_R_5447356_003.01
Jbsi_calib_time_out|0|PTS_R_5447356_001.01
Jbsi_calib_time_out|0|PTS_R_5447356_002.01
Jbsi_calib_time_out|0|PTS_R_5447356_003.01
Jbsi_manu_inh|0|PTS_R_5447356_001.01
Jbsi_manu_inh|0|PTS_R_5447356_002.01
Jbsi_manu_inh|0|PTS_R_5447356_003.01
Jbsi_manu_inh_3_trames_evt_fug|0|PTS_R_5447356_001.01
Jbsi_manu_inh_3_trames_evt_fug|0|PTS_R_5447356_002.01
Jbsi_manu_inh_3_trames_evt_fug|0|PTS_R_5447356_003.01
Jbsi_tempo_restart_proc_delay|0|PTS_R_5447356_001.01
Jbsi_tempo_restart_proc_delay|0|PTS_R_5447356_002.01
Jbsi_tempo_restart_proc_delay|0|PTS_R_5447356_003.01
Jbsi_Correct_lente|0|PTS_R_5447356_001.01
Jbsi_Correct_lente|0|PTS_R_5447356_002.01
Jbsi_Correct_lente|0|PTS_R_5447356_003.01
Jbsi_Lbd_closed_loop|0|PTS_R_5447356_001.01
Jbsi_Lbd_closed_loop|0|PTS_R_5447356_002.01
Jbsi_Lbd_closed_loop|0|PTS_R_5447356_003.01
Jbsi_Ld_feedback|0|PTS_R_5447356_001.01
Jbsi_Ld_feedback|0|PTS_R_5447356_002.01
Jbsi_Ld_feedback|0|PTS_R_5447356_003.01
Jbsi_autorise_fin_power_latch|0|PTS_R_5447356_001.01
Jbsi_autorise_fin_power_latch|0|PTS_R_5447356_002.01
Jbsi_autorise_fin_power_latch|0|PTS_R_5447356_003.01
Jbsi_code_defaut|0|PTS_R_5447356_001.01
Jbsi_code_defaut|0|PTS_R_5447356_002.01
Jbsi_code_defaut|0|PTS_R_5447356_003.01
Jbsi_engine_air_load|0|PTS_R_5447356_001.01
Jbsi_engine_air_load|0|PTS_R_5447356_002.01
Jbsi_engine_air_load|0|PTS_R_5447356_003.01
Jbsi_etat_alimentation|0|PTS_R_5447356_001.01
Jbsi_etat_alimentation|0|PTS_R_5447356_002.01
Jbsi_etat_alimentation|0|PTS_R_5447356_003.01
Jbsi_etat_dtc|0|PTS_R_5447356_001.01
Jbsi_etat_dtc|0|PTS_R_5447356_002.01
Jbsi_etat_dtc|0|PTS_R_5447356_003.01
