Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|AccP|AccP||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
BSTPRES|uint8|HEADER|1|0|0|BSTPRES|0|0|Phys|bool|2|0|||||BSTPRES||3||||||||0|1|||0|0|0|0||0|||||0|
DEFAULT_DTC|uint32|MEM|1|0|0|DEFAULT_DTC|0|0|Phys|-|||||||DEFAULT_DTC||3||||||||0|1|||16777215|0|0|0||0|||||0|
Ext_dstVehTotMes|uint32|HEADER|1|0|0|Ext_dstVehTotMes|0|0|Phys|km|1|1|0|Can|Can||Ext_dstVehTotMes||1||||||||0|1||||1|0|0||0|0|16777214|0|16777214|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|Sync|Sync||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|CoT|CoT||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_tiCurVehTmr|uint32|HEADER|1|0|0|Ext_tiCurVehTmr|0|0|Phys|10^-1s|1|1|0|Can|Can||Ext_tiCurVehTmr||1||||||||0|1||||1|0|0||0|0|4294967293|0|4294967293|0|
Ext_uBattMes|sint16|HEADER|1|0|0|Ext_uBattMes|0|0|Phys|V|1|0.01|0|Pwr|Pwr||Ext_uBattMes||1||||||||0|1||||1|0|0||0|0|3200|0|32|0|
Fault_context_eep_eobd|uint8|HEADER|1|1|16|Fault_context_eep_eobd|0|0|Phys|-||||EEPROM|EEPROM||Fault_context_eep_eobd||1||||||||0|1||||0|0|0||0|0|255|0|255|0|
Free_context_eobd|uint8|HEADER|1|0|0|Free_context_eobd|0|0|Phys|-|0|||EEPROM|EEPROM||Free_context_eobd||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
GD_as16tCoMesNoFrf|sint16|HEADER|1|GD_NB_DFTCXTMAX|1|GD_as16tCoMesNoFrf|0|0|Phys|°C|1|1|0|EEPROM|EEPROM||GD_as16tCoMesNoFrf||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
GD_astrClasDet|GD_strClasDet|HEADER|1|GD_CLAS_DET|1|GD_astrClasDet|0|0|Phys|-||||HEADER|HEADER||GD_astrClasDet||2||||||||0|1||||0|0|0||0|||||0|
GD_astrClasDID|GD_strClasDID|HEADER|1|GD_CLAS_DID|1|GD_astrClasDID|0|0|Phys|-|1|1|0|HEADER|HEADER||GD_astrClasDID||2||||||||1|1||||0|0|0||0|||||0|
GD_astrClasFrf|GD_tstrClasFrf|HEADER|1|GD_CLAS_FRF|1|GD_astrClasFrf|0|0|Déci|-||||GD|GD||GD_astrClasFrf||2|*||*||*||NONE|1|1||||0|0|0|none|0|||||0|
GD_astrClasObd|GD_strClasObd|HEADER|1|GD_CLAS_OBD|1|GD_astrClasObd|0|0|Phys|-|1|1|0|HEADER|HEADER||GD_astrClasObd||2||||||||1|1||||0|0|0||0|||||0|
GD_au16idxDftNoFrf|uint16|HEADER|1|GD_NB_DFTCXTMAX|1|GD_au16idxDftNoFrf|0|0|Phys|-|0|||EEPROM|EEPROM||GD_au16idxDftNoFrf||1||||||||0|1||||0|0|0||0|0|65535|0|65535|0|
GD_au16nEngNoFrf|uint16|HEADER|1|GD_NB_DFTCXTMAX|1|GD_au16nEngNoFrf|0|0|Phys|rpm|1|1|0|EEPROM|EEPROM||GD_au16nEngNoFrf||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
