Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
BPRESDC|uint8|HEADER|1|0|0|BPRESDC|0|0|Phys|||||HEADER|HEADER||BPRESDC||3||||||||0|1|||0|0|0|0||0|||||0|
CAT|uint8|RC01|1|0|0|CAT|0|0|Phys|-|||||||CAT||3||||||||0|1|||0|0|0|0||0|||||0|
CLASRDY_CAT_NB_DFT|uint16|RC01|1|0|0|CLASRDY_CAT_NB_DFT|0|0|Phys|-|||||||CLASRDY_CAT_NB_DFT||3||||||||0|1|||5|0|0|0||0|||||0|
CLASRDY_HEATO2_NB_DFT|uint16|RC01|1|0|0|CLASRDY_HEATO2_NB_DFT|0|0|Phys|-|||||||CLASRDY_HEATO2_NB_DFT||3||||||||0|1|||20|0|0|0||0|||||0|
CLASRDY_LFBK_NB_DFT|uint16|RC01|1|0|0|CLASRDY_LFBK_NB_DFT|0|0|Phys|-|||||||CLASRDY_LFBK_NB_DFT||3||||||||0|1|||40|0|0|0||0|||||0|
CLASRDY_MISF_NB_DFT|uint16|RC01|1|0|0|CLASRDY_MISF_NB_DFT|0|0|Phys|-|||||||CLASRDY_MISF_NB_DFT||3||||||||0|1|||10|0|0|0||0|||||0|
CLASRDY_O2S_NB_DFT|uint16|RC01|1|0|0|CLASRDY_O2S_NB_DFT|0|0|Phys|-|||||||CLASRDY_O2S_NB_DFT||3||||||||0|1|||20|0|0|0||0|||||0|
CLASRDY_VVT_NB_DFT|uint16|RC01|1|0|0|CLASRDY_VVT_NB_DFT|0|0|Phys|-|||||||CLASRDY_VVT_NB_DFT||3||||||||0|1|||20|0|0|0||0|||||0|
ClasRdyCat_T|uint16|RC01|1|1|CLASRDY_CAT_NB_DFT|ClasRdyCat_T|0|0|Déci|-||||RC01|RC01||ClasRdyCat_T||2||*||*||*|PTS_DOC_5263162|1|1||||1|0|0|Liste des diagnostics pour la famille de RC 01 Catalyseur|0|0|65535|0|65535|0|
ClasRdyHeatO2_T|uint16|RC01|1|1|CLASRDY_HEATO2_NB_DFT|ClasRdyHeatO2_T|0|0|Déci|-||||RC01|RC01||ClasRdyHeatO2_T||2||*||*||*|PTS_DOC_5263162|1|1||||1|0|0|Liste des diagnostics pour la famille de RC 01 Chauffage sonde|0|0|65535|0|65535|0|
