Name|Type|Requirement
GD_astrClasObd|0|PTS_R_5446103_001.01
GD_astrClasObd|0|PTS_R_5446103_002.01
GD_astrClasObd|0|PTS_R_5446103_003.01
GD_au8IdxClasObd|0|PTS_R_5446103_001.01
GD_au8IdxClasObd|0|PTS_R_5446103_002.01
GD_au8IdxClasObd|0|PTS_R_5446103_003.01
GD_au8IdxClasObd|0|PTS_R_5446103_004.01
GD_bAcvReinitBit5_C|0|PTS_R_5446103_001.01
GD_bAcvReinitBit5_C|0|PTS_R_5446103_002.01
GD_bAcvReinitBit5_C|0|PTS_R_5446103_003.01
GD_bAcvReinitBit5_C|0|PTS_R_5446103_004.01
GD_astrClasObd|0|PTS_R_5446103_004.01
GD_EveRst_StatusOfDTC|1|PTS_R_5446103_001.01
GD_EveRst_StatusOfDTC|1|PTS_R_5446103_002.01
GD_EveRst_StatusOfDTC|1|PTS_R_5446103_003.01
GD_EveRst_StatusOfDTC|1|PTS_R_5446103_004.01
GD_EveRstDft_StatusOfDTC|1|PTS_R_5446103_001.01
GD_EveRstDft_StatusOfDTC|1|PTS_R_5446103_002.01
GD_EveRstDft_StatusOfDTC|1|PTS_R_5446103_003.01
GD_EveRstDft_StatusOfDTC|1|PTS_R_5446103_004.01
GD_EveRstDftObd_StatusOfDTC|1|PTS_R_5446103_001.01
GD_EveRstDftObd_StatusOfDTC|1|PTS_R_5446103_002.01
GD_EveRstDftObd_StatusOfDTC|1|PTS_R_5446103_003.01
GD_EveRstDftObd_StatusOfDTC|1|PTS_R_5446103_004.01
GD_RstDftCal|1|PTS_R_5446103_001.01
GD_RstDftCal|1|PTS_R_5446103_002.01
GD_RstDftCal|1|PTS_R_5446103_003.01
GD_RstDftCal|1|PTS_R_5446103_004.01
