Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
FRM_FRM_FRZWUCST|uint16|HEADER|1|0|0|FRM_FRM_FRZWUCST|0|0|Phys|-|||||||FRM_FRM_FRZWUCST||3||||||||0|1|||1|0|0|0||0|||||0|
WUC_bWupSt|boolean|HEADER|1|0|0|WUC_bWupSt|0|0|Phys|bool|2|0||WUC|WUC||WUC_bWupSt||1||||||||0|1||||1|0|0||0|0|1|||0|
WUC_ctWupDftClr|uint8|HEADER|1|0|0|WUC_ctWupDftClr|0|0|Phys|-|0|||WUC|WUC||WUC_ctWupDftClr||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
WUC_s16TCO_MAX|sint16|WUC|0|0|0|WUC_s16TCO_MAX|0|0|Phys|-|||||||WUC_s16TCO_MAX||3||||||||0|1|||214|0|0|0||0|||||0|
WUC_s16TCO_MIN|sint16|WUC|0|0|0|WUC_s16TCO_MIN|0|0|Phys|-|||||||WUC_s16TCO_MIN||3||||||||0|1|||-40|0|0|0||0|||||0|
WUC_s16tCoRef_NS|sint16|WUC|0|0|0|WUC_s16tCoRef_NS|0|0|Phys|-|0|||WUC|WUC||WUC_s16tCoRef_NS||1||||||||0|1||||0|0|0||0|-40|214|-40|214|0|
WUC_tCoInc_C|uint8|WUC|1|0|0|WUC_tCoInc_C|0|0|Phys|°C|0|||WUC|WUC||WUC_tCoInc_C||2|||||||V02 NT 08 04191|1|1||||1|0|0|Minimal gap of water temperature compared with reference temperature to confirm a normal cold start|0|0|255|0|255|0|
WUC_tCoRef|sint16|WUC|0|0|0|WUC_tCoRef|0|0|Phys|°C|0|||WUC|WUC||WUC_tCoRef||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
WUC_tCoRefEep|sint16|HEADER|1|0|0|WUC_tCoRefEep|0|0|Phys|°C|0|||WUC|WUC||WUC_tCoRefEep||1||||||||0|1||||0|0|0||0|-40|214|-40|214|0|
WUC_tCoThd_C|sint16|WUC|1|0|0|WUC_tCoThd_C|0|0|Phys|°C|0|||WUC|WUC||WUC_tCoThd_C||2|||||||V02 NT 08 04191|1|1||||1|0|0|Minimal water temperature to confirm a normal cold start|0|-40|214|-40|214|0|
WUC_u8CTWUP_MAX|uint8|WUC|0|0|0|WUC_u8CTWUP_MAX|0|0|Phys|-|||||||WUC_u8CTWUP_MAX||3||||||||0|1|||255|0|0|0||0|||||0|
WUC_u8Inhib|uint8|WUC|0|0|0|WUC_u8Inhib|0|0|Hexa|-||||WUC|WUC||WUC_u8Inhib||2|||||||V02 NT 08 04191|1|1||||1|0|0|calibration permettant d'inhiber la mise à jour des variables produites de la spec|0|||||0|
