Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Dem_SetEventStatus|A|func_Dem_SetEventStatus|2|HEADER|1|NONE||||0|0|0|0||
DGOTEST_vidSdlSlow|B|();|12|HEADER|1|NONE||||0|0|0|0||
Fim_GetFunctionPermission|B|func_GetFunctionPermission|2|HEADER|1|NONE||||0|0|0|0|This function reports the permission state to the functionality|
Fim_Init|A|();|11|HEADER|1|NONE||||0|0|0|0||
GD_EveCrTR|A|();|23|HEADER|1|NONE||||0|0|0|0||
GD_EveCrTSt|A|();|25|HEADER|1|NONE||||0|0|0|0||
GD_EveKOf|A|();|22|HEADER|1|NONE||||0|0|0|0||
GD_EveKOn|A|();|21|HEADER|1|NONE||||0|0|0|0||
GD_EveRst|A|();|9|HEADER|1|NONE||||0|0|0|0||
GD_EveRst_HrdRcvMng|B|();|10|HEADER|1|NONE||||0|0|0|0||
GD_EveRstDft|A|();|24|HEADER|1|NONE||||0|0|0|0||
GD_EveRstDftObd|A|();|25|HEADER|1|NONE||||0|0|0|0||
GD_SdlFast|A|();|20|HEADER|1|NONE||||0|0|0|0||
GD_SdlMid_HrdRcvMng|B|();|46|HEADER|1|NONE||||0|0|0|0||
GD_SdlSlow|A|();|13|HEADER|1|NONE||||0|0|0|0||
GDGAR_bGetEndDiagStrt|C|func_GDGAR_bGetEndDiagStrt|API1.6|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Value of EndDiagStrt|
GDGAR_bGetFRM|D|func_FRM_bGetFRM|API1.2|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Get FRM Value|
GDGAR_EepromRamCpyPack|B|();|API2.2|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Archivage des fautes loguées avant stockage en EEPROM|
GDGAR_EepromRamCpyUnpack|B|();|API2.1|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Extraction et récupération des fautes stockées en EEPROM|
GDGAR_EveCrkRun|E|();|SCH.7|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Event CRANKING to RUN|
GDGAR_EveCrTst|C|();|SCH.8|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Event CRANKING to STALL|
GDGAR_EveKeyOff|C|();|SCH.6|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Event Key Off|
GDGAR_EveKeyOn|H|();|SCH.5|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Event Key On|
GDGAR_EveRst|J|();|SCH.1|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Evenement reset du calculateur|
GDGAR_SdlFast|D|();|SCH.4|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Moniteur 10ms|
GDGAR_SdlMid|C|();|SCH.3|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Moniteur 40ms|
GDGAR_SdlSlow|I|();|SCH.2|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Moniteur 1024ms|
GDGAR_tenuGetStDgo|C|func_GDGAR_tenuGetStDgo|API1.5|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Value of the GDU states|
GDGAR_vidGdu|D|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|API1.1|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|API permettant d'appeler la fonction de gestion du GDU. Elle verifie les paramètres passés en arguments et si il y un problème, elle sort sans executer la fonction.|
GDGAR_vidMngEveRstDftApv|F|();|API1.3|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Requete d'effacement des defauts avec l'outil APV|
GDGAR_vidMngEveRstDftObd|F|();|API1.4|GDGAR|1|PTS_DOC_5012623||||0|0|0|0|Requete d'effacement des défauts avec l'outil ScanTool|
GDU_bGetEndDiagStrt|B|Func_GDU_bGetEndDiagStrt|27|HEADER|1|NONE||||0|0|0|0||
GDU_tenuGetStDgo|B|Func_GDU_tenuGetStDgo|26|HEADER|1|NONE||||0|0|0|0||
GMIL_vidEveRstDft|A|();|6|HEADER|1|NONE||||0|0|0|0||
GMIL_vidEveRstDftOBD|A|();|19|HEADER|1|NONE||||0|0|0|0||
