Name|Type|Requirement
So2_av_f_fco_failure|0|VEMS_R_09_01901_041.01
So2_av_f_fco_failure|0|VEMS_R_09_01901_047.01
So2_av_f_fld_failure|0|VEMS_R_09_01901_041.01
So2_av_f_fld_failure|0|VEMS_R_09_01901_047.01
LsMon_tiCfmSenO2DsDiag_C|0|VEMS_R_08_05602_001.02
LsMon_uThdSenO2DsDiag_C|0|VEMS_R_08_05602_001.02
LsMon_uThdSenO2DsDiagGas_C|0|VEMS_R_08_05602_001.02
LsMon_bAcvItrsvSenO2DsDiag|0|VEMS_R_11_07942_001.01
Ldsd_av_diag_delay_sensor_hot|0|VEMS_R_11_07942_001.01
Ldsd_av_diag_delay_sensor_hot_g|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fco_mAir_thd_g|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fco_mAir_thresh|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fco_thd_g|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fco_thresh|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fld_mAir_thd_g|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fld_mAir_thresh|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fld_thresh|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_max_delay|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_max_delay_gas|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_mf_emiss_thd_g|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_mf_emiss_thresh|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_obj_rich_thd_g|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_obj_rich_thresh|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_water_temp_thresh|0|VEMS_R_11_07942_001.01
Manu_inh_diag_av_max_delay|0|VEMS_R_11_07942_001.01
Manu_inh_Ldsd_av_diag_intru_cond|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fld_thd_g|0|VEMS_R_11_07942_001.01
HEATSENO2DSFONCDIAG_vidDiag|1|VEMS_R_11_07942_002.01
HEATSENO2DSFONCDIAG_vidDiag|1|VEMS_R_11_07942_003.01
LsMon_tiCfmSenO2DsDiagFco_C|0|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fld_conf_delay|0|VEMS_R_11_07942_001.01
HEATSENO2DSFONCDIAG_vidCalcDiag|1|VEMS_R_11_07942_006.01
HEATSENO2DSFONCDIAG_vidCondDiag|1|VEMS_R_11_07942_005.01
SenO2Ds_bAcvEuro6DsPlausFco_C|0|VEMS_R_11_07942_001.01
SenO2Ds_bAcvEuro6DsPlausFld_C|0|VEMS_R_11_07942_001.01
SenO2Ds_bInhMonWait_PlausFco_C|0|VEMS_R_11_07942_001.01
SenO2Ds_bInhMonWait_PlausFld_C|0|VEMS_R_11_07942_001.01
LsMon_bCaseItrsvSenO2DsDiag|0|VEMS_R_11_07942_001.01
SenO2Ds_bAcvSeqDsPlausFld|0|VEMS_R_11_07942_001.01
SenO2Ds_bAcvSeqMemDsPlausFld|0|VEMS_R_11_07942_001.01
SenO2Ds_FcoPlausFacMax_Obd6Mod|0|VEMS_R_11_07942_001.01
SenO2Ds_FcoPlausFacMes_Obd6Mod|0|VEMS_R_11_07942_001.01
SenO2Ds_FldPlausFacMes_Obd6Mod|0|VEMS_R_11_07942_001.01
SenO2Ds_FldPlausFacMin_Obd6Mod|0|VEMS_R_11_07942_001.01
LsMon_tiCfmSenO2DsDiagFld_C|0|VEMS_R_11_07942_001.01
LsMon_uThdSenO2DsDiagFco_C|0|VEMS_R_11_07942_001.01
LsMon_uThdSenO2DsDiagFcoGas_C|0|VEMS_R_11_07942_001.01
LsMon_uThdSenO2DsDiagFld_C|0|VEMS_R_11_07942_001.01
LsMon_uThdSenO2DsDiagFldGas_C|0|VEMS_R_11_07942_001.01
SenO2Ds_bAcvSeqDsPlausFld_C|0|VEMS_R_11_07942_001.01
SenO2Ds_bInhDiagPresScav_C|0|VEMS_R_11_07942_001.01
SenO2Ds_tiInhDiag_C|0|VEMS_R_11_07942_001.01
HEATSENO2DSFONCDIAG_vidFcoMdEr6|1|VEMS_R_11_07942_007.01
HEATSENO2DSFONCDIAG_vidMode6|1|VEMS_R_11_07942_004.01
SenO2Ds_EveRst_DsPlaus|1|VEMS_R_11_07942_001.01
SenO2Ds_SdlMid_DsPlaus|1|VEMS_R_11_07942_001.01
Ldsd_av_f_diag_fco_conf_delay|0|VEMS_R_11_07942_001.01
LsMon_bManDiagFldActiv_C|0|VEMS_R_11_07942_001.01
LsMon_bAcvChkRMixtItrsv_C|0|VEMS_R_11_07942_001.01
LsMon_bManDiagFcoActiv_C|0|VEMS_R_11_07942_001.01
LsMon_rMixtMaxItrsvSenO2Ds_C|0|VEMS_R_11_07942_001.01
LsMon_rMixtMinItrsvSenO2Ds_C|0|VEMS_R_11_07942_001.01
LsMon_tiRStrtItrsvFco_C|0|VEMS_R_11_07942_001.01
LsMon_tiRStrtItrsvFld_C|0|VEMS_R_11_07942_001.01
