Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Autorise_diag_ds_heat|boolean|HEATSENO2HOTDIAG|0|0|0|Autorise_diag_ds_heat|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||Autorise_diag_ds_heat||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Autorise_diag_us_heat|boolean|HEATSENO2HOTDIAG|0|0|0|Autorise_diag_us_heat|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||Autorise_diag_us_heat||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cata_temp_bkpt_map|uint16|HEATSENO2HOTDIAG|1|1|10|Cata_temp_bkpt_map|0|0|Phys|°C|1|1|0|HeatSenO2|HeatSenO2||Cata_temp_bkpt_map||2||Ext_tOxCEstim||F1||Cata_temp_bkpt_map|V02 NT 12 00470|1|1||||1|0|0|Table de points d'appui pour la température du catalyseur|0|0|1000|0|1000|0|
Chauf_o2_amont_demande_on|boolean|HEADER|1|0|0|Chauf_o2_amont_demande_on|0|0|Phys|bool|2|0||HEATSENO2|HEATSENO2||Chauf_o2_amont_demande_on||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Chauf_o2_aval_demande_on|boolean|HEADER|1|0|0|Chauf_o2_aval_demande_on|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||Chauf_o2_aval_demande_on||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
D32|uint16|HEADER|1|0|0|D32|0|0|Phys|-|1|0.03125|0|Development_Z|Development_Z||D32||4||||||||0|1||||1|0|0||0|||||0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Ds_heat_seuil_cata_temp_g_map|uint16|HEATSENO2HOTDIAG|1|1|10|Ds_heat_seuil_cata_temp_g_map|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||Ds_heat_seuil_cata_temp_g_map||2||Ext_tOxCEstim||F1||Cata_temp_bkpt_map|V02 NT 12 00470|1|1||||1|0|0|Table en température du catalyseur du seuil accéptable pour l'image de la resistance de chauffage de la sonde aval (pour application gaz)|0|0|65535|0|79.998779296875|0|
Ds_heat_seuil_cata_temp_map|uint16|HEATSENO2HOTDIAG|1|1|10|Ds_heat_seuil_cata_temp_map|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||Ds_heat_seuil_cata_temp_map||2||Ext_tOxCEstim||F1||Cata_temp_bkpt_map|V02 NT 12 00470|1|1||||1|0|0|Table en température du catalyseur du seuil accéptable pour l'image de la resistance de chauffage de la sonde aval|1|0|65535|0|79.998779296875|0|
Ds_heat_transit_count|uint16|HEATSENO2HOTDIAG|0|0|0|Ds_heat_transit_count|0|0|Phys|ms|1|HeatSenO2_SampleTiFast_SC/10|0|HeatSenO2|HeatSenO2||Ds_heat_transit_count||1||||||||0|1||||1|0|0||0|0|400|0|1000|0|
Ds_heat_transit_delay_c|uint16|HEATSENO2HOTDIAG|1|0|0|Ds_heat_transit_delay_c|0|0|Phys|ms|1|HeatSenO2_SampleTiFast_SC/10|0|HeatSenO2|HeatSenO2||Ds_heat_transit_delay_c||2|||||||V02 NT 12 00470|1|1||||1|0|0|Délai calibrable de la temporisation pour effectuer les diagnostics sur la valeur de la résistance après passage de la commande de chauffage de OFF à ON pour la sonde aval|0|0|400|0|1000|0|
Exhaust_gas_temp_bkpt_map|uint16|HEATSENO2HOTDIAG|1|1|10|Exhaust_gas_temp_bkpt_map|0|0|Phys|°C|1|1|0|HeatSenO2|HeatSenO2||Exhaust_gas_temp_bkpt_map||2||Exhaust_gas_temp_real||D32||Exhaust_gas_temp_bkpt_map|V02 NT 12 00470|1|1||||1|0|0|Table de points d'appui pour la température des gazes d'échappement|0|0|1000|0|1000|0|
Exhaust_gas_temp_real|uint16|HEADER|1|0|0|Exhaust_gas_temp_real|0|0|Phys|°C|1|2048/65536|0|Divers|Divers||Exhaust_gas_temp_real||1||||||||0|1||||1|0|0||0|0|65535|0|2047.96875|0|
Ext_bPresGaz|boolean|HEADER|1|0|0|Ext_bPresGaz|0|0|Phys|bool|2|0||Divers|Divers||Ext_bPresGaz||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_stGasMod_SC|uint8|HEADER|1|0|0|Ext_stGasMod_SC|0|0|Phys|-|||||||Ext_stGasMod_SC||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_stGslMod_SC|uint8|HEADER|1|0|0|Ext_stGslMod_SC|0|0|Phys|-|||||||Ext_stGslMod_SC||3||||||||0|1|||3|0|0|0||0|||||0|
Ext_stSysGas|uint8|HEADER|1|0|0|Ext_stSysGas|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stSysGas||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
Ext_stTranGasGsl_SC|uint8|HEADER|1|0|0|Ext_stTranGasGsl_SC|0|0|Phys|-|||||||Ext_stTranGasGsl_SC||3||||||||0|1|||1|0|0|0||0|||||0|
Ext_stTranGslGas_SC|uint8|HEADER|1|0|0|Ext_stTranGslGas_SC|0|0|Phys|-|||||||Ext_stTranGslGas_SC||3||||||||0|1|||2|0|0|0||1|||||0|
Ext_tOxCEstim|sint16|HEADER|1|0|0|Ext_tOxCEstim|0|0|Phys|°C|1|1|0|CAT|CAT||Ext_tOxCEstim||1||||||||0|1||||1|0|0||0|-50|1000|-50|1000|0|
FRM_FRM_CFMHEATSENO2DSDFTRES|uint16|HEADER|1|0|0|FRM_FRM_CFMHEATSENO2DSDFTRES|0|0|Phys|-|||||||FRM_FRM_CFMHEATSENO2DSDFTRES||3||||||||0|1|||4|0|0|0||0|||||0|
FRM_FRM_CFMHEATSENO2USDFTRES|uint16|HEADER|1|0|0|FRM_FRM_CFMHEATSENO2USDFTRES|0|0|Phys|-|||||||FRM_FRM_CFMHEATSENO2USDFTRES||3||||||||0|1|||2|0|0|0||0|||||0|
FRM_FRM_INHDSHEAT|uint16|HEADER|1|0|0|FRM_FRM_INHDSHEAT|0|0|Phys|-|||||||FRM_FRM_INHDSHEAT||3||||||||0|1|||0|0|0|0||0|||||0|
FRM_FRM_INHUSHEAT|uint16|HEADER|1|0|0|FRM_FRM_INHUSHEAT|0|0|Phys|-|||||||FRM_FRM_INHUSHEAT||3||||||||0|1|||1|0|0|0||0|||||0|
GD_DFT_ORNG_DSHEAT|uint16|HEADER|1|0|0|GD_DFT_ORNG_DSHEAT|0|0|Phys|-|||||||GD_DFT_ORNG_DSHEAT||3||||||||0|1|||0|0|0|0||0|||||0|
GD_DFT_ORNG_USHEAT|uint16|HEADER|1|0|0|GD_DFT_ORNG_USHEAT|0|0|Phys|-|||||||GD_DFT_ORNG_USHEAT||3||||||||0|1|||1|0|0|0||0|||||0|
HeatSenO2_bAcvEuro6DsHeat_C|boolean|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_bAcvEuro6DsHeat_C|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||HeatSenO2_bAcvEuro6DsHeat_C||2|||||||V02 NT 12 00470|1|1||||1|0|0|Calibration permettant l'envoie des données Mode6 selon les  exigences Euro6 pour le diag chauffage sonde aval|0|0|1|0|1|0|
HeatSenO2_bAcvEuro6UsHeat_C|boolean|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_bAcvEuro6UsHeat_C|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||HeatSenO2_bAcvEuro6UsHeat_C||2|||||||V02 NT 12 00470|1|1||||1|0|0|Calibration permettant l'envoie des données Mode6 selon les  exigences Euro6 pour le diag chauffage sonde amont|0|0|1|0|1|0|
HeatSenO2_bDgoORng_DsHeat|boolean|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_bDgoORng_DsHeat|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||HeatSenO2_bDgoORng_DsHeat||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
HeatSenO2_bDgoORng_UsHeat|boolean|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_bDgoORng_UsHeat|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||HeatSenO2_bDgoORng_UsHeat||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
HeatSenO2_bMonRunORng_DsHeat|boolean|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_bMonRunORng_DsHeat|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||HeatSenO2_bMonRunORng_DsHeat||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
HeatSenO2_bMonRunORng_UsHeat|boolean|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_bMonRunORng_UsHeat|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||HeatSenO2_bMonRunORng_UsHeat||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
HeatSenO2_DsFacMax_Obd6Mod|uint16|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_DsFacMax_Obd6Mod|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||HeatSenO2_DsFacMax_Obd6Mod||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
HeatSenO2_DsFacMaxRaw|uint16|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_DsFacMaxRaw|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||HeatSenO2_DsFacMaxRaw||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
HeatSenO2_DsFacMes_Obd6Mod|uint16|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_DsFacMes_Obd6Mod|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||HeatSenO2_DsFacMes_Obd6Mod||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
HeatSenO2_DsFacMesRaw|uint16|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_DsFacMesRaw|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||HeatSenO2_DsFacMesRaw||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
HeatSenO2_SampleTiFast_SC|uint16|HEADER|1|0|0|HeatSenO2_SampleTiFast_SC|0|0|Phys|-|||||||HeatSenO2_SampleTiFast_SC||3||||||||0|1|||25|0|0|0||0|||||0|
HeatSenO2_tiInhDsDiag|uint32|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_tiInhDsDiag|0|0|Phys|s|1|HeatSenO2_SampleTiFast_SC/10000|0|Divers|Divers||HeatSenO2_tiInhDsDiag||1||||||||0|1||||1|0|0||0|0|200000|0|500|0|
HeatSenO2_tiInhDsDiag_C|uint32|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_tiInhDsDiag_C|0|0|Phys|s|1|HeatSenO2_SampleTiFast_SC/10000|0|Divers|Divers||HeatSenO2_tiInhDsDiag_C||2|||||||V02 NT 12 00470|1|1||||1|0|0|Temporisation inhibant le diagnostic chauffage sonde aval après une transition essence/gaz|0|0|200000|0|500|0|
HeatSenO2_tiInhUsDiag|uint32|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_tiInhUsDiag|0|0|Phys|s|1|HeatSenO2_SampleTiFast_SC/10000|0|Divers|Divers||HeatSenO2_tiInhUsDiag||1||||||||0|1||||1|0|0||0|0|200000|0|500|0|
HeatSenO2_tiInhUsDiag_C|uint32|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_tiInhUsDiag_C|0|0|Phys|s|1|HeatSenO2_SampleTiFast_SC/10000|0|Divers|Divers||HeatSenO2_tiInhUsDiag_C||2|||||||V02 NT 12 00470|1|1||||1|0|0|Temporisation inhibant le diagnostic chauffage sonde amont après une transition essence/gaz|0|0|200000|0|500|0|
HeatSenO2_UsFacMax_Obd6Mod|uint16|HEATSENO2HOTDIAG|1|0|0|HeatSenO2_UsFacMax_Obd6Mod|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||HeatSenO2_UsFacMax_Obd6Mod||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
HeatSenO2_UsFacMaxRaw|uint16|HEATSENO2HOTDIAG|0|0|0|HeatSenO2_UsFacMaxRaw|0|0|Phys|s.u.|1|80/65536|0|HeatSenO2|HeatSenO2||HeatSenO2_UsFacMaxRaw||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
