Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetEndDiagStrt|A|func_GDGAR_bGetEndDiagStrt|4|HEADER|1|NONE||||0|0|0|0||
GDGAR_bGetFRM|B|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
GDGAR_tenuGetStDgo|B|func_GDGAR_tenuGetStDgo|2|HEADER|1|NONE||||0|0|0|0|Get Value of the GDU states|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|3|HEADER|1|NONE||||0|0|0|0||
GDU_tenuGetStDgo|A|funct_tenuGetStDgo|5|HEADER|1|NONE||||0|0|0|0|API which return the state of the single default. If the index is wrong it's return the default state.|
HEATSENO2UPPERDDIAG_vidApvPMonit|E|();|FCT3.10|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Séquenceur du diagnostic OxyApvPerd|
HEATSENO2UPPERDDIAG_vidCalcPerdL|C|();|FCT2.1|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Afin d’anticiper l’allumage de la MIL sur défaut de période du signal de la sonde à oxygène amont, un seuil intermédiaire " agrément " a été ajouté|
HEATSENO2UPPERDDIAG_vidCalcPerdR|C|();|FCT2.10|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Afin d’anticiper l’allumage de la MIL sur défaut de période du signal de la sonde à oxygène amont, un seuil intermédiaire " agrément " a été ajouté|
HEATSENO2UPPERDDIAG_vidcallGDU|B|();|FCT4.9|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Les appels au GDU se font sur front montant des bMonRun.|
HEATSENO2UPPERDDIAG_vidCntLean|D|();|FCT1.6|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Incrémentation de la variable Oxy_ups_tempo_lean|
HEATSENO2UPPERDDIAG_vidCntRich|D|();|FCT1.8|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Incrémentation de la variable Oxy_ups_tempo_rich|
HEATSENO2UPPERDDIAG_vidCompPerL|B|();|FCT2.2|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|calcul de Oxy_ups_period|
HEATSENO2UPPERDDIAG_vidCompPerR|B|();|FCT3.1|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Calcul de Oxy_ups_period.|
HEATSENO2UPPERDDIAG_vidCorLean|C|();|FCT5.3|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Cette fonction fait le bilan des pannes  présentes concernant la période pauvre|
HEATSENO2UPPERDDIAG_vidCorRich|C|();|FCT5.2|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Cette fonction fait le bilan des pannes  présentes concernant la période riche|
HEATSENO2UPPERDDIAG_vidCounters|D|();|FCT1.5|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Compteurs temporels pour le calcul de la période|
HEATSENO2UPPERDDIAG_vidCpThdApvR|B|();|FCT3.3|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Ici le seuil max apv est calculé et moyenné. De plus, si l’application GPL/GNV est active, les seuils utilisés sont spécifiques à cette application.|
HEATSENO2UPPERDDIAG_vidCpThdSnsR|B|();|FCT3.2|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Ici le seuil max est calculé et moyenné. De plus, si l’application GPL/GNV est active, les seuils utilisés sont spécifiques à cette application.|
HEATSENO2UPPERDDIAG_vidCrPrdLean|C|();|FCT4.10|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Cette fonction fait le bilan des pannes  présentes concernant la période pauvre|
HEATSENO2UPPERDDIAG_vidCrPrdRich|C|();|FCT5.1|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Cette fonction fait le bilan des pannes  présentes concernant la période riche|
HEATSENO2UPPERDDIAG_vidCtThdApvL|B|();|FCT2.4|HEATSENO2UPPERDDIAG|0|PTS_DOC_5012863||||0|0|0|0|Ici le seuil max apv est calculé et moyenné. De plus, si l’application GPL/GNV est active, les seuils utilisés sont spécifiques à cette application.|
