Implement|ArgumentOrder|ItemType|Star|MasterType|ItemName|DimX|DimY|typedef_a_supprimer|Validation|Module|Public|Kind_of_export
argin|1|uint16|0|func_FRM_bGetFRM|u16IndexFRM|0|0|0|0|TYPEDEF|1|None
argret|1|boolean|0|func_FRM_bGetFRM||0|0|0|0|TYPEDEF|1|None
argin|1|uint16|0|func_GDGAR_bGetEndDiagStrt|u16IdxDft|0|0|0|0|TYPEDEF|1|None
argret|1|boolean|0|func_GDGAR_bGetEndDiagStrt||0|0|0|0|TYPEDEF|1|None
argin|1|uint16|0|func_GDGAR_tenuGetStDgo|u16IdxDft|0|0|0|0|HEADER|1|None
argret|1|GDFRM_tenuGDUState|0|func_GDGAR_tenuGetStDgo||0|0|0|0|HEADER|1|None
struct|0|uint8|0|GDFRM_tenuGDUState||0|0|0|0|HEADER|1|Module Header
struct|0|uint8|0|Std_ReturnType||||0|0|TYPEDEF|0|None
struct|0|bool|0|boolean||0|0|0|0|TYPEDEF|1|None
struct|0|sw|0|sint16||0|0|0|0|TYPEDEF|1|None
struct|0|s4|0|sint32||0|0|0|0|TYPEDEF|1|None
struct|0|sb|0|sint8||0|0|0|0|TYPEDEF|1|None
struct|0|uw|0|uint16||0|0|0|0|TYPEDEF|1|None
struct|0|u4|0|uint32||0|0|0|0|TYPEDEF|1|None
struct|0|ub|0|uint8||0|0|0|0|TYPEDEF|1|None
