Name|Type|Requirement
HEATSENO2US_vidHeatEna|1|VEMS_R_08_03331_001.01
HEATSENO2US_vidHeatEna|1|VEMS_R_08_03331_002.01
HEATSENO2US_vidHeatSenO2UsMgr|1|VEMS_R_08_03332_001.01
HEATSENO2US_vidHeatSenO2UsMgr|1|VEMS_R_08_03332_002.01
HEATSENO2US_vidHeatSenO2UsMgr|1|VEMS_R_08_03332_003.01
HEATSENO2US_vidHeatSenO2UsMgr|1|VEMS_R_08_03332_004.01
HEATSENO2US_vidStateManager|1|VEMS_R_08_03332_001.01
HEATSENO2US_vidStateManager|1|VEMS_R_08_03332_002.01
HEATSENO2US_vidStateManager|1|VEMS_R_08_03332_003.01
HEATSENO2US_vidStateManager|1|VEMS_R_08_03332_004.01
HEATSENO2US_vidStatus_actions|1|VEMS_R_08_03332_001.01
HEATSENO2US_vidStatus_actions|1|VEMS_R_08_03332_002.01
HEATSENO2US_vidStatus_actions|1|VEMS_R_08_03332_003.01
HEATSENO2US_vidStatus_actions|1|VEMS_R_08_03332_004.01
Cat_old_gain_bkpt_map|0|VEMS_R_12_01117_001.01
HeatSenO2_EveRst_UsMgr|1|VEMS_R_12_01117_001.01
HeatSenO2_SdlFast_UsMgr|1|VEMS_R_12_01117_001.01
HeatSenO2_SdlMid_UsMgr|1|VEMS_R_12_01117_001.01
HeatSenO2_SdlSlow_UsMgr|1|VEMS_R_12_01117_001.01
HEATSENO2US_vidAcvHeatWku|1|VEMS_R_12_01117_002.01
HEATSENO2US_vidFastLightOff|1|VEMS_R_12_01117_005.01
HEATSENO2US_vidLsUsDewPt|1|VEMS_R_12_01117_004.02
HEATSENO2US_vidLsUsMgrHeatState|1|VEMS_R_12_01117_017.01
HEATSENO2US_vidLsUsMgrHeatState|1|VEMS_R_12_01117_018.01
HEATSENO2US_vidLsUsMgrHeatState|1|VEMS_R_12_01117_019.01
HEATSENO2US_vidLsUsMgrHeatState|1|VEMS_R_12_01117_020.01
HEATSENO2US_vidMgrFastTran|1|VEMS_R_12_01117_006.01
HEATSENO2US_vidMgrFastTran|1|VEMS_R_12_01117_007.01
HEATSENO2US_vidMgrMidTran|1|VEMS_R_12_01117_006.01
HEATSENO2US_vidMgrMidTran|1|VEMS_R_12_01117_008.01
HEATSENO2US_vidMgrSlowTran|1|VEMS_R_12_01117_006.01
HEATSENO2US_vidOxCHeatReq|1|VEMS_R_12_01117_021.01
HEATSENO2US_vidTCoLsHeat|1|VEMS_R_12_01117_003.01
LsSys_tiLsUsDlyHeatHiFLO_C|0|VEMS_R_08_03332_001.01
Ext_bAcvHeatWkuLsSys|0|VEMS_R_12_01117_001.01
LsSys_bAcvLsUsMainOxCHeatLih|0|VEMS_R_12_01117_001.01
LsSys_bLsUsMainOxCDewProtReq|0|VEMS_R_12_01117_001.01
LsSys_bLsUsMainOxCHeatFloEna|0|VEMS_R_12_01117_001.01
LsSys_stLsUsMainOxCHeat|0|VEMS_R_12_01117_001.01
LsSys_tCoLsHeat|0|VEMS_R_12_01117_001.01
LsSys_bLsFloOxCHeatReq|0|VEMS_R_12_01117_001.01
LsSys_VehDstFLOEna_T|0|VEMS_R_12_01117_001.01
LsSys_bLsUsMaxDlyStopFLOEna_C|0|VEMS_R_12_01117_001.01
LsSys_bTAirFLOEna_M|0|VEMS_R_12_01117_001.01
LsSys_bTCoolFLOEna_M|0|VEMS_R_12_01117_001.01
LsSys_bVehDstFLOEna_M|0|VEMS_R_12_01117_001.01
LsSys_tAirFLOEna_T|0|VEMS_R_12_01117_001.01
LsSys_tCoLihLsHeat_C|0|VEMS_R_12_01117_001.01
LsSys_tCoolHeatHotThd_C|0|VEMS_R_12_01117_001.01
LsSys_tiDlyAcvHeatLih_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDewProtReqFLO_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDewTranNotOk_M|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDewTranOkStall_T|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyHeatHi_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyWaitSecHeatHi_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsMaxDlyHeatLo_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsMaxDlyStopFLOEna_C|0|VEMS_R_12_01117_001.01
LsSys_uBattAcvHeatLih_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsMaxDlyHeatModStop_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDTrIntrOxCHtPnt_M|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDTrIntrOxCHt_M|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDTrOxCHtPnt_M|0|VEMS_R_12_01117_001.01
HEATSENO2US_vidTranAtoBandBtoA|1|VEMS_R_12_01117_009.01
HEATSENO2US_vidTranAToCOrAToE|1|VEMS_R_12_01117_010.01
HEATSENO2US_vidTranAToCOrAToE|1|VEMS_R_12_01117_011.01
HEATSENO2US_vidTranC1ToC2|1|VEMS_R_12_01117_015.02
LsSys_bHeatDoneNotIntr|0|VEMS_R_12_01117_001.01
LsSys_bLsOxCHeatAftStrt|0|VEMS_R_12_01117_001.01
LsSys_tDsThrLsHeat|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyDTrOxCHt_M|0|VEMS_R_12_01117_001.01
LsSys_bHeatWkuEna_C|0|VEMS_R_12_01117_001.01
LsSys_tCoLsUsThdBoostProtReq_T|0|VEMS_R_12_01117_001.01
LsSys_tCoolFLOEna_T|0|VEMS_R_12_01117_001.01
LsSys_tiDlyHeatWkuEna_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsDlyHeatHiFLO_M|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsThdBoostProtReq_M|0|VEMS_R_12_01117_001.01
LsSys_tiThdWkuDewProtReqFLO_C|0|VEMS_R_12_01117_001.01
LsSys_uHeatWkuEna_C|0|VEMS_R_12_01117_001.01
LsSys_tiPhaseB_tiHeatHiFLO_A|0|VEMS_R_12_01117_001.01
LsSys_bInhLsUsOxCNoPtOkLstStrt_C|0|VEMS_R_12_01117_001.01
LsSys_bInhLsUsOxCPtOkLstStrt_C|0|VEMS_R_12_01117_001.01
LsSys_tMaxLsUsHeatBoostThd_C|0|VEMS_R_12_01117_001.01
LsSys_tMaxLsUsHeatHiThd_C|0|VEMS_R_12_01117_001.01
LsSys_tiLsUsWaitSecBoost_C|0|VEMS_R_12_01117_001.01
LsSys_tiSumLsUsOxCHeatNullThd_C|0|VEMS_R_12_01117_001.01
LsSys_tDsThrLihLsHeat_C|0|VEMS_R_12_01117_001.01
Temperature_air_bkpt_map|0|VEMS_R_12_01117_001.01
