Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM Value|
HeatSenO2_SdlFast_UsCmd|A|();|SCH.3|HEATSENO2USCMD|1|V02 NT 09 04308||||0|0|0|0|Moniteur rapide du module chauffage sonde 02|
HeatSenO2_SdlMid_UsCmd|A|();|SCH.2|HEATSENO2USCMD|1|V02 NT 09 04308||||0|0|0|0|Moniteur moyen du module chauffage sondes O2|
HEATSENO2USCMD_vidCalcPwmPeriod|B|();|FCT1.9|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|fonction de calcul et/ou  détermination de la période du signal de commande de chauffage|
HEATSENO2USCMD_vidCalculTimeOn|B|();|FCT1.10|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|fonction de calcul et/ou  détermination du temps d’activation du signal de commande de chauffage pendant cette période|
HEATSENO2USCMD_vidDriverCmd|E|();|FCT2.1|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|fonction de calcul de la sortie calculateur commandant le transistor de gestion du chauffage de la sonde|
HEATSENO2USCMD_vidEntryInit|A|();|SCH.1|HEATSENO2USCMD|1|V02 NT 09 04308||||0|0|0|0|Fonction d'accroche à l'événement Reset|
HEATSENO2USCMD_vidInitOutput|D|();|FCT1.1|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|fonction d'initialisation des sorties.|
HEATSENO2USCMD_vidLsUsHeatCmd|D|();|FCT1.8|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|L’objectif de ce module est la génération du signal de commande du transistor régissant le chauffage de la sonde à oxygène amont.|
HEATSENO2USCMD_vidLsUsHeatCor|E|();|FCT1.5|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|Ce module permet de prendre en compte la tension batterie dans le calcul de la puissance de chauffage de la sonde, en corrigeant la valeur du signal RCO brut (une hausse du signal traduisant une baisse de la tension batterie) :|
HEATSENO2USCMD_vidLsUsHeatDiag|F|();|FCT1.6|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|Afin de pouvoir diagnostiquer un éventuel court-circuit au niveau du driver de puissance du chauffage sonde, la commande de chauffage est volontairement annulée de façon périodique|
HEATSENO2USCMD_vidLsUsHeatMan|D|();|FCT1.4|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|Ce bloc prévoit l’utilisation d’un mode banc pour le signal de commande du chauffage sonde amont.|
HEATSENO2USCMD_vidLsUsHeatRaw|F|();|FCT1.2|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|Ce module calcule la puissance de chauffage de la sonde O2, qui doit être adaptée en fonction des phases de vie du véhicule.|
HEATSENO2USCMD_vidLsUsHeatReq|D|();|FCT1.7|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|La puissance de chauffage précédemment calculée est remplacée par la valeur nulle lorsque le mode dégradé de fonctionnement est activé ou en cas de surtension batterie.|
HEATSENO2USCMD_vidLsUsHeatTst|A|();|FCT2.2|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|Ce bloc provisionne l’interface permettant d’effectuer le test actionneur chauffage sonde O2 amont.|
HEATSENO2USCMD_vidSlopHeat|E|();|FCT1.3|HEATSENO2USCMD|0|V02 NT 09 04308||||0|0|0|0|Ce bloc met à jour les valeurs maximales de variation des puissances de chauffe lors des changements de phase de chauffage sonde amont|
