Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|5|HEADER|1|NONE||||0|0|0|0||
HeatSenO2_EveCrTR_HotSenO2Flg|A|();|SCH.2|HOTSENO2FLG|1|V02 NT 08 06204||||0|0|0|0|Evénement Cranking -> Running|
HeatSenO2_EveRst_HotSenO2Flg|A|();|SCH.1|HOTSENO2FLG|1|V02 NT 08 06204||||0|0|0|0|Evenement Reset.|
HeatSenO2_SdlMid_HotSenO2Flg|B|();|SCH.3|HOTSENO2FLG|1|V02 NT 08 06204||||0|0|0|0|Moniteur intermédiaire de la fonction HeatSenO2|
HOTSENO2FLG_vidDetHotLsDs|B|();|FCT2.10|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Inversement lorsque l’automate retourne dans les phases de chauffage réduit ou nulle (A, F ou G) la sonde est déclarée froide au bout d’une certaine durée.|
HOTSENO2FLG_vidDetHotLsUS|B|();|FCT2.9|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Inversement lorsque l’automate retourne dans les phases de chauffage reduit ou nulle (A, F ou G) la sonde est déclarée froide au bout d’une certaine duree.|
HOTSENO2FLG_vidDetHotLsUsdiagOK|A|();|FCT3.3|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|indication si  la sonde amont est chaude et prête pour le diagnostic|
HOTSENO2FLG_vidDetSenO2Ds|C|();|FCT2.3|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|vérification que  la  tension de  la sonde à oxygène se trouve hors d’une plage de  tension.|
HOTSENO2FLG_vidDetSenO2DsCold|B|();|FCT2.4|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Si le mélange oscille entre riche et pauvre, la tension va bagotter. La tension devra se trouver en dehors d’un intervalle de tensions pour que la sonde puisse être déclarée chaude.|
HOTSENO2FLG_vidDetSenO2DsHot|B|();|FCT2.5|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|Le signal utilisé est le signal sonde filtré afin d’éviter de fausses détections de sonde chaude dues à des perturbations des signaux bruts.|
HOTSENO2FLG_vidDetSenO2Us|C|();|FCT1.10|HOTSENO2FLG|0|V02 NT 08 06204||||0|0|0|0|vérification que  la  tension de  la sonde à oxygène se trouve hors d’une plage de  tension.|
