Name|Type|Requirement
HOTSENO2FLG_vidO2DsFlg_TiStHeat|1|VEMS_R_09_01916_023.01
HOTSENO2FLG_vidO2UsFlg_TiStHeat|1|VEMS_R_09_01916_023.01
HOTSENO2FLG_vidSenO2UsTiStHeat|1|VEMS_R_09_01916_023.01
Lshd_dn_lbda_sens_heat_map|0|VEMS_R_07_04595_000.02
Lshd_panne_aval_sensor_gain|0|VEMS_R_07_04595_000.02
Temperature_eau_bkpt_map|0|VEMS_R_07_04595_000.02
HOTSENO2FLG_vidSenO2UsTiStHeat|1|VEMS_R_08_03331_001.01
HOTSENO2FLG_vidSenO2UsTiStHeat|1|VEMS_R_08_06204_001.01
HOTSENO2FLG_vidSenO2DsTiStHeat|1|VEMS_R_08_06204_003.01
HOTSENO2FLG_vidUsTiStHeatOkdiag|1|VEMS_R_08_06204_002.01
HOTSENO2FLG_vidDsTiStHeatOkdiag|1|VEMS_R_08_06204_004.01
HOTSENO2FLG_vidSenO2UsHot|1|VEMS_R_08_06204_001.02
HOTSENO2FLG_vidSenO2DsHot|1|VEMS_R_08_06204_002.02
