Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Acceleration_vehicule_mux|uint8|IFAIRSYSIGSYS|1|0|0|Acceleration_vehicule_mux|0|0|Phys|m/s2|1|0.08|-14|IFAIRSYSIGSYS|IFAIRSYSIGSYS||Acceleration_vehicule_mux||1||||||||0|1||||1|0|0||0|0|255|-14|6.4|0|
ADC_ETAT_PROG_1|uint8|IFAIRSYSIGSYS|1|0|0|ADC_ETAT_PROG_1|0|0|Phys|-|||||||ADC_ETAT_PROG_1||3||||||||0|1|||3|0|0|0||0|||||0|
ADC_ETAT_PROG_2|uint8|IFAIRSYSIGSYS|1|0|0|ADC_ETAT_PROG_2|0|0|Phys|-|||||||ADC_ETAT_PROG_2||3||||||||0|1|||4|0|0|0||0|||||0|
ADC_ETAT_PROG_3|uint8|IFAIRSYSIGSYS|1|0|0|ADC_ETAT_PROG_3|0|0|Phys|-|||||||ADC_ETAT_PROG_3||3||||||||0|1|||5|0|0|0||0|||||0|
ADC_ETAT_PROG_ETUDE|uint8|IFAIRSYSIGSYS|1|0|0|ADC_ETAT_PROG_ETUDE|0|0|Phys|-|||||||ADC_ETAT_PROG_ETUDE||3||||||||0|1|||1|0|0|0||0|||||0|
ADC_ETAT_PROG_LIVRAISON|uint8|IFAIRSYSIGSYS|1|0|0|ADC_ETAT_PROG_LIVRAISON|0|0|Phys|-|||||||ADC_ETAT_PROG_LIVRAISON||3||||||||0|1|||2|0|0|0||0|||||0|
ADC_ETAT_UC_APPAIRE_4|uint8|IFAIRSYSIGSYS|1|0|0|ADC_ETAT_UC_APPAIRE_4|0|0|Phys|-|||||||ADC_ETAT_UC_APPAIRE_4||3||||||||0|1|||8|0|0|0||0|||||0|
AFReg_facCorRichPrec|uint16|IFAIRSYSIGSYS|1|0|0|AFReg_facCorRichPrec|0|0|Phys|-|1|2/65536|0|Divers|Divers||AFReg_facCorRichPrec||1||||||||0|0||||1|0|0||0|0|65535|0|1.99996948242188|0|
AirSys_pInMnfReq|uint16|HEADER|1|0|0|AirSys_pInMnfReq|0|0|Phys|Pa|1|8|0|Divers|Divers||AirSys_pInMnfReq||1||||||||0|1||||1|0|0||0|0|65535|0|524280|0|
AirSys_prm_pInMnfReq|uint16|HEADER|1|1|2|AirSys_prm_pInMnfReq|0|0|Phys|Pa|1|8|0|IFRTE|IFRTE||AirSys_prm_pInMnfReq||1||*||*||*||0|1||||1|0|0||0|0|65535|0|524280|0|
AirSys_prm_pInMnfReq_If_C|uint8|IFAIRSYSIGSYS|1|0|0|AirSys_prm_pInMnfReq_If_C|0|0|Phys|-|1|1|0|Divers|Divers||AirSys_prm_pInMnfReq_If_C||2|||||||NONE|1|1||||1|0|0|composante du vecteur AirSys_prm_pInMnfReq.|0|1|2|1|2|0|
AltCtl_iAlt|uint8|HEADER|1|0|0|AltCtl_iAlt|0|0|Phys|A|1|1/16|0|Communication|Communication||AltCtl_iAlt||1||||||||0|1||||1|0|0||0|0|160|0|10|0|
AltCtl_idxAltProv|uint8|HEADER|1|0|0|AltCtl_idxAltProv|0|0|Phys|-|1|1|0|Communication|Communication||AltCtl_idxAltProv||1||||||||0|1||||1|0|0||0|0|10|0|10|0|
AltCtl_rAltCycOpRate|uint8|HEADER|1|0|0|AltCtl_rAltCycOpRate|0|0|Phys|%|1|1|0|Communication|Communication||AltCtl_rAltCycOpRate||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Atmospheric_pressure|uint16|IFAIRSYSIGSYS|1|0|0|Atmospheric_pressure|0|0|Phys|kPa|1|0.008|0|Cf|Cf||Atmospheric_pressure||1||||||||0|1||||1|0|0||0|0|65535|0|524.28|0|
