Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
AC_EveRst_ACPresAcqIf|B|();|SCH10.2|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evènement reset|
AC_SdlFast_ACPresAcqIf|B|();|SCH11.7|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Moniteur rapide de la fonction climatisation|
AirPres_EveRst_AirExtPresAcqIf|B|();|SCH1.2|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evénement reset du calculateur.|
AirPres_SdlFast_AirExtPresAcqIf|C|();|SCH19.3|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Monitoring rapide de la fonction AirPres.|
AirPres_SdlSlow_AirExtPresAcqIf|C|();|SCH19.2|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Moniteur lent.|
AirT_EveRst_AcqAirTIf|B|();|SCH1.3|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evénement reset ECU du module d'interface|
AirT_SdlMid_AcqAirTIf|E|();|SCH6.8|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Moniteur moyen du module d'interface|
Can_EveRst_FHCanF349If_2|C|();|SCH2.1|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evènement reset de l'ECU.|
Can_EveRst_FHCanF3C9If|C|();|SCH10.10|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evènement reset de l'ECU.|
Can_EveRst_FHCanF432If|E|();|SCH3.3|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evenement reset lie au CAN|
Can_EveRst_FHCanF495If|C|();|SCH3.4|IFAIRSYSIGSYS|1|PTS_DOC_5076182||||0|0|0|0|Evenement reset lie au CAN.|
