Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ActrTstCoil_CmdTime|uint8|IGCOILACTEST|0|0|0|ActrTstCoil_CmdTime|0|0|Phys|s|1|0.001|0|IgCoil|IgCoil||ActrTstCoil_CmdTime||1||||||||0|1||||1|0|0||0|0|255|0|0.255|0|
ActrTstCoil_CumulTime|uint16|IGCOILACTEST|0|0|0|ActrTstCoil_CumulTime|0|0|Phys|s|1|IgCmd_SampleTiFast_SC/1000|0|IgCoil|IgCoil||ActrTstCoil_CumulTime||1||||||||0|1||||1|0|0||0|0|5000|0|50|0|
ActrTstCoil_IntTime|uint16|IGCOILACTEST|0|0|0|ActrTstCoil_IntTime|0|0|Phys|s|1|0.001|0|IgCoil|IgCoil||ActrTstCoil_IntTime||1||||||||0|1||||1|0|0||0|0|50000|0|50|0|
ActrTstCoil_OffTime|uint16|IGCOILACTEST|1|0|0|ActrTstCoil_OffTime|0|0|Phys|s|1|0.001|0|IgCoil|IgCoil||ActrTstCoil_OffTime||2|||||||V02 NT 09 00741|1|1||||1|0|0|Temps de commande nulle du test actionneur|0|0|65535|0|65.535|0|
ActrTstCoil_OnTime|uint8|IGCOILACTEST|1|0|0|ActrTstCoil_OnTime|0|0|Phys|s|1|0.001|0|IgCoil|IgCoil||ActrTstCoil_OnTime||2|||||||V02 NT 09 00741|1|1||||1|0|0|Temps de commande de la bobine pendant le test actionneur|0|0|255|0|0.255|0|
ActrTstCoil_TempoIdle|uint16|IGCOILACTEST|0|0|0|ActrTstCoil_TempoIdle|0|0|Phys|s|1|IgCmd_SampleTiFast_SC/1000|0|IgCoil|IgCoil||ActrTstCoil_TempoIdle||1||||||||0|1||||1|0|0||0|0|5000|0|50|0|
ActrTstCoil_TempoIdle_C|uint16|IGCOILACTEST|1|0|0|ActrTstCoil_TempoIdle_C|0|0|Phys|s|1|IgCmd_SampleTiFast_SC/1000|0|IgCoil|IgCoil||ActrTstCoil_TempoIdle_C||2|||||||V02 NT 09 00741|1|1||||1|0|0|Temps nécessaire entre 2 tests actionneurs|0|0|5000|0|50|0|
ActrTstCoil_TotTime|uint16|IGCOILACTEST|1|0|0|ActrTstCoil_TotTime|0|0|Phys|s|1|IgCmd_SampleTiFast_SC/1000|0|IgCoil|IgCoil||ActrTstCoil_TotTime||2|||||||V02 NT 09 00741|1|1||||1|0|0|Temps total du test actionneur|0|0|5000|0|50|0|
Code_test_action|uint8|HEADER|1|0|0|Code_test_action|0|0|Phys|-|1|1|0|divers|divers||Code_test_action||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
CODE_TEST_BOBINE_1|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_1|0|0|Phys|-|||||||CODE_TEST_BOBINE_1||3||||||||0|1|||223|0|0|0||0|||||0|
CODE_TEST_BOBINE_2|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_2|0|0|Phys|-|||||||CODE_TEST_BOBINE_2||3||||||||0|1|||207|0|0|0||0|||||0|
CODE_TEST_BOBINE_3|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_3|0|0|Phys|-|||||||CODE_TEST_BOBINE_3||3||||||||0|1|||191|0|0|0||0|||||0|
CODE_TEST_BOBINE_4|uint8|HEADER|1|0|0|CODE_TEST_BOBINE_4|0|0|Phys|-|||||||CODE_TEST_BOBINE_4||3||||||||0|1|||175|0|0|0||0|||||0|
