Name|Type|Requirement
IgVoltAdj_bVoltAdj|0|VEMS_E_11_05231_001.01
IgVoltAdj_bVoltAdj|0|VEMS_E_11_05231_002.01
IgVoltAdj_nEngThr_A|0|VEMS_E_11_05231_001.01
IgVoltAdj_nEngThr_A|0|VEMS_E_11_05231_002.01
IgVoltAdj_rAirLdMin_T|0|VEMS_E_11_05231_001.01
IgVoltAdj_rAirLdMin_T|0|VEMS_E_11_05231_002.01
IgVoltAdj_bActVoltAdj_C|0|VEMS_E_11_05231_001.01
IgVoltAdj_bActVoltAdj_C|0|VEMS_E_11_05231_002.01
IgVoltAdj_rIcdBstReqHiThd_C|0|VEMS_E_11_05231_001.01
IgVoltAdj_rIcdBstReqHiThd_C|0|VEMS_E_11_05231_002.01
IgVoltAdj_rIcdBstReqLoThd_C|0|VEMS_E_11_05231_001.01
IgVoltAdj_rIcdBstReqLoThd_C|0|VEMS_E_11_05231_002.01
IgVoltAdj_tiActDly_C|0|VEMS_E_11_05231_001.01
IgVoltAdj_tiActDly_C|0|VEMS_E_11_05231_002.01
IgVoltAdj_tiDeacDly_C|0|VEMS_E_11_05231_001.01
IgVoltAdj_tiDeacDly_C|0|VEMS_E_11_05231_002.01
IgVoltAdj_bVoltAdj_M|0|VEMS_E_11_05231_001.01
IgVoltAdj_bVoltAdj_M|0|VEMS_E_11_05231_002.01
IgVoltAdj_dstVehMinVoltAdj_C|0|VEMS_E_11_05231_001.01
IgVoltAdj_dstVehMinVoltAdj_C|0|VEMS_E_11_05231_002.01
IgVoltAdj_nEng_bVoltAdjX_A|0|VEMS_E_11_05231_001.01
IgVoltAdj_nEng_bVoltAdjX_A|0|VEMS_E_11_05231_002.01
IgVoltAdj_rAir_bVoltAdjY_A|0|VEMS_E_11_05231_001.01
IgVoltAdj_rAir_bVoltAdjY_A|0|VEMS_E_11_05231_002.01
IGVOLTADJ_vidEntryInit|1|VEMS_E_11_05231_001.01
IGVOLTADJ_vidEntryInit|1|VEMS_E_11_05231_002.01
IGVOLTADJ_vidIgVoltAdj|1|PTS_R_6444206_003.01
IGVOLTADJ_vidVoltAdjZone|1|PTS_R_6444206_004.01
Volt_SdlFast_IgVoltAdj|1|VEMS_E_11_05231_001.01
Volt_SdlFast_IgVoltAdj|1|VEMS_E_11_05231_002.01
