Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AirSys_bDgoBoost1_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bDgoBoost1_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bDgoBoost1_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bDgoBoost2_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bDgoBoost2_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bDgoBoost2_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bDgoBoost3_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bDgoBoost3_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bDgoBoost3_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bDgoBoost4_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bDgoBoost4_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bDgoBoost4_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bMonRunBoost1_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bMonRunBoost1_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bMonRunBoost1_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bMonRunBoost2_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bMonRunBoost2_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bMonRunBoost2_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bMonRunBoost3_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bMonRunBoost3_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bMonRunBoost3_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_bMonRunBoost4_pDsThr|boolean|INAIRFLOWDIAG|0|0|0|AirSys_bMonRunBoost4_pDsThr|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||AirSys_bMonRunBoost4_pDsThr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirSys_nEng_C|uint16|INAIRFLOWDIAG|1|0|0|AirSys_nEng_C|0|0|Phys|rpm|1|1|0|Divers|Divers||AirSys_nEng_C||2|||||||PTS_DOC_5198333|1|1||||1|0|0|Seuil sur le régime moteur pour l'activation du diag fuite ou augmentation du débit dans le répartiteur|0|0|7500|0|7500|0|
AirSys_pDsThrLeak1|uint16|INAIRFLOWDIAG|0|0|0|AirSys_pDsThrLeak1|0|0|Phys|-|1|1/16384|0|Divers|Divers||AirSys_pDsThrLeak1||1||||||||0|1||||1|0|0||0|0|65535|0|3.99993896484375|0|
