Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
Inj_EveRst_ActrTstInj|C|();|SCH.1|INJACTEST|1|PTS_DOC_5135792||||0|0|0|0|Evènement reset du calculateur|
Inj_SdlFast_ActrTstInj|C|();|SCH.2|INJACTEST|1|PTS_DOC_5135792||||0|0|0|0|Moniteur rapide de la fonction Inj|
INJACTEST_vidEntryMode|D|();|FCT1.4|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|LDB is informed that an actuator test or an injector opening first start factory will be executed.|
INJACTEST_vidInitOutput|F|();|FCT1.1|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Outputs initialization|
INJACTEST_vidStateEnd|E|();|FCT2.6|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_END|
INJACTEST_vidStateFirstFull|A|();|FCT2.8|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_FIRSTFULL|
INJACTEST_vidStateIdle|E|();|FCT2.1|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_IDLE|
INJACTEST_vidStateLdbReconf|C|();|FCT2.7|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_LDB_RECONF|
INJACTEST_vidStateOff|F|();|FCT2.4|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_OFF|
INJACTEST_vidStateOn|F|();|FCT2.3|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_ON|
INJACTEST_vidStateStart|C|();|FCT2.2|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_START|
INJACTEST_vidStateStop|E|();|FCT2.5|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Treatment executed on state INJ_ACTRTST_STOP|
INJACTEST_vidTestEnd|F|();|FCT1.6|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|When the actuator test or the injector opening first start factory has ended, the LDB must go back to a synchronous configuration.|
INJACTEST_vidTestFrLstRun|G|();|FCT1.7|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|Il est nécessaire de savoir si un test actionneur injecteur a été réalisé depuis le dernier démarrage moteur afin de ne pas autoriser le test actionneur bobine.|
INJACTEST_vidTestMode|F|();|FCT1.5|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|An injection time is calculated for the actuator testor injector opening first start factoryand sent to the LDB.|
INJACTEST_vidTimeToInj|H|();|FCT1.2|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|The manager determines if an actuator testor injector opening first start factorymust be launched or not. In case of an actuator test request, the power relay is closed and Inj_bInjTstCmpl is set at 0 (test uncompleted).|
INJACTEST_vidTimeToInjCln|G|();|FCT1.3|INJACTEST|0|PTS_DOC_5135792||||0|0|0|0|La machine à états détermine si un test actionneur doit être lancé ou non.|
INJHAL_vidTestModeEntry|A|();|2|HEADER|1|NONE||||0|0|0|0||
INJHAL_vidTestModeExit|A|();|4|HEADER|1|NONE||||0|0|0|0||
INJHAL_vidWriteTestTime|B|(argin uint8 u8Channel, argin uint32 u32InjTestTime);|3|HEADER|1|NONE||||0|0|0|0||
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0||
