Name|Type|Requirement
AFReg_bAFRegAcv|0|VEMS_E_08_05763_007.01
AFReg_bAFRegAcv|0|VEMS_E_08_05763_008.01
AFReg_bAFRegAcv|0|VEMS_E_08_05763_009.01
AFReg_bAFRegAcv|0|VEMS_E_08_05763_010.01
Conditions_for_feedback|0|VEMS_E_08_05763_007.01
Conditions_for_feedback|0|VEMS_E_08_05763_008.01
Conditions_for_feedback|0|VEMS_E_08_05763_009.01
Conditions_for_feedback|0|VEMS_E_08_05763_010.01
Enable_dec_obj_rich_mise_en_ac|0|VEMS_E_08_05763_007.01
Enable_dec_obj_rich_mise_en_ac|0|VEMS_E_08_05763_008.01
Enable_dec_obj_rich_mise_en_ac|0|VEMS_E_08_05763_009.01
Enable_dec_obj_rich_mise_en_ac|0|VEMS_E_08_05763_010.01
Lambda_closed_loop|0|VEMS_E_08_05763_007.01
Lambda_closed_loop|0|VEMS_E_08_05763_008.01
Lambda_closed_loop|0|VEMS_E_08_05763_009.01
Lambda_closed_loop|0|VEMS_E_08_05763_010.01
Lambda_cond_for_adaptation|0|VEMS_E_08_05763_007.01
Lambda_cond_for_adaptation|0|VEMS_E_08_05763_008.01
Lambda_cond_for_adaptation|0|VEMS_E_08_05763_009.01
Lambda_cond_for_adaptation|0|VEMS_E_08_05763_010.01
Lambda_cond_for_feedback|0|VEMS_E_08_05763_007.01
Lambda_cond_for_feedback|0|VEMS_E_08_05763_008.01
Lambda_cond_for_feedback|0|VEMS_E_08_05763_009.01
Lambda_cond_for_feedback|0|VEMS_E_08_05763_010.01
Lambda_for_saf_diag_active|0|VEMS_E_08_05763_007.01
Lambda_for_saf_diag_active|0|VEMS_E_08_05763_008.01
Lambda_for_saf_diag_active|0|VEMS_E_08_05763_009.01
Lambda_for_saf_diag_active|0|VEMS_E_08_05763_010.01
InjCtl_EveCrTR_FarCtlMgr|1|VEMS_E_08_05763_007.01
InjCtl_EveCrTR_FarCtlMgr|1|VEMS_E_08_05763_008.01
InjCtl_EveCrTR_FarCtlMgr|1|VEMS_E_08_05763_009.01
InjCtl_EveCrTR_FarCtlMgr|1|VEMS_E_08_05763_010.01
InjCtl_EveRst_FarCtlMgr|1|VEMS_E_08_05763_007.01
InjCtl_EveRst_FarCtlMgr|1|VEMS_E_08_05763_008.01
InjCtl_EveRst_FarCtlMgr|1|VEMS_E_08_05763_009.01
Monitor_feedback_conds_state|0|VEMS_E_08_05763_007.01
Monitor_feedback_conds_state|0|VEMS_E_08_05763_008.01
Monitor_feedback_conds_state|0|VEMS_E_08_05763_009.01
Monitor_feedback_conds_state|0|VEMS_E_08_05763_010.01
OxC_bMonIntrErunCdn|0|VEMS_E_08_05763_007.01
OxC_bMonIntrErunCdn|0|VEMS_E_08_05763_008.01
OxC_bMonIntrErunCdn|0|VEMS_E_08_05763_009.01
OxC_bMonIntrErunCdn|0|VEMS_E_08_05763_010.01
Phase_apres_depart|0|VEMS_E_08_05763_007.01
Phase_apres_depart|0|VEMS_E_08_05763_008.01
Phase_apres_depart|0|VEMS_E_08_05763_009.01
Phase_apres_depart|0|VEMS_E_08_05763_010.01
InjCtl_bAcvObjRichRegul_C|0|VEMS_E_08_05763_007.01
InjCtl_bAcvObjRichRegul_C|0|VEMS_E_08_05763_008.01
InjCtl_bAcvObjRichRegul_C|0|VEMS_E_08_05763_009.01
InjCtl_bAcvObjRichRegul_C|0|VEMS_E_08_05763_010.01
InjCtl_ctLbDiRMixtSenO2Calc_C|0|VEMS_E_08_05763_007.01
InjCtl_ctLbDiRMixtSenO2Calc_C|0|VEMS_E_08_05763_008.01
InjCtl_ctLbDiRMixtSenO2Calc_C|0|VEMS_E_08_05763_009.01
