Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Cat_old_gain|uint8|HEADER|1|0|0|Cat_old_gain|0|0|Phys|-|1|1/256|0|INJECTION|INJECTION||Cat_old_gain||1||||||||0|1||||1|0|0||0|0|255|0|0.99609375|0
Conditions_for_feedback|boolean|HEADER|1|0|0|Conditions_for_feedback|0|0|Phys|bool|2|0||INJECTION|INJECTION||Conditions_for_feedback||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Current_dnstr_correction_state|st49|INJFARCTLDSCTL|1|0|0|Current_dnstr_correction_state|0|0|Phys|etat|4|||INJ/INJCTL|INJ/INJCTL||Current_dnstr_correction_state||1||||||||0|1||||1|0|0||0|0|255|0|255|0
Delta_sonde_aval_gaz|sint8|HEADER|1|0|0|Delta_sonde_aval_gaz|0|0|Phys|mV|1|2500/256|0|Divers|Divers||Delta_sonde_aval_gaz||1||||||||0|1||||1|0|0||0|-128|127|-1250|1240.234375|0
Dnstr_add_pmh_modifier|uint8|INJFARCTLDSCTL|1|0|0|Dnstr_add_pmh_modifier|0|0|Phys|PMH|1|1|0|INJ/INJCTL|INJ/INJCTL||Dnstr_add_pmh_modifier||1||||||||0|1||||1|0|0||0|0|255|0|255|0
Dnstr_add_s_modifier|uint16|INJFARCTLDSCTL|1|0|0|Dnstr_add_s_modifier|0|0|Phys|s|1|InjCtl_SampleTiFast_SC/1000|0|INJ/INJCTL|INJ/INJCTL||Dnstr_add_s_modifier||1||||||||0|1||||1|0|0||0|0|60000|0|600|0
Dnstr_conds_met|boolean|INJFARCTLDSCTL|1|0|0|Dnstr_conds_met|0|0|Phys|bool|2|0||INJ/INJCTL|INJ/INJCTL||Dnstr_conds_met||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dnstr_down_stream_ref_voltage|uint16|INJFARCTLDSCTL|0|0|0|Dnstr_down_stream_ref_voltage|0|0|Phys|V|1|5/1024|0|INJ/INJCTL|INJ/INJCTL||Dnstr_down_stream_ref_voltage||1||||||||0|1||||1|0|0||0|0|1023|0|4.9951171875|0
Dnstr_down_stream_ref_voltage_c|uint16|INJFARCTLDSCTL|1|0|0|Dnstr_down_stream_ref_voltage_c|0|0|Phys|V|1|5/1024|0|INJ/INJCTL|INJ/INJCTL||Dnstr_down_stream_ref_voltage_c||2|||||||V02 NT 08 05886|1|1||||1|0|0|Calibration utilisée pour le mode banc pour l'erreur en tension sonde aval|0|0|1023|0|4.9951171875|0
Dnstr_dwn_strm_ref_volt_emis_map|uint16|INJFARCTLDSCTL|1|9|9|Dnstr_dwn_strm_ref_volt_emis_map|0|0|Phys|V|1|5/1024|0|INJ/INJCTL|INJ/INJCTL||Dnstr_dwn_strm_ref_volt_emis_map||2|Engine_load|Regime_moteur_32|F1|F1_b|Engine_load_2_bkpt_map|Regime_moteur_2_bkpt_map|V02 NT 08 05886|1|1||||1|0|0|Cartographie des tensions de référence de la  sonde aval indice_emission|0|0|1023|0|4.9951171875|0
Dnstr_dwn_strm_ref_volt_neuf_map|uint16|INJFARCTLDSCTL|1|9|9|Dnstr_dwn_strm_ref_volt_neuf_map|0|0|Phys|V|1|5/1024|0|INJ/INJCTL|INJ/INJCTL||Dnstr_dwn_strm_ref_volt_neuf_map||2|Engine_load|Regime_moteur_32|F1|F1_b|Engine_load_2_bkpt_map|Regime_moteur_2_bkpt_map|V02 NT 08 05886|1|1||||1|0|0|Cartographie des tensions de référence de la  sonde aval indice_neuf|0|0|1023|0|4.9951171875|0
Dnstr_entry_delay|uint16|INJFARCTLDSCTL|0|0|0|Dnstr_entry_delay|0|0|Phys|s|1|InjCtl_SampleTiMid_SC/1000|0|INJ/INJCTL|INJ/INJCTL||Dnstr_entry_delay||1||||||||0|1||||1|0|0||0|0|400|0|40|0
Dnstr_entry_delay_c|uint16|INJFARCTLDSCTL|1|0|0|Dnstr_entry_delay_c|0|0|Phys|s|1|InjCtl_SampleTiMid_SC/1000|0|INJ/INJCTL|INJ/INJCTL||Dnstr_entry_delay_c||2|||||||V02 NT 08 05886|1|1||||1|0|0|Délai d'attente après complétude des conditions dynamiques d'adaptation|0|0|400|0|40|0
Dnstr_err_tension|uint16|INJFARCTLDSCTL|0|0|0|Dnstr_err_tension|0|0|Phys|V|1|5/1024|-5|INJ/INJCTL|INJ/INJCTL||Dnstr_err_tension||1||||||||0|1||||1|0|0||0|0|2047|-5|4.9951171875|0
Dnstr_err_tension_gain_bkpt_map|uint16|INJFARCTLDSCTL|1|1|9|Dnstr_err_tension_gain_bkpt_map|0|0|Phys|V|1|5/1024|-5|INJ/INJCTL|INJ/INJCTL||Dnstr_err_tension_gain_bkpt_map||2||Dnstr_err_tension||F1||Dnstr_err_tension_gain_bkpt_map|V02 NT 08 05886|1|1||||1|0|0|Table de points d'appuis pour la cartographie des gains sur l'erreur de tension aval|0|0|2047|-5|4.9951171875|0
Dnstr_err_tension_int_gain|uint8|INJFARCTLDSCTL|0|0|0|Dnstr_err_tension_int_gain|0|0|Phys|%|1|200/256|0|INJ/INJCTL|INJ/INJCTL||Dnstr_err_tension_int_gain||1||||||||0|1||||1|0|0||0|0|255|0|199.21875|0
