Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AFReg_facCorRich|uint16|INJFARCTLUSCTL|1|0|0|AFReg_facCorRich|0|0|Phys|-|1|1/128|0|Inj/InjCtl|Inj/InjCtl||AFReg_facCorRich||1||||||||0|1||||1|0|0||0|0|1280|0|10|0|
AFReg_rFbLsclFil|sint16|INJFARCTLUSCTL|1|0|0|AFReg_rFbLsclFil|0|0|Phys|%|1|50/65536|0|Inj/InjCtl|Inj/InjCtl||AFReg_rFbLsclFil||1||||||||0|1||||1|0|0||0|-32768|32767|-25|24.9992370605469|0|
Aregulation|uint16|INJFARCTLUSCTL|0|0|0|Aregulation|0|0|Phys|%|1|50/65536|0|Inj/InjCtl|Inj/InjCtl||Aregulation||1||||||||0|1||||1|0|0||0|0|65535|0|49.9992370605469|0|
Aregulation_filt|uint16|INJFARCTLUSCTL|0|0|0|Aregulation_filt|0|0|Phys|%|1|50/65536|0|Inj/InjCtl|Inj/InjCtl||Aregulation_filt||1||||||||0|1||||1|0|0||0|0|65535|0|49.9992370605469|0|
Cat_mon_inhibe_fast_tracking|boolean|HEADER|1|0|0|Cat_mon_inhibe_fast_tracking|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Cat_mon_inhibe_fast_tracking||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cat_old_gain|uint8|HEADER|1|0|0|Cat_old_gain|0|0|Phys|-|1|1/256|0|Injection|Injection||Cat_old_gain||1||||||||0|1||||1|0|0||0|0|255|0|0.99609375|0|
Cf_bInhFlex|boolean|HEADER|1|0|0|Cf_bInhFlex|0|0|Phys|bool|2|0||Divers|Divers||Cf_bInhFlex||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Delta_lam_gaz|sint16|HEADER|1|0|0|Delta_lam_gaz|0|0|Phys|-|1|14.7/131072|0|FHCAN|FHCAN||Delta_lam_gaz||1||||||||0|1||||1|0|0||0|-17833|17833|-2.00000839233398|2.00000839233398|0|
Delta_PMH_gaz|uint8|INJFARCTLUSCTL|0|0|0|Delta_PMH_gaz|0|0|Phys|PMH|1|1|0|Inj/InjCtl|Inj/InjCtl||Delta_PMH_gaz||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Dnstr_add_pmh_modifier|uint8|HEADER|1|0|0|Dnstr_add_pmh_modifier|0|0|Phys|PMH|1|1|0|Injection|Injection||Dnstr_add_pmh_modifier||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Dnstr_modifier_sampled|uint8|INJFARCTLUSCTL|0|0|0|Dnstr_modifier_sampled|0|0|Phys|PMH|1|1|0|Inj/InjCtl|Inj/InjCtl||Dnstr_modifier_sampled||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Dnstr_modifier_time_scale|uint16|INJFARCTLUSCTL|1|0|0|Dnstr_modifier_time_scale|0|0|Phys|s|1|InjCtl_SampleTiFast_SC/1000|0|Inj/InjCtl|Inj/InjCtl||Dnstr_modifier_time_scale||1||||||||0|1||||1|0|0||0|0|65535|0|655.35|0|
Dnstr_retard_purge_pauvre|uint16|HEADER|1|0|0|Dnstr_retard_purge_pauvre|0|0|Phys|PMH|1|1/256|0|Injection|Injection||Dnstr_retard_purge_pauvre||1||||||||0|1||||1|0|0||0|0|65535|0|255.99609375|0|
Dnstr_retard_purge_riche|uint16|HEADER|1|0|0|Dnstr_retard_purge_riche|0|0|Phys|PMH|1|1/256|0|Injection|Injection||Dnstr_retard_purge_riche||1||||||||0|1||||1|0|0||0|0|65535|0|255.99609375|0|
Dnstr_substract_pmh_modifier|uint8|HEADER|1|0|0|Dnstr_substract_pmh_modifier|0|0|Phys|PMH|1|1|0|Injection|Injection||Dnstr_substract_pmh_modifier||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
E_monitor_up_stream_oxy_sensor|boolean|HEADER|1|0|0|E_monitor_up_stream_oxy_sensor|0|0|Phys|bool|2|0||Strategies OBD|Strategies OBD||E_monitor_up_stream_oxy_sensor||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Engine_air_load|uint16|HEADER|1|0|0|Engine_air_load|0|0|Phys|%|1|200/65536|0|Etat collecteur|Etat collecteur||Engine_air_load||1||||||||0|1||||1|0|0||0|0|65535|0|199.996948242188|0|
Engine_air_load_derivate|sint8|INJFARCTLUSCTL|0|0|0|Engine_air_load_derivate|0|0|Phys|%/s|1|5|0|Inj/InjCtl|Inj/InjCtl||Engine_air_load_derivate||1||||||||0|1||||1|0|0||0|-128|127|-640|635|0|
Engine_load|uint16|HEADER|1|0|0|Engine_load|0|0|Phys|%|1|200/65536|0|Etat collecteur|Etat collecteur||Engine_load||1||||||||0|1||||1|0|0||0|0|65535|0|199.996948242188|0|
Engine_load_bkpt_map|uint16|INJFARCTLUSCTL|1|1|16|Engine_load_bkpt_map|0|0|Phys|%|1|200/65536|0|Inj/InjCtl|Inj/InjCtl||Engine_load_bkpt_map||2||Engine_load||F1||Engine_load_bkpt_map|PTS_DOC_5215083|1|1||||1|0|0|Points d' appui programmables en charge du  moteur|0|0|65535|0|199.996948242188|0|
