Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|B|(argin uint16 u16channel)boolean ;|2|HEADER|1|||||0|0|0|0||
InjCtl_EveFbDisab_FarCtlMgr|B|();|SCH.13|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Evènement de désactivation de la régulation de richesse|
InjCtl_EveFbEnad_FarCtlMgr|B|();|SCH.1|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveFbEnad_FarCtlMgr|
InjCtl_EveFbForSafEnad_FarCtlMgr|B|();|SCH.2|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveFbForSafEnad_FarCtlMgr|
InjCtl_EveIniClsdLoop_FarCtlMgr|B|();|SCH.3|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l 'event InjCtl_EveIniClsdLoop_FarCtlMgr|
InjCtl_EveIniFbClcn_FarCtlMgr|B|();|SCH.4|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveIniFbClcn_FarCtlMgr|
InjCtl_EveIniFbPrm_FarCtlMgr|B|();|SCH.5|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveIniFbPrm_FarCtlMgr|
InjCtl_EveMonrFbCdn_FarCtlMgr|C|();|SCH.12|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event  InjCtl_EveMonrFbCdn_FarCtlMgr|
InjCtl_EveReIniFbSaf_FarCtlMgr|B|();|SCH.7|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveReIniFbSaf_FarCtlMgr|
InjCtl_EveRst_InjFarCtlUsCtl|B|();|SCH.9|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveRst_InjFarCtlUsCtl|
InjCtl_EveRstLbdFb_FarCtlMgr|B|();|SCH.8|INJFARCTLUSCTL|1|PTS_DOC_5215083||||0|0|0|0|Fonction d'accroche à l'event InjCtl_EveRstLbdFb_FarCtlMgr|
