Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Check_fuelling_fault|boolean|INJTICOR|0|0|0|Check_fuelling_fault|0|0|Phys|bool|2|0||INJ|INJ||Check_fuelling_fault||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Clamp_operated|boolean|INJTICOR|0|0|0|Clamp_operated|0|0|Phys|bool|2|0||INJ|INJ||Clamp_operated||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Diag_trim|sint8|INJTICOR|1|0|0|Diag_trim|0|0|Phys|%|1|100/256|0|INJ|INJ||Diag_trim||1||||||||0|1||||1|0|0||0|-128|127|-50|49.609375|0|
Ext_bPresGaz|boolean|HEADER|1|0|0|Ext_bPresGaz|0|0|Phys|bool|2|0||Divers|Divers||Ext_bPresGaz||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_stGasMod_SC|uint8|HEADER|1|0|0|Ext_stGasMod_SC|0|0|Phys|-|||||||Ext_stGasMod_SC||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_stGslMod_SC|uint8|HEADER|1|0|0|Ext_stGslMod_SC|0|0|Phys|-|||||||Ext_stGslMod_SC||3||||||||0|1|||3|0|0|0||0|||||0|
Ext_stSysGas|uint8|HEADER|1|0|0|Ext_stSysGas|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stSysGas||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
Ext_stTranGasGsl_SC|uint8|HEADER|1|0|0|Ext_stTranGasGsl_SC|0|0|Phys|-|||||||Ext_stTranGasGsl_SC||3||||||||0|1|||1|0|0|0||0|||||0|
Ext_stTranGslGas_SC|uint8|HEADER|1|0|0|Ext_stTranGslGas_SC|0|0|Phys|-|||||||Ext_stTranGslGas_SC||3||||||||0|1|||2|0|0|0||0|||||0|
Flev_low_fuel_level|boolean|HEADER|1|0|0|Flev_low_fuel_level|0|0|Phys|bool|2|0||Divers|Divers||Flev_low_fuel_level||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Flev_low_fuel_level_Afl|boolean|INJTICOR|0|0|0|Flev_low_fuel_level_Afl|0|0|Phys|bool|2|0||INJ|INJ||Flev_low_fuel_level_Afl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Flev_low_fuel_level_lfbk_count|uint16|INJTICOR|0|0|0|Flev_low_fuel_level_lfbk_count|0|0|Phys|s|1|Inj_SampleTiFast_SC/1000|0|INJ|INJ||Flev_low_fuel_level_lfbk_count||1||||||||0|1||||1|0|0||0|0|30000|0|300|0|
