Name|Type|Requirement
Inj_bAcvSeqMemORngLfbkGas_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqORngLfbk_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqORngLfbk_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqORngLfbk_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqORngLfbk_Afr|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqORngLfbkGas_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqORngLfbkGas_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqORngLfbkGas_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqORngLfbkGas_Afr|0|VEMS_R_09_03211_002.03
Inj_InjTiCorFacMax_Obd6Mod|0|VEMS_R_09_03211_001.03
Inj_InjTiCorFacMax_Obd6Mod|0|VEMS_R_09_03211_002.03
Inj_InjTiCorFacMes_Obd6Mod|0|VEMS_R_09_03211_001.03
Inj_InjTiCorFacMin_Obd6Mod|0|VEMS_R_09_03211_001.03
Inj_InjTiCorFacMin_Obd6Mod|0|VEMS_R_09_03211_002.03
Lfbk_cor_completed|0|VEMS_R_09_03211_001.03
Inj_InjTiCorFacMes_Obd6Mod|0|VEMS_R_09_03211_005.02
Inj_InjTiCorFacMin_Obd6Mod|0|VEMS_R_09_03211_005.02
Lfbk_cor_completed|0|VEMS_R_09_03211_005.02
Lfbk_diag_no_failure_completed|0|VEMS_R_09_03211_005.02
Lfbk_diag_trim_enable|0|VEMS_R_09_03211_001.03
Lfbk_diag_trim_enable|0|VEMS_R_09_03211_002.03
Lfbk_diag_trim_enable|0|VEMS_R_09_03211_005.02
Inj_bAcvSeqDftFu_Afl_C|0|VEMS_R_09_03211_005.02
Inj_bAcvSeqDftFu_Afr_C|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqDftFu_Afl_C|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqDftFu_Afr_C|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqORngLfbk_Afl_C|0|VEMS_R_09_03211_001.03
Inj_bInhDiagPresScav_C|0|VEMS_R_09_03211_001.03
Inj_tiInhDiag_C|0|VEMS_R_09_03211_001.03
Inj_tiInhDiag_C|0|VEMS_R_09_03211_005.02
Lfbk_clamp_test_time_c|0|VEMS_R_09_03211_005.02
Lfbk_clamp_test_time_gas_c|0|VEMS_R_09_03211_005.02
Lfbk_desired_conditions_delay_C|0|VEMS_R_09_03211_005.02
Lfbk_desired_conditions_dly_g_C|0|VEMS_R_09_03211_005.02
Inj_bAcvSeqMemDftFuGas_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemDftFuGas_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemDftFuGas_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemDftFuGas_Afr|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemDftSenO2_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemDftSenO2_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemDftSenO2_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemDftSenO2_Afr|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemDftSenO2Gas_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemDftSenO2Gas_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemDftSenO2Gas_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemDftSenO2Gas_Afr|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemORngLfbk_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemORngLfbk_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemORngLfbk_Afr|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemORngLfbk_Afr|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemORngLfbkGas_Afl|0|VEMS_R_09_03211_001.03
Inj_bAcvSeqMemORngLfbkGas_Afl|0|VEMS_R_09_03211_002.03
Inj_bAcvSeqMemORngLfbkGas_Afr|0|VEMS_R_09_03211_002.03
Inj_InjTiCorFacMes_Obd6Mod|0|VEMS_R_09_03211_002.03
Lfbk_diag_aborted_delay_c|0|VEMS_R_09_03211_005.02
