Name|Type|Requirement
InjSys_bVoltAdj|0|VEMS_E_11_05229_001.01
InjSys_bVoltAdj|0|VEMS_E_11_05229_002.01
InjSys_facNrInjOfsThd_T|0|VEMS_E_11_05229_001.01
InjSys_facNrInjOfsThd_T|0|VEMS_E_11_05229_002.01
InjSys_agPmpVoltAdjThd_C|0|VEMS_E_11_05229_001.01
InjSys_agPmpVoltAdjThd_C|0|VEMS_E_11_05229_002.01
InjSys_facInjVoltBstReq_T|0|VEMS_E_11_05229_001.01
InjSys_facInjVoltBstReq_T|0|VEMS_E_11_05229_002.01
InjSys_factiInjVoltBstReq_T|0|VEMS_E_11_05229_001.01
InjSys_factiInjVoltBstReq_T|0|VEMS_E_11_05229_002.01
InjSys_nInjVoltAdjThd_A|0|VEMS_E_11_05229_001.01
InjSys_nInjVoltAdjThd_A|0|VEMS_E_11_05229_002.01
InjSys_stTypInjVoltBstReq_A|0|VEMS_E_11_05229_001.01
InjSys_stTypInjVoltBstReq_A|0|VEMS_E_11_05229_002.01
InjSys_tiInjVoltBstReq_A|0|VEMS_E_11_05229_001.01
InjSys_tiInjVoltBstReq_A|0|VEMS_E_11_05229_002.01
InjSys_NrInjuBattOfsThd_A|0|VEMS_E_11_05229_001.01
InjSys_NrInjuBattOfsThd_A|0|VEMS_E_11_05229_002.01
InjSys_uBattPmpVoltAdjLoThd_C|0|VEMS_E_11_05229_001.01
InjSys_uBattPmpVoltAdjLoThd_C|0|VEMS_E_11_05229_002.01
InjSys_uBattPmpVoltAdjHiThd_C|0|VEMS_E_11_05229_001.01
InjSys_uBattPmpVoltAdjHiThd_C|0|VEMS_E_11_05229_002.01
InjSys_uBattInjVoltAdjThd_T|0|VEMS_E_11_05229_001.01
InjSys_uBattInjVoltAdjThd_T|0|VEMS_E_11_05229_002.01
InjSys_uBatMinThd_C|0|VEMS_E_11_05229_001.01
InjSys_uBatMinThd_C|0|VEMS_E_11_05229_002.01
InjSys_uBattNrInjOfsThd_T|0|VEMS_E_11_05229_001.01
InjSys_uBattNrInjOfsThd_T|0|VEMS_E_11_05229_002.01
INJVOLTADJ_vidInjVoltAdj|1|VEMS_E_11_05229_003.01
Volt_EveInj_InjVoltAdj|1|VEMS_E_11_05229_001.01
Volt_EveInj_InjVoltAdj|1|VEMS_E_11_05229_002.01
Volt_EveSpl_InjVoltAdj|1|VEMS_E_11_05229_001.01
Volt_EveSpl_InjVoltAdj|1|VEMS_E_11_05229_002.01
