Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
AirPres_EveCrTSt_InMnfPresDiag|E|();|SCH.3|INMNFPRESDIAG|1|PTS_DOC_6539920||||0|0|0|0|Evènement d'arrêt moteur
AirPres_EveRst_InMnfPresDiag|E|();|SCH.1|INMNFPRESDIAG|1|PTS_DOC_6539920||||0|0|0|0|Evénement reset du calculateur
AirPres_SdlFast_InMnfPresDiag|E|();|SCH.4|INMNFPRESDIAG|1|PTS_DOC_6539920||||0|0|0|0|Moniteur rapide
AirPres_SdlMid_InMnfPresDiag|G|();|SCH.2|INMNFPRESDIAG|1|PTS_DOC_6539920||||0|0|0|0|Moniteur moyen de la fonction diagnostic de la boucle d'air
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|1|HEADER|1|NONE||||0|0|0|0|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|2|HEADER|1|NONE||||0|0|0|0|
INMNFPRESDIAG_vidAirPressSens|E|();|FCT3.8|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic revient à calculer la valeur absolue de la differnce de  deux valeurs réalistes de pression atmosphérique.
INMNFPRESDIAG_vidAirPressSens1|D|();|FCT3.6|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic revient à calculer la valeur absolue de la differnce de  deux valeurs réalistes de pression atmosphérique.
INMNFPRESDIAG_vidCanPurgVerif|D|();|FCT1.3|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|La stratégie doit vérifier en continu que la vanne de purge canister est restée fermée suffisamment longtemps afin d’autoriser les diagnostics utilisant l’information.
INMNFPRESDIAG_vidDetectInCrank|D|();|FCT1.9|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Lorsque  le délai est écoulé,  la stratégie compare  la pression collecteur mesurée  juste avant  le démarrage du moteur avec la pression collecteur minimale mesurée pendant le démarrage.
INMNFPRESDIAG_vidDetectionEnabled|D|();|FCT3.3|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|La détection du défaut revient à tester si la variation de la pression collecteur reste raisonnable (pas de pic de  pression intempestifs).
INMNFPRESDIAG_vidDftPres_GrdPres|E|();|FCT3.1|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Résultat du diagnostic de cohérence dans le taux de variation  de la pression de la collecteur d'admission
INMNFPRESDIAG_vidDftPres_PresLim|F|();|FCT2.6|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|La détection du défaut revient à tester avec 2 seuils calibrables (seuil Mini et seuil Maxi) si la valeur mesurée se  trouve hors de la zone de fonctionnement normale.
INMNFPRESDIAG_vidDftPres_Reinit|D|();|FCT3.4|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|A chaque  fois que  le diagnostic s’active,  la  fenêtre de vérification se  réinitialise. Cela permet ainsi d’éviter  les  fausses détections lors des phases de désactivations puis de réactivations successives du diagnostic.
INMNFPRESDIAG_vidDftPres_Stall|D|();|FCT1.6|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Fonction qui lancer un diagnostic suivant la valeur d'une booléene.
INMNFPRESDIAG_vidDftPresFullload|D|();|FCT2.8|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Fonction qui lancer un diagnostic suivant la valeur d'une booléene.
INMNFPRESDIAG_vidDftPresNormOper|D|();|FCT2.4|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Résultat du diagnostic de cohérence entre la position papillon et la pression d'admission
INMNFPRESDIAG_vidDftPresStallRun|D|();|FCT2.1|INMNFPRESDIAG|0|PTS_DOC_6539920||||0|0|0|0|Le diagnostic du capteur de pression collecteur au démarrage revient à comparer la différence de pression  calculée avec un seuil minimale de pression.
