Name|Type|Requirement
ISLIN_vidCmdeAlt|1|VEMS_R_09_03043_008.01
ISLIN_vidEtatAlt1|1|VEMS_R_09_03043_006.02
ISLIN_vidEveRxnEtatAlt1|1|VEMS_R_09_03043_006.02
ISLIN_vidEveRxnEtatAlt2|1|VEMS_R_09_03043_007.01
ISLIN_vidFreeze|1|VEMS_R_09_03043_010.01
ISLIN_vidInitCons|1|VEMS_R_09_03043_004.02
ISLIN_vidInitProd|1|VEMS_R_09_03043_005.01
ISLIN_vidLinStatus|1|VEMS_R_09_03043_001.01
ISLIN_vidLinStatus|1|VEMS_R_09_03043_002.01
ISLIN_vidLinStatus|1|VEMS_R_09_03043_003.01
vidSendTrame|1|VEMS_R_09_03043_008.01
ISLIN_vidEtatAlt2|1|VEMS_R_09_03043_007.01
