Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Autorise_clq_num|boolean|KNKACQ|1|0|0|Autorise_clq_num|0|0|Phys|bool|2|0||KNKTREATSYS|KNKTREATSYS||Autorise_clq_num||2|||||||PTS_DOC_5066621|1|1||||1|0|0|Booléen d'autorisation des stratégies de cliquetis  numérique|0|0|1|0|1|0|
Autorise_detection_clq|boolean|KNKACQ|1|0|0|Autorise_detection_clq|0|0|Phys|bool|2|0||KNKTREATSYS|KNKTREATSYS||Autorise_detection_clq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Av_bmax_corr_appliquee_cyl|sint8|HEADER|1|1|4|Av_bmax_corr_appliquee_cyl|0|0|Phys|°Vil|1|0.375|0|IGLIM|IGLIM||Av_bmax_corr_appliquee_cyl||1||*||*||*||0|1||||1|0|0||0|-64|63|-24|23.625|0|
Charge_chgt_freq_cliq|uint16|KNKACQ|0|0|0|Charge_chgt_freq_cliq|0|0|Phys|%|1|300/65536|0|Divers|Divers||Charge_chgt_freq_cliq||1||||||||0|1||||1|0|0||0|0|65535|0|299.995422363281|0|
Cipd_phase_calculated_uncertain|boolean|HEADER|1|0|0|Cipd_phase_calculated_uncertain|0|0|Phys|bool|2|0||Divers|Divers||Cipd_phase_calculated_uncertain||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cliq_av_corr_bkpt_map|uint8|KNKACQ|1|1|10|Cliq_av_corr_bkpt_map|0|0|Phys|°Vil|1|0.375|-36|KNKTREATSYS|KNKTREATSYS||Cliq_av_corr_bkpt_map||2||Cliq_av_corr_prev_adpt_k||f1_b||Cliq_av_corr_bkpt_map|PTS_DOC_5066621|1|1||||1|0|0|Points d'appuis pour le décalage de la fenêtre en fonction des corrections préventives et adaptatives|0|0|255|-36|59.625|0|
Cliq_av_corr_filt_gain|uint8|KNKACQ|1|0|0|Cliq_av_corr_filt_gain|0|0|Phys|%|1|100/256|0|KNKTREATSYS|KNKTREATSYS||Cliq_av_corr_filt_gain||2|||||||PTS_DOC_5066621|1|1||||1|0|0|Facteur de filtage des corrections d'avance préventives et adaptatives|0|0|255|0|99.609375|0|
Cliq_av_corr_prev_adpt_k|uint8|KNKACQ|0|0|0|Cliq_av_corr_prev_adpt_k|0|0|Phys|°Vil|1|0.375|-36|KNKTREATSYS|KNKTREATSYS||Cliq_av_corr_prev_adpt_k||1||||||||0|1||||1|0|0||0|0|255|-36|59.625|0|
Cliq_eal|uint16|KNKACQ|1|1|17|Cliq_eal|0|0|Phys|%|1|300/65536|0|KNKTREATSYS|KNKTREATSYS||Cliq_eal||2||Ext_rAirLd||F1||Cliq_eal|PTS_DOC_5066621|1|1||||1|0|0|17 points d'appui programmables en charge en air moteur|0|0|65535|0|299.995422363281|0|
Cliq_intk_vvt_err_bkpt_map|uint8|KNKACQ|1|1|10|Cliq_intk_vvt_err_bkpt_map|0|0|Phys|°Vil|1|3/4|-50|KNKTREATSYS|KNKTREATSYS||Cliq_intk_vvt_err_bkpt_map||2||Vcpi_cam_position_error||D8_p200d3||Cliq_intk_vvt_err_bkpt_map|PTS_DOC_5066621|1|1||||1|0|0|10 points d'appui programmables en erreur de position VVT admission|0|0|133|-50|49.75|0|
Cliq_n|uint16|KNKACQ|1|1|20|Cliq_n|0|0|Phys|tr/min|1|1|0|KNKTREATSYS|KNKTREATSYS||Cliq_n||2||Regime_moteur||F1||Cliq_n|PTS_DOC_5066621|1|1||||1|0|0|20 points d'appui programmables en régime moteur|0|0|8191|0|8191|0|
CRKHAL_udtNORMAL_MODE|uint8|HEADER|1|0|0|CRKHAL_udtNORMAL_MODE|0|0|Phys|-|||||||CRKHAL_udtNORMAL_MODE||3||||||||0|1|||2|0|0|0||0|||||0|
D8_p200d3|uint16|KNKACQ|0|0|0|D8_p200d3|0|0|Phys|-|1|1/8|200/3|Developpement_z|Developpement_z||D8_p200d3||4||||||||0|1||||1|0|0||0|0|65535|66.6666666666667|8258.54166666667|0|
Debut_fenetre_cliquetis|uint8|KNKACQ|1|0|0|Debut_fenetre_cliquetis|0|0|Phys|°Vil|1|0.5|-32|KNKTREATSYS|KNKTREATSYS||Debut_fenetre_cliquetis||1||||||||0|1||||1|0|0||0|0|255|-32|95.5|0|
Debut_fenetre_elargie|uint8|KNKACQ|1|0|0|Debut_fenetre_elargie|0|0|Phys|°Vil|1|0.5|-32|KNKTREATSYS|KNKTREATSYS||Debut_fenetre_elargie||2|||||||PTS_DOC_5066621|1|1||||1|0|0|Angle de début de la fenêtre d'acquisition en mode diagnostic|0|0|255|-32|95.5|0|
Debut_fenetre_limite|uint8|KNKACQ|1|0|0|Debut_fenetre_limite|0|0|Phys|°Vil|1|0.5|-32|KNKTREATSYS|KNKTREATSYS||Debut_fenetre_limite||2|||||||PTS_DOC_5066621|1|1||||1|0|0|Angle vilebrequin minimum autorisé pour le début de la fenêtre d'acquisition cliquetis|0|0|255|-32|95.5|0|
Duree_fenetre_cliquetis|uint8|KNKACQ|1|0|0|Duree_fenetre_cliquetis|0|0|Phys|°Vil|1|0.5|0|KNKTREATSYS|KNKTREATSYS||Duree_fenetre_cliquetis||1||||||||0|1||||1|0|0||0|0|255|0|127.5|0|
Duree_fenetre_elargie|uint8|KNKACQ|1|0|0|Duree_fenetre_elargie|0|0|Phys|°Vil|1|0.5|0|KNKTREATSYS|KNKTREATSYS||Duree_fenetre_elargie||2|||||||PTS_DOC_5066621|1|1||||1|0|0|Longueur de la fenêtre d'acquisition en mode diagnostic|0|0|255|0|127.5|0|
Eng_noCmbNxtCyl|uint8|HEADER|1|0|0|Eng_noCmbNxtCyl|0|0|Phys|-|1|1|0|Divers|Divers||Eng_noCmbNxtCyl||1||||||||0|1||||1|0|0||0|1|6|1|6|0|
Ext_noCylEng|uint8|HEADER|1|0|0|Ext_noCylEng|0|0|Phys|-|1|1|0|Cf|Cf||Ext_noCylEng||1||||||||0|1||||1|0|0||0|1|12|1|12|0|
Ext_rAirLd|uint16|HEADER|1|0|0|Ext_rAirLd|0|0|Phys|%|1|300/65536|0|Divers|Divers||Ext_rAirLd||1||||||||0|1||||1|0|0||0|0|65535|0|299.995422363281|0|
Frequence_centrale_cliq_diag|uint8|KNKACQ|1|0|0|Frequence_centrale_cliq_diag|0|0|Phys|Hz|1|13185/128|3630|KNKTREATSYS|KNKTREATSYS||Frequence_centrale_cliq_diag||2|||||||PTS_DOC_5066621|1|1||||1|0|0|Frequence centrale du filtre passe bande en  mode diagnostic|0|0|255|3630|29896.9921875|0|
Frequence_centrale_passe_bande|uint8|KNKACQ|1|0|0|Frequence_centrale_passe_bande|0|0|Phys|Hz|1|13185/128|3630|KNKTREATSYS|KNKTREATSYS||Frequence_centrale_passe_bande||1||||||||0|1||||1|0|0||0|0|255|3630|29896.9921875|0|
FRM_FRM_ACVDFTMODSTRTKNKWIN||HEADER|1|0|0|FRM_FRM_ACVDFTMODSTRTKNKWIN|0|0|Phys|-|||||||FRM_FRM_ACVDFTMODSTRTKNKWIN||3||||||||0|1|||0|0|0|0||0|||||0|
GD_astrClasDet|GD_strClasDet|HEADER|1|40|0|GD_astrClasDet|0|0|Phys|-||||Typedef|Typedef||GD_astrClasDet||1||||||||0|1||||0|0|0||0|||||0|
