Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
KnkAcqFilt_bAcvFreq6_C|boolean|KNKACQFILT|1|0|0|KnkAcqFilt_bAcvFreq6_C|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||KnkAcqFilt_bAcvFreq6_C||2|||||||PTS_DOC_5066552|1|1||||1|0|0|Booléen qui active un filtre de largeur 6KHz|0|0|1|0|1|0|
KnkAcqFilt_bInhFiltRbl_C|boolean|KNKACQFILT|1|0|0|KnkAcqFilt_bInhFiltRbl_C|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||KnkAcqFilt_bInhFiltRbl_C||2|||||||PTS_DOC_5066552|1|1||||1|0|0|Booléen d'inhibition de filtre dans la fenetre rumble|0|0|1|0|1|0|
KnkAcqFilt_CalcParam3_T|uint8|KNKACQFILT|1|1|25|KnkAcqFilt_CalcParam3_T|0|0|Phys|su|1|1|-12|KnkTreat|KnkTreat||KnkAcqFilt_CalcParam3_T||2||Frequence_centrale_passe_bande||F1_b||KnkAcqFilt_frqCalcParam3_A|PTS_DOC_5066552|1|1||||1|0|0|carto 1D pour déterminer a(2) à 3kHz en fonction de la fréquence centrale|0|0|24|-12|12|0|
KnkAcqFilt_CalcParam6_T|uint8|KNKACQFILT|1|1|21|KnkAcqFilt_CalcParam6_T|0|0|Phys|su|1|1|-10|KnkTreat|KnkTreat||KnkAcqFilt_CalcParam6_T||2||Frequence_centrale_passe_bande||F1_b||KnkAcqFilt_frqCalcParam6_A|PTS_DOC_5066552|1|1||||1|0|0|carto 1D pour déterminer a(2) à 6kHz en fonction de la fréquence centrale|0|0|20|-10|10|0|
KnkAcqFilt_facCylOfsInjrNoise_T|uint8|KNKACQFILT|1|1|6|KnkAcqFilt_facCylOfsInjrNoise_T|0|0|Phys|-|1|1/256|0|Divers|Divers||KnkAcqFilt_facCylOfsInjrNoise_T||2||Eng_noCmprCyl||F1_b||KnkMgt_noCmpr_A|PTS_DOC_5066552|1|1||||1|0|0|Factor on the offset to be substracted from knock signal|0|0|255|0|0.99609375|0|
KnkAcqFilt_FiltParam|sint8|KNKACQFILT|0|0|0|KnkAcqFilt_FiltParam|0|0|Phys|su|1|1|0|KnkTreat|KnkTreat||KnkAcqFilt_FiltParam||1||||||||0|1||||1|0|0||0|-15|15|-15|15|0|
KnkAcqFilt_frqCalcParam3_A|uint8|KNKACQFILT|1|1|25|KnkAcqFilt_frqCalcParam3_A|0|0|Phys|Hz|1|26370/256|3630|KnkTreat|KnkTreat||KnkAcqFilt_frqCalcParam3_A||2||Frequence_centrale_passe_bande||F1_b||KnkAcqFilt_frqCalcParam3_A|PTS_DOC_5066552|1|1||||1|0|0|points d'appuis en fréquence centrale pour déterminer a(2) à 3kHz|0|0|255|3630|29896.9921875|0|
Acq_knk_rbl_cfg_win_status_upvb0|boolean|KNKACQFILT|1|0|0|Acq_knk_rbl_cfg_win_status_upvb0|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||Acq_knk_rbl_cfg_win_status_upvb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Autorise_clq_num|boolean|HEADER|1|0|0|Autorise_clq_num|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||Autorise_clq_num||2|||||||NONE|1|1||||1|0|0|Booléen d'autorisation des stratégies de cliquetis numérique|0|0|1|0|1|0|
Autorise_detection_clq|boolean|HEADER|1|0|0|Autorise_detection_clq|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||Autorise_detection_clq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
