Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Av_bmax_adap_avt_slew_rate_cyl|sint16|KNKADPCOR|0|1|4|Av_bmax_adap_avt_slew_rate_cyl|0|0|Phys|°Vil|1|48/65536|0|IGLIM|IGLIM||Av_bmax_adap_avt_slew_rate_cyl||1||*||*||*||0|1||||1|0|0||0|-32768|32767|-24|23.999267578125|0|
Av_bmax_adapt_anti_k_cyl_prev|sint16|KNKADPCOR|0|1|4|Av_bmax_adapt_anti_k_cyl_prev|0|0|Phys|°Vil|1|48/65536|0|IGLIM|IGLIM||Av_bmax_adapt_anti_k_cyl_prev||1||*||*||*||0|1||||1|0|0||0|-32768|32767|-24|23.999267578125|0|
Av_bmax_adapt_anti_k_cyl1|sint16|HEADER|1|1|15|Av_bmax_adapt_anti_k_cyl1|0|0|Phys|°Vil|1|48/65536|0|EEPROM|EEPROM||Av_bmax_adapt_anti_k_cyl1||1||*||*||*||0|1||||1|0|0||0|-32768|32767|-24|23.999267578125|0|
Av_bmax_adapt_anti_k_cyl1_C|uint8|KNKADPCOR|1|1|15|Av_bmax_adapt_anti_k_cyl1_C|0|0|Phys|%|1|1|0|IGLIM|IGLIM||Av_bmax_adapt_anti_k_cyl1_C||2||*||*||*|PTS_DOC_5154831|1|1||||1|0|0|Pourcentage calibrable des adaptatifs cliquetis avant le  plein de carburant pour le cylindre 1.|0|0|99|0|99|0|
Av_bmax_adapt_anti_k_cyl2|sint16|HEADER|1|1|15|Av_bmax_adapt_anti_k_cyl2|0|0|Phys|°Vil|1|48/65536|0|EEPROM|EEPROM||Av_bmax_adapt_anti_k_cyl2||1||*||*||*||0|1||||1|0|0||0|-32768|32767|-24|23.999267578125|0|
Av_bmax_adapt_anti_k_cyl2_C|uint8|KNKADPCOR|1|1|15|Av_bmax_adapt_anti_k_cyl2_C|0|0|Phys|%|1|1|0|IGLIM|IGLIM||Av_bmax_adapt_anti_k_cyl2_C||2||*||*||*|PTS_DOC_5154831|1|1||||1|0|0|Pourcentage calibrable des adaptatifs cliquetis avant le  plein de carburant pour le cylindre 2.|0|0|99|0|99|0|
Av_bmax_adapt_anti_k_cyl3|sint16|HEADER|1|1|15|Av_bmax_adapt_anti_k_cyl3|0|0|Phys|°Vil|1|48/65536|0|EEPROM|EEPROM||Av_bmax_adapt_anti_k_cyl3||1||*||*||*||0|1||||1|0|0||0|-32768|32767|-24|23.999267578125|0|
Av_bmax_adapt_anti_k_cyl3_C|uint8|KNKADPCOR|1|1|15|Av_bmax_adapt_anti_k_cyl3_C|0|0|Phys|%|1|1|0|IGLIM|IGLIM||Av_bmax_adapt_anti_k_cyl3_C||2||*||*||*|PTS_DOC_5154831|1|1||||1|0|0|Pourcentage calibrable des adaptatifs cliquetis avant le  plein de carburant pour le cylindre3.|0|0|99|0|99|0|
Av_bmax_adapt_anti_k_cyl4|sint16|HEADER|1|1|15|Av_bmax_adapt_anti_k_cyl4|0|0|Phys|°Vil|1|48/65536|0|EEPROM|EEPROM||Av_bmax_adapt_anti_k_cyl4||1||*||*||*||0|1||||1|0|0||0|-32768|32767|-24|23.999267578125|0|
Av_bmax_adapt_anti_k_cyl4_C|uint8|KNKADPCOR|1|1|15|Av_bmax_adapt_anti_k_cyl4_C|0|0|Phys|%|1|1|0|IGLIM|IGLIM||Av_bmax_adapt_anti_k_cyl4_C||2||*||*||*|PTS_DOC_5154831|1|1||||1|0|0|Pourcentage calibrable des adaptatifs cliquetis avant le  plein de carburant pour le cylindre 4.|0|0|99|0|99|0|
