Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Bruit_instantane|uint16|HEADER|1|1|4|Bruit_instantane|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_instantane||1||*||*||*||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_instantane_test_bed_uavn0|uint16|KNKBENCHMOD|0|0|0|Bruit_instantane_test_bed_uavn0|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_instantane_test_bed_uavn0||1||||||||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl|uint16|HEADER|1|1|4|Bruit_moyen_cyl|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl||1||*||*||*||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl_min_thresh|uint16|HEADER|1|1|4|Bruit_moyen_cyl_min_thresh|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl_min_thresh||2||*||*||*|NONE|1|1||||1|0|0|Seuil minimum de bruit moyen pour la détection du cliquetis par cylindre|0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl_prev|uint16|KNKBENCHMOD|0|1|4|Bruit_moyen_cyl_prev|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl_prev||1||*||*||*||0|1||||0|0|1||0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl1_prev|uint16|KNKBENCHMOD|0|0|0|Bruit_moyen_cyl_prev|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl1_prev||4||||||||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl2_prev|uint16|KNKBENCHMOD|0|0|0|Bruit_moyen_cyl_prev|2|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl2_prev||4||||||||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl3_prev|uint16|KNKBENCHMOD|0|0|0|Bruit_moyen_cyl_prev|4|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl3_prev||4||||||||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_moyen_cyl4_prev|uint16|KNKBENCHMOD|0|0|0|Bruit_moyen_cyl_prev|6|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_cyl4_prev||4||||||||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Bruit_moyen_for_test_bed_uavn0|uint16|KNKBENCHMOD|0|0|0|Bruit_moyen_for_test_bed_uavn0|0|0|Phys|%|1|100/1024|0|KNKTREATSYS|KNKTREATSYS||Bruit_moyen_for_test_bed_uavn0||1||||||||0|1||||1|0|0||0|0|65535|0|6399.90234375|0
Detection_cliq_test_bed_uavn0|uint8|KNKBENCHMOD|0|0|0|Detection_cliq_test_bed_uavn0|0|0|Phys|-|1|65535|0|KNKTREATSYS|KNKTREATSYS||Detection_cliq_test_bed_uavn0||1||||||||0|1||||1|0|0||0|0|1|0|65535|0
Detection_cliquetis|boolean|HEADER|1|1|4|Detection_cliquetis|0|0|Phys|bool|2|0||KNKTREATSYS|KNKTREATSYS||Detection_cliquetis||1||*||*||*||0|1||||1|0|0||0|0|1|0|1|0
Knk_gain_for_test_bed_cyl1_uavn0|uint8|KNKBENCHMOD|0|0|0|Knk_gain_for_test_bed_uavn1|0|0|Phys|-|1|8/256|0|KNKTREATSYS|KNKTREATSYS||Knk_gain_for_test_bed_cyl1_uavn0||4||||||||0|1||||1|0|0||0|0|255|0|7.96875|0
Knk_gain_for_test_bed_cyl2_uavn0|uint8|KNKBENCHMOD|0|0|0|Knk_gain_for_test_bed_uavn1|1|0|Phys|-|1|8/256|0|KNKTREATSYS|KNKTREATSYS||Knk_gain_for_test_bed_cyl2_uavn0||4||||||||0|1||||1|0|0||0|0|255|0|7.96875|0
