Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Autorise_detection_rbl|boolean|KNKRBLACQ|1|0|0|Autorise_detection_rbl|0|0|Phys|bool|2|0||KnkRblAcq|KnkRblAcq||Autorise_detection_rbl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Autorise_rbl_num|boolean|KNKRBLACQ|1|0|0|Autorise_rbl_num|0|0|Phys|bool|2|0||KNKRBLACQ|KNKRBLACQ||Autorise_rbl_num||2|||||||V02 NT 12 02237|1|1||||1|0|0|Boolean authorization strategies rumble Digital|0|0|1|0|1|0|
Av_bmax_corr_appliquee_cyl|sint8|HEADER|1|1|4|Av_bmax_corr_appliquee_cyl|0|0|Phys|°Vil|1|0.375|0|HEADER|HEADER||Av_bmax_corr_appliquee_cyl||1||*||*||*||0|1||||0|0|0||0|-64|63|-24|23.625|0|
Cipd_phase_calculated_uncertain|boolean|HEADER|1|0|0|Cipd_phase_calculated_uncertain|0|0|Phys|bool|2|0||HEADER|HEADER||Cipd_phase_calculated_uncertain||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cliq_av_corr_bkpt_map|uint8|HEADER|1|1|10|Cliq_av_corr_bkpt_map|0|0|Phys|°Vil|1|0.375|-36|KnkRblAcq|KnkRblAcq||Cliq_av_corr_bkpt_map||2||*||*||*|NONE|1|1||||1|0|0|Points d'appuis pour le décalage de la fenêtre en fonction des  corrections préventives et adaptatives|0|0|255|-36|59.625|0|
Cliq_av_corr_filt_gain|uint8|HEADER|1|0|0|Cliq_av_corr_filt_gain|0|0|Phys|%|1|0.390625|0|KnkRblAcq|KnkRblAcq||Cliq_av_corr_filt_gain||2|||||||NONE|1|1||||1|0|0|Facteur de filtage des corrections d'avance préventives et adaptatives|0|0|255|0|99.609375|0|
Cliq_eal|uint16|HEADER|1|1|17|Cliq_eal|0|0|Phys|%|1|300/65536|0|KnkRblAcq|KnkRblAcq||Cliq_eal||2||*||*||*|NONE|1|1||||1|0|0|17 points d'appui programmables en charge en air moteur|0|0|65535|0|299.995422363281|0|
Cliq_intk_vvt_err_bkpt_map|uint8|HEADER|1|1|10|Cliq_intk_vvt_err_bkpt_map|0|0|Phys|°Vil|1|0.75|-50|KnkRblAcq|KnkRblAcq||Cliq_intk_vvt_err_bkpt_map||2||*||*||*|NONE|1|1||||1|0|0|10 points d'appui programmables en erreur de position VVT admission|0|0|133|-50|49.75|0|
Cliq_n|uint16|HEADER|1|1|20|Cliq_n|0|0|Phys|tr/min|1|1|0|KnkRblAcq|KnkRblAcq||Cliq_n||2||*||*||*|NONE|1|1||||1|0|0|20 points d'appui programmables en régime moteur|0|0|8191|0|8191|0|
CRKHAL_udtNORMAL_MODE|uint8|HEADER|1|0|0|CRKHAL_tenuMode|0|2|Phys|bool|2|2||HEADER|HEADER||CRKHAL_udtNORMAL_MODE||3||||||||0|1|||2|0|0|0||0|0|1|0|1|0|
Debut_fenetre_cliquetis|uint8|HEADER|1|0|0|Debut_fenetre_cliquetis|0|0|Phys|°Vil|1|0.5|-32|KNKTREATSYS|KNKTREATSYS||Debut_fenetre_cliquetis||1||||||||0|1||||1|0|0||0|0|255|-32|95.5|0|
Debut_fenetre_limite_rbl|uint8|KNKRBLACQ|1|0|0|Debut_fenetre_limite_rbl|0|0|Phys|°Vil|1|0.5|-32|KnkRblAcq|KnkRblAcq||Debut_fenetre_limite_rbl||2|||||||V02 NT 12 02237|1|1||||1|0|0|Angle vilebrequin minimum autorisé pour le début de la fenêtre 'acquisition rumble (protection logicielle)|0|0|255|-32|95.5|0|
Debut_fenetre_rumble|uint8|KNKRBLACQ|1|0|0|Debut_fenetre_rumble|0|0|Phys|°Vil|1|0.5|-32|KnkRblAcq|KnkRblAcq||Debut_fenetre_rumble||1||||||||0|1||||1|0|0||0|0|255|-32|95.5|0|
Duree_fenetre_rumble|uint8|KNKRBLACQ|1|0|0|Duree_fenetre_rumble|0|0|Phys|°Vil|1|0.5|0|KnkRblAcq|KnkRblAcq||Duree_fenetre_rumble||1||||||||0|1||||1|0|0||0|0|255|0|127.5|0|
Eng_noCmbNxtCyl|uint8|HEADER|1|0|0|Eng_noCmbNxtCyl|0|0|Phys|-|1|1|0|HEADER|HEADER||Eng_noCmbNxtCyl||1||||||||0|1||||1|0|0||0|1|6|1|6|0|
Ext_bStrtEnd|boolean|HEADER|1|0|0|Ext_bStrtEnd|0|0|Phys|bool|2|0||Divers|Divers||Ext_bStrtEnd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_noCylEng|uint8|HEADER|1|0|0|Ext_noCylEng|0|0|Phys|-|1|1|0|HEADER|HEADER||Ext_noCylEng||1||||||||0|1||||1|0|0||0|1|12|1|12|0|
Ext_rAirLd|uint16|HEADER|1|0|0|Ext_rAirLd|0|0|Phys|%|1|300/65536|0|HEADER|HEADER||Ext_rAirLd||1||||||||0|1||||1|0|0||0|0|65535|0|299.995422363281|0|
FRM_FRM_ACVDFTMODSTRTKNKRBLWIN|uint16|HEADER|1|0|0|FRM_FRM_BACVDFTMODSTRTKNKRBLWIN|0|0|Phys|-|||||||FRM_FRM_BACVDFTMODSTRTKNKRBLWIN||3||||||||0|1|||0|0|0|0||0|||||0|
IgSys_agIgKnkPrevOfs|uint8|HEADER|1|0|0|IgSys_agIgKnkPrevOfs|0|0|Phys|°Ck|1|0.375|-36|HEADER|HEADER||IgSys_agIgKnkPrevOfs||1||||||||0|1||||1|0|0||0|0|255|-36|59.625|0|
IgSys_agIgOptm|uint8|HEADER|1|0|0|IgSys_agIgOptm|0|0|Phys|°Vil|1|0.375|-36|HEADER|HEADER||IgSys_agIgOptm||1||||||||0|1||||1|0|0||0|0|255|-36|59.625|0|
