Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Detection_cliquetis|boolean|HEADER|1|1|4|Detection_cliquetis|0|0|Phys|bool|2|0||KNKTREATSYS|KNKTREATSYS||Detection_cliquetis||1||*||*||*||0|1||||0|0|0||0|0|1|0|1|0|
Detection_fort_cliquetis|boolean|HEADER|1|1|4|Detection_fort_cliquetis|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||Detection_fort_cliquetis||1||*||*||*||0|1||||1|0|0||0|0|1|0|1|0|
Detection_rbl|boolean|HEADER|1|1|4|Detection_rbl|0|0|Phys|bool|2|0||KnkTreat|KnkTreat||Detection_rbl||1||*||*||*||0|1||||1|0|0||0|0|1|0|1|0|
Ext_rTotLd|uint16|HEADER|1|0|0|Ext_rTotLd|0|0|Phys|%|1|300/65536|0|Divers|Divers||Ext_rTotLd||1||||||||0|1||||1|0|0||0|0|65535|0|299.995422363281|0|
FRM_FRM_INHSHDDET|uint16|HEADER|1|0|0|FRM_FRM_INHSHDDET|0|0|Phys|bool|2|0||Divers|Divers||FRM_FRM_INHSHDDET||3||||||||0|1|||1|0|0|0||0|0|1|0|1|0|
Knk_deg_det_cur_manu_inh_uacb0|boolean|KNKSHDDET|1|0|0|Knk_deg_det_cur_manu_inh_uacb0|0|0|Phys|bool|2|0||KNKTREATSYS|KNKTREATSYS||Knk_deg_det_cur_manu_inh_uacb0||2|||||||PTS_DOC_5145312|1|1||||1|0|0|Booléen d'inhibition du déclenchement de la correction curative sur détection palliative de cliquetis|0|0|1|0|1|0|
Knk_deg_det_cur_uavb1|boolean|KNKSHDDET|1|1|4|Knk_deg_det_cur_uavb1|0|0|Phys|bool|2|0||KNKTREATSYS|KNKTREATSYS||Knk_deg_det_cur_uavb1||1||*||*||*||0|1||||1|0|0||0|0|1|0|1|0|
Knk_deg_det_load_bkpt_uacn1|uint16|KNKSHDDET|1|1|12|Knk_deg_det_load_bkpt_uacn1|0|0|Phys|%|1|300/65536|0|KNKTREATSYS|KNKTREATSYS||Knk_deg_det_load_bkpt_uacn1||2|Ext_rTotLd|Ext_rTotLd|F1|F1|Knk_deg_det_load_bkpt_uacn1|Knk_deg_det_load_bkpt_uacn1|PTS_DOC_5145312|1|1||||1|0|0|Table de points d'appui en charge pour détection palliative de cliquetis|0|0|65535|0|299.995422363281|0|
Knk_deg_det_n_bkpt_uacn1|uint16|KNKSHDDET|1|1|9|Knk_deg_det_n_bkpt_uacn1|0|0|Phys|tr/min|1|1|0|KNKTREATSYS|KNKTREATSYS||Knk_deg_det_n_bkpt_uacn1||2||Regime_moteur||F1||Knk_deg_det_n_bkpt_uacn1|PTS_DOC_5145312|1|1||||1|0|0|Table de points d'appuis en régime moteur pour détection palliative de cliquetis.|0|0|8191|0|8191|0|
Knk_deg_det_seuil_temp_eau_uacn0|uint8|KNKSHDDET|1|0|0|Knk_deg_det_seuil_temp_eau_uacn0|0|0|Phys|°C|1|0.625|-40|KNKTREATSYS|KNKTREATSYS||Knk_deg_det_seuil_temp_eau_uacn0||2|||||||PTS_DOC_5145312|1|1||||1|0|0|Seuil de température d'eau pour autoriser la détection palliative de cliquetis.|0|0|255|-40|119.375|0|
