Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CALC_CYL1|bool|MISFDFTLRN|0|0|0|Misf_stDftLrn|0|1|Phys|bool|2|1||MFW|MFW||CALC_CYL1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CALC_INIT|bool|MISFDFTLRN|0|0|0|Misf_stDftLrn|0|2|Phys|bool|2|2||MFW|MFW||CALC_INIT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bSIP|boolean|HEADER|1|0|0|CoPt_bSIP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bSIP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Engine_running_state|st07|HEADER|1|0|0|Engine_running_state|0|0|Phys|etat|4|||Phases moteur|Phases moteur||Engine_running_state||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Engine_speed_derivate|sint8|HEADER|1|0|0|Engine_speed_derivate|0|0|Phys|tr/min/s|1|64|0|Phases moteur|Phases moteur||Engine_speed_derivate||1||||||||0|1||||1|0|0||0|-128|127|-8192|8128|0|
ERUN_ENGINE_OVERRUN_FCO|bool|HEADER|1|0|0|Engine_running_state|0|8|Phys|bool|2|8||Phases moteur|Phases moteur||ERUN_ENGINE_OVERRUN_FCO||1||||||||0|1|||8|1|0|0||0|8|8|8|8|0|
Ext_ctTDC|uint8|HEADER|1|0|0|Ext_ctTDC|0|0|Phys|PMH|1|1|0|Acquisitions|Acquisitions||Ext_ctTDC||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
Ext_noCylEng|uint8|HEADER|1|0|0|Ext_noCylEng|0|0|Phys|-|1|1|0|Cf|Cf||Ext_noCylEng||1||||||||0|1||||1|0|0||0|1|12|1|12|0|
FRM_FRM_ACVLONGWINLRNRST|uint16|HEADER|1|0|0|FRM_FRM_ACVLONGWINLRNRST|0|0|Phys|-|||||||FRM_FRM_ACVLONGWINLRNRST||3||||||||0|1|||1|0|0|0||0|||||0|
FRM_FRM_ACVSHRTWINLRNRST|uint16|HEADER|1|0|0|FRM_FRM_ACVSHRTWINLRNRST|0|0|Phys|-|||||||FRM_FRM_ACVSHRTWINLRNRST||3||||||||0|1|||2|0|0|0||0|||||0|
FRM_FRM_INHWINLRNORNG|uint16|HEADER|1|0|0|FRM_FRM_INHWINLRNORNG|0|0|Phys|-|||||||FRM_FRM_INHWINLRNORNG||3||||||||0|1|||3|0|0|0||0|||||0|
