Name|Type|Requirement
Mf_win_1_uavb0|0|VEMS_R_09_00770_001.01
Misf_noCyl|0|VEMS_R_09_00770_001.01
Misf_noCylIg|0|VEMS_R_09_00770_001.01
Srv_EveRstMisf_DiagSrv|1|VEMS_R_09_00770_001.01
Mf_adap_Bdc_corr_bkup_gain|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_corr_dlta_max|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_corr_precal_uacn2|0|VEMS_R_09_00770_001.01
Misf_EveRst_MisfDftLrn|1|VEMS_R_09_00770_001.01
Misf_noWinSample_Nom_T|0|VEMS_R_09_00770_001.01
Misf_noWinSample_Ut_T|0|VEMS_R_09_00770_001.01
Misf_EveMisf_MisfDftLrn|1|VEMS_R_09_00770_001.01
Misf_noWinSample_C|0|VEMS_R_09_00770_001.01
Mf_adap_n_bkpt_diff_hth_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_n_bkpt_diff_lth_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_bkpt_ind_uavn0|0|VEMS_R_09_00770_001.01
Mf_adap_n_bkpt_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_dif_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_dif_hth_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_dif_init_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_dif_lth_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_range_max|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_corr_bkup_gain|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_corr_dlta_max|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_corr_precal_uacn2|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_dif_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_dif_hth_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_dif_init_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_dif_lth_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_range_max|0|VEMS_R_09_00770_001.01
Mf_adap_lw_corr_bkup_gain_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_lw_corr_dlta_max_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_hth_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_init_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_lth_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_nb_mv_calc_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_range_max|0|VEMS_R_09_00770_001.01
Mf_adap_manu_inh_uacb0|0|VEMS_R_09_00770_001.01
Mf_adap_n_derv_max_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_n_derv_min_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_n_max_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_n_min_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_shrt_nb_mv_calc_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_tco_min_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_corr_bkup_gain|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_corr_dlta_max|0|VEMS_R_09_00770_001.01
Mf_adap_lw_corr_precal_uacn2|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_corr_precal_uacn2|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_dif_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_dif_hth_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_dif_init_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_dif_lth_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Tdc_range_max|0|VEMS_R_09_00770_001.01
Misf_bRstNoRlzd_C|0|VEMS_R_09_00770_001.01
Mf_adap_gear_min_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_corr_gain_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_delta_count_min_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_inh_corr_precal_uacb0|0|VEMS_R_09_00770_001.01
Mf_adap_inh_no_rlzd_uacn0|0|VEMS_R_09_00770_001.01
Misf_SdlSlow_MisfDftLrn|1|VEMS_R_09_00770_001.01
Misf_EveRstLrn_MisfDftLrn|1|VEMS_R_09_00770_001.01
Mf_adap_corr_precal_n_max_uacb0|0|VEMS_R_09_00770_001.01
Mf_adap_corr_precal_n_min_uacb0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_no_rlzd_UT_uavb0|0|VEMS_R_09_00770_001.01
Mf_adap_no_rlzd_UT_uavb0|0|VEMS_R_09_00770_001.01
Mf_adap_rlzd_uavb1|0|VEMS_R_09_00770_001.01
Mf_adap_shrt_no_rlzd_UT_uavb0|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_er_dif_gain_ut_uacn|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_dif_hth_ut_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_dif_lth_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Bdc_err_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_er_dif_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_dif_hth_ut_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_dif_lth_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_Exp_err_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_er_dif_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_dif_hth_ut_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_dif_lth_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_TDC_err_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_auth_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_hth_ut_uacn1|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_dif_lth_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_lw_err_gain_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_manu_inh_auth_uacb0|0|VEMS_R_09_00770_001.01
Mf_adap_tco_min_ut_uacn0|0|VEMS_R_09_00770_001.01
Mf_adap_win_count_thresh_uavn0|0|VEMS_R_09_00770_001.01
