Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Auto_injection|boolean|HEADER|1|0|0|Auto_injection|0|0|Phys|bool|2|0||Variables systeme|Variables systeme||Auto_injection||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Clef_de_contact|boolean|HEADER|1|0|0|Clef_de_contact|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Clef_de_contact||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dv_detection_pied_leve_final|boolean|HEADER|1|0|0|Dv_detection_pied_leve_final|0|0|Phys|bool|2|0||Variables systeme|Variables systeme||Dv_detection_pied_leve_final||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Engine_running_state|st07|HEADER|1|0|0|Engine_running_state|0|0|Phys|etat|4|||Phases moteur|Phases moteur||Engine_running_state||1||||||||0|1||||1|0|0||0|0|255|||0|
EngLim_tqIdcEngCur|sint16|HEADER|1|0|0|EngLim_tqIdcEngCur|0|0|Phys|Nm|1|1/16|0|IFRTE|IFRTE||EngLim_tqIdcEngCur||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
ERUN_ENGINE_OVERRUN_FCO|bool|HEADER|1|0|0|Engine_running_state|0|8|Phys|bool|2|8||Phases moteur|Phases moteur||ERUN_ENGINE_OVERRUN_FCO||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ERUN_ENGINE_OVERSPEED_FCO|bool|HEADER|1|0|0|Engine_running_state|0|32|Phys|bool|2|32||Phases moteur|Phases moteur||ERUN_ENGINE_OVERSPEED_FCO||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ERUN_ON_IDLE|bool|HEADER|1|0|0|Engine_running_state|0|16|Phys|bool|2|16||Phases moteur|Phases moteur||ERUN_ON_IDLE||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Gear_engaged|uint8|HEADER|1|0|0|Gear_engaged|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||Gear_engaged||1||||||||0|1||||1|0|0||0|0|5|0|5|0|
Gear_engaged_mf_last|uint8|MISFDIAGSTABCDN|0|0|0|Gear_engaged_mf_last|0|0|Phys|-|1|1|0|MisfDiagStabCdn|MisfDiagStabCdn||Gear_engaged_mf_last||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Gear_engaged_mf_not_stable|boolean|MISFDIAGSTABCDN|1|0|0|Gear_engaged_mf_not_stable|0|0|Phys|bool|2|0||MisfDiagStabCdn|MisfDiagStabCdn||Gear_engaged_mf_not_stable||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IgSys_agIgSp|uint8|HEADER|1|0|0|IgSys_agIgSp|0|0|Phys|°Vil|1|0.375|-36|IFRTE|IFRTE||IgSys_agIgSp||1||||||||0|1||||1|0|0||0|0|255|-36|59.625|0|
Indicated_torque_mf_max|sint16|MISFDIAGSTABCDN|0|0|0|Indicated_torque_mf_max|0|0|Phys|Nm|1|1/16|0|MisfDiagStabCdn|MisfDiagStabCdn||Indicated_torque_mf_max||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
Indicated_torque_mf_min|sint16|MISFDIAGSTABCDN|0|0|0|Indicated_torque_mf_min|0|0|Phys|Nm|1|1/16|0|MisfDiagStabCdn|MisfDiagStabCdn||Indicated_torque_mf_min||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
Indicated_torque_mf_not_stable|boolean|MISFDIAGSTABCDN|0|0|0|Indicated_torque_mf_not_stable|0|0|Phys|bool|2|0||MisfDiagStabCdn|MisfDiagStabCdn||Indicated_torque_mf_not_stable||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_bAcvCondIdleRaw|boolean|HEADER|1|0|0|Mf_bAcvCondIdleRaw|0|0|Phys|bool|2|0||Divers|Divers||Mf_bAcvCondIdleRaw||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_bAcvCondNormRaw|boolean|HEADER|1|0|0|Mf_bAcvCondNormRaw|0|0|Phys|bool|2|0||Divers|Divers||Mf_bAcvCondNormRaw||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_engine_conditions|boolean|MISFDIAGSTABCDN|0|0|0|Mf_engine_conditions|0|0|Phys|bool|2|0||MisfDiagStabCdn|MisfDiagStabCdn||Mf_engine_conditions||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_engine_stable_delay_c|uint8|MISFDIAGSTABCDN|1|0|0|Mf_engine_stable_delay_c|0|0|Phys|s|1|Misf_SampleTiMid_SC/1000|0|MisfDiagStabCdn|MisfDiagStabCdn||Mf_engine_stable_delay_c||2|||||||PTS_DOC_5577717|1|1||||1|0|0|Délai de vérification des conditions de stabilité.  (spécifique misfire)|0|0|255|0|10.2|0|
Mf_engine_stable_t_d_c|uint8|MISFDIAGSTABCDN|0|0|0|Mf_engine_stable_t_d_c|0|0|Phys|s|1|Misf_SampleTiMid_SC/1000|0|MisfDiagStabCdn|MisfDiagStabCdn||Mf_engine_stable_t_d_c||1||||||||0|1||||1|0|0||0|0|255|0|10.2|0|
