Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Cat_old_gain_obd|uint8|HEADER|1|0|0|Cat_old_gain_obd|0|0|Phys|-|1|1/256|0|divers|divers||Cat_old_gain_obd||1||||||||0|1||||1|0|0||0|0|255|0|0.99609375|0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
Coup_decel_progr_inj_a_catdam|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_a_catdam|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_a_catdam||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_a_emiss|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_a_emiss|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_a_emiss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_b_catdam|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_b_catdam|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_b_catdam||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_b_emiss|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_b_emiss|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_b_emiss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_c_catdam|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_c_catdam|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_c_catdam||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_c_emiss|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_c_emiss|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_c_emiss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_cat_dam|uint8|MISFFAICTR|0|0|0|Coup_decel_progr_inj_cat_dam|0|0|Phys|bool|2|0|0|MFW|MFW||Coup_decel_progr_inj_cat_dam||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
Coup_decel_progr_inj_d_catdam|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_d_catdam|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_d_catdam||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_d_emiss|boolean|MISFFAICTR|0|0|0|Coup_decel_progr_inj_d_emiss|0|0|Phys|bool|2|0||MFW|MFW||Coup_decel_progr_inj_d_emiss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Coup_decel_progr_inj_emiss|uint8|MISFFAICTR|0|0|0|Coup_decel_progr_inj_emiss|0|0|Phys|bool|2|0|0|MFW|MFW||Coup_decel_progr_inj_emiss||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
Coupe_cale|uint8|HEADER|1|0|0|Coupe_cale|0|0|Phys|-|||||||Coupe_cale||3||||||||0|1|||1|0|0|0||0|||||0|
Coupure_decel_progr_inj|uint8|HEADER|1|0|0|Coupure_decel_progr_inj|0|0|Phys|-|1|1|0|Cf|Cf||Coupure_decel_progr_inj||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
Coupure_decel_progr_inj_prev|uint8|MISFFAICTR|0|0|0|Coupure_decel_progr_inj_prev|0|0|Phys|bool|2|0|0|MFW|MFW||Coupure_decel_progr_inj_prev||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
Ctrl_bAcv_PFuAcq|boolean|HEADER|1|0|0|Ctrl_bAcv_PFuAcq|0|0|Phys|bool|2|0||divers|divers||Ctrl_bAcv_PFuAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
ENGINE_CYCLE_IN_CAT_DAM_SAMPLE_L|uint8|MISFFAICTR|1|0|0|ENGINE_CYCLE_IN_CAT_DAM_SAMPLE_L|0|0|Phys|-|||||||ENGINE_CYCLE_IN_CAT_DAM_SAMPLE_L||3||||||||0|1|||100|0|0|0||0|||||0|
ENGINE_CYCLE_IN_EMISS_SAMPLE_L|uint16|MISFFAICTR|1|0|0|ENGINE_CYCLE_IN_EMISS_SAMPLE_L|0|0|Phys|-|||||||ENGINE_CYCLE_IN_EMISS_SAMPLE_L||3||||||||0|1|||500|0|0|0||0|||||0|
EngLim_tqIdcEngCur|sint16|HEADER|1|0|0|EngLim_tqIdcEngCur|0|0|Phys|Nm|1|1/16|0|IFRTE|IFRTE||EngLim_tqIdcEngCur||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EngSt_bOscDetStab|boolean|HEADER|1|0|0|EngSt_bOscDetStab|0|0|Phys|bool|2|0||divers|divers||EngSt_bOscDetStab||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bPresGaz_C|boolean|HEADER|1|0|0|Ext_bPresGaz_C|0|0|Phys|bool|2|0||divers|divers||Ext_bPresGaz_C||2|||||||NONE|1|1||||1|0|0|Calibration de l'indicateur de présence de la configuration gaz|0|0|1|0|1|0|
Ext_dstVehMes|uint32|HEADER|1|0|0|Ext_dstVehMes|0|0|Phys|km|1|1|0|SPDVEH|SPDVEH||Ext_dstVehMes||1||||||||0|1||||1|0|0||0|0|500000|0|500000|0|
Ext_noCylEng|uint8|HEADER|1|0|0|Ext_noCylEng|0|0|Phys|-|1|1|0|Cf|Cf||Ext_noCylEng||1||||||||0|1||||1|0|0||0|1|12|1|12|0|
Ext_noCylEng_SC|uint8|HEADER|1|0|0|Ext_noCylEng_SC|0|0|Phys|-|||||||Ext_noCylEng_SC||3||||||||0|1|||3|0|0|0||0|||||0|
Ext_pFuRailMes|uint16|HEADER|1|0|0|Ext_pFuRailMes|0|0|Phys|bar|1|512/65536|0|divers|divers||Ext_pFuRailMes||1||||||||0|1||||1|0|0||0|0|65535|0|511.9921875|0|
Flev_low_fuel_level|boolean|HEADER|1|0|0|Flev_low_fuel_level|0|0|Phys|bool|2|0||divers|divers||Flev_low_fuel_level||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
