Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
EngLim_tqIdcEngCur|sint16|HEADER|1|0|0|EngLim_tqIdcEngCur|0|0|Phys|N.m|1|1/16|0|IFRTE|IFRTE||EngLim_tqIdcEngCur||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
Indicated_torque_3_bkpt_map|uint16|HEADER|1|1|7|Indicated_torque_3_bkpt_map|0|0|Phys|Nm|1|2^-4|-2000|MisfSucDet|MisfSucDet||Indicated_torque_3_bkpt_map||2||EngLim_tqIdcEngCur||F1_p32000||Indicated_torque_3_bkpt_map|PTS_DOC_5198660|1|1||||1|0|0|Table de breakpoint du couple indiqué|0|0|64000|-2000|2000|0|
Mf_2_misfire_det_map_uacn2|uint8|MISFSUCDET|1|7|16|Mf_2_misfire_det_map_uacn2|0|0|Phys|s.u|1|4/256|0|MisfSucDet|MisfSucDet||Mf_2_misfire_det_map_uacn2||2|EngLim_tqIdcEngCur|Regime_moteur_32|F1_p32000|F1_b|Indicated_torque_3_bkpt_map|Regime_moteur_3_bkpt_map|PTS_DOC_5198660|1|1||||1|0|0|Carto donnant le seuil de détection de misfires successifs éventuels|0|0|255|0|3.984375|0|
Mf_2_misfire_detected_uavb0|boolean|MISFSUCDET|1|0|0|Mf_2_misfire_detected_uavb0|0|0|Phys|bool|2|0||MisfSucDet|MisfSucDet||Mf_2_misfire_detected_uavb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_2_misfire_idle_detected_uavb0|boolean|HEADER|1|0|0|Mf_2_misfire_idle_detected_uavb0|0|0|Phys|bool|2|0||Divers|Divers||Mf_2_misfire_idle_detected_uavb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_2_misfire_norm_detected_uavb0|boolean|MISFSUCDET|0|0|0|Mf_2_misfire_norm_detected_uavb0|0|0|Phys|bool|2|0||Divers|Divers||Mf_2_misfire_norm_detected_uavb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_algo_cond_ok_uavb0|boolean|HEADER|1|0|0|Mf_algo_cond_ok_uavb0|0|0|Phys|bool|2|0||MisfSucDet|MisfSucDet||Mf_algo_cond_ok_uavb0||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_algo_idle_cond_ok|boolean|HEADER|1|0|0|Mf_algo_idle_cond_ok|0|0|Phys|bool|2|0||Divers|Divers||Mf_algo_idle_cond_ok||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Mf_comb_algo_n_max_uacn0|uint8|HEADER|1|0|0|Mf_comb_algo_n_max_uacn0|0|0|Phys|tr/min|1|2^13/2^8|0|MisfSucDet|MisfSucDet||Mf_comb_algo_n_max_uacn0||2|||||||PTS_DOC_5198660|1|1||||1|0|0|Régime maximum d'activation de l'algorithme combustion|0|0|255|0|8160|0|
Mf_comb_algo_thresh_uavn0|uint16|HEADER|1|0|0|Mf_comb_algo_thresh_uavn0|0|0|Phys|s.u|1|2^2/2^16|0|MisfSucDet|MisfSucDet||Mf_comb_algo_thresh_uavn0||1||||||||0|1||||1|0|0||0|0|65535|0|3.99993896484375|0|
