Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
CoPt_noGearCord_Sfty|uint8|HEADER|1|0|0|CoPt_noGearCord_Sfty|0|0|Phys|-|1|1|0|divers|divers||CoPt_noGearCord_Sfty||1||||||||0|1||||1|0|0||0|0|7|0|7|0
CoPt_noGearCord_Sfty_AX|uint8|HEADER|1|1|8|CoPt_noGearCord_Sfty_AX|0|0|Phys|-|1|1|0|divers|divers||CoPt_noGearCord_Sfty_AX||2||CoPt_noGearCord_Sfty||F1_b||CoPt_noGearCord_Sfty_AX|V02 NT 11 08258|1|1||||1|0|0|Table de points d'appui du rapport de boîte generique|0|0|7|0|7|0
EngLim_tqIdcRed|sint16|HEADER|1|0|0|EngLim_tqIdcRed|0|0|Phys|N.m|1|1/16|0|divers|divers||EngLim_tqIdcRed||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0
EngSt_EngSpdLimHiThd_T|uint8|HEADER|1|1|8|EngSt_EngSpdLimHiThd_T|0|0|Phys|tr/min|1|32|0|divers|divers||EngSt_EngSpdLimHiThd_T||2||CoPt_noGearCord_Sfty||F1_b||CoPt_noGearCord_Sfty_AX|V02 NT 11 08258|1|1||||1|0|0|Table des seuils régime moteur en mode degradé, au-dessus duquel la coupure d'injection est activé (surrégime)|0|0|255|0|8160|0
EngSt_EngSpdLimLoThd_T|uint8|HEADER|1|1|8|EngSt_EngSpdLimLoThd_T|0|0|Phys|tr/min|1|32|0|divers|divers||EngSt_EngSpdLimLoThd_T||2||CoPt_noGearCord_Sfty||F1_b||CoPt_noGearCord_Sfty_AX|V02 NT 11 08258|1|1||||1|0|0|Table des seuils régime moteur en mode limitation sévère, au-dessus duquel la coupure d'injection est activé (surrégime)|0|0|255|0|8160|0
Ext_bCdnEngSpdLimHiEfc|boolean|MUXTQREQ|0|0|0|Ext_bCdnEngSpdLimHiEfc|0|0|Phys|bool|2|0||divers|divers||Ext_bCdnEngSpdLimHiEfc||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bCdnEngSpdLimLoEfc|boolean|MUXTQREQ|0|0|0|Ext_bCdnEngSpdLimLoEfc|0|0|Phys|bool|2|0||divers|divers||Ext_bCdnEngSpdLimLoEfc||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_bCdnTqLimEfc|boolean|MUXTQREQ|0|0|0|Ext_bCdnTqLimEfc|0|0|Phys|bool|2|0||divers|divers||Ext_bCdnTqLimEfc||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|divers|divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0
Ext_nEngSpdLimHiOfs_C|sint16|MUXTQREQ|1|0|0|Ext_nEngSpdLimHiOfs_C|0|0|Phys|rpm|1|1|0|divers|divers||Ext_nEngSpdLimHiOfs_C||2|||||||V02 NT 11 08258|1|1||||1|0|0|Offset appliqué à la limitation de régime en cours pour passer en limitation effective (et inversement)|0|-6000|6000|-6000|6000|0
Ext_nEngSpdLimLoOfs_C|sint16|MUXTQREQ|1|0|0|Ext_nEngSpdLimLoOfs_C|0|0|Phys|rpm|1|1|0|divers|divers||Ext_nEngSpdLimLoOfs_C||2|||||||V02 NT 11 08258|1|1||||1|0|0|Offset appliqué à la limitation de régime sévère en cours pour passer en limitation effective (et inversement)|0|-6000|6000|-6000|6000|0
Ext_tqLimOfs_C|sint16|MUXTQREQ|1|0|0|Ext_tqLimOfs_C|0|0|Phys|N.m|1|1|0|divers|divers||Ext_tqLimOfs_C||2|||||||V02 NT 11 08258|1|1||||1|0|0|Offset appliqué à la limitation de couple en cours pour passer dans l'état limitation effective (et inversement)|0|-500|500|-500|500|0
FONCTIONNEMENT_NOMINAL|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|0|Phys|bool|2|0||divers|divers||FONCTIONNEMENT_NOMINAL||1||||||||0|1|||0|1|0|0||0|0|1|0|1|0
FRM_FRM_ACVIRVLIHPED|uint16|HEADER|1|0|0|FRM_FRM_ACVIRVLIHPED|0|0|Phys|-|||||||FRM_FRM_ACVIRVLIHPED||3||||||||0|1|||0|0|0|0||0|||||0
FRM_FRM_ACVRVLIHPED|uint16|HEADER|1|0|0|FRM_FRM_ACVRVLIHPED|0|0|Phys|-|||||||FRM_FRM_ACVRVLIHPED||3||||||||0|1|||2|0|0|0||0|||||0
FRM_FRM_ACVRVVSTLIHPED|uint16|HEADER|1|0|0|FRM_FRM_ACVRVVSTLIHPED|0|0|Phys|-|||||||FRM_FRM_ACVRVVSTLIHPED||3||||||||0|1|||1|0|0|0||0|||||0
FRM_FRM_ACVTQLIM|uint16|HEADER|1|0|0|FRM_FRM_ACVTQLIM|0|0|Phys|-|||||||FRM_FRM_ACVTQLIM||3||||||||0|1|||5|0|0|0||0|||||0
FRM_FRM_ENGSPDLIMHIINTV|uint16|HEADER|1|0|0|FRM_FRM_ENGSPDLIMHIINTV|0|0|Phys|-|||||||FRM_FRM_ENGSPDLIMHIINTV||3||||||||0|1|||4|0|0|0||0|||||0
FRM_FRM_ENGSPDLIMLOINTV|uint16|HEADER|1|0|0|FRM_FRM_ENGSPDLIMLOINTV|0|0|Phys|-|||||||FRM_FRM_ENGSPDLIMLOINTV||3||||||||0|1|||3|0|0|0||0|||||0
LIM_CPLE|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|1|Phys|bool|2|1||divers|divers||LIM_CPLE||1||||||||0|1|||1|1|0|0||0|0|1|0|1|0
LIM_CPLE_EFFECTIVE|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|2|Phys|bool|2|2||divers|divers||LIM_CPLE_EFFECTIVE||1||||||||0|1|||2|1|0|0||0|0|1|0|1|0
LIM_REGIME|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|3|Phys|bool|2|3||divers|divers||LIM_REGIME||1||||||||0|1|||3|1|0|0||0|0|1|0|1|0
LIM_REGIME_EFFECTIVE|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|4|Phys|bool|2|4||divers|divers||LIM_REGIME_EFFECTIVE||1||||||||0|1|||4|1|0|0||0|0|1|0|1|0
LIM_REGIME_SEV|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|5|Phys|bool|2|5||divers|divers||LIM_REGIME_SEV||1||||||||0|1|||5|1|0|0||0|0|1|0|1|0
LIM_REGIME_SEV_EFFECTIVE|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|6|Phys|bool|2|6||divers|divers||LIM_REGIME_SEV_EFFECTIVE||1||||||||0|1|||6|1|0|0||0|0|1|0|1|0
MUXTQREQ_bHysEngHi|boolean|MUXTQREQ|0|0|0|MUXTQREQ_bHysEngHi|0|0|Phys|bool|2|0||divers|divers||MUXTQREQ_bHysEngHi||1||||||||0|1||||1|0|0||0|0|1|0|1|0
MUXTQREQ_bHysEngLo|boolean|MUXTQREQ|0|0|0|MUXTQREQ_bHysEngLo|0|0|Phys|bool|2|0||divers|divers||MUXTQREQ_bHysEngLo||1||||||||0|1||||1|0|0||0|0|1|0|1|0
MUXTQREQ_bHysTqLimEfc|boolean|MUXTQREQ|0|0|0|MUXTQREQ_bHysTqLimEfc|0|0|Phys|bool|2|0||divers|divers||MUXTQREQ_bHysTqLimEfc||1||||||||0|1||||1|0|0||0|0|1|0|1|0
MUXTQREQ_u8Inhib|uint8|MUXTQREQ|1|0|0|MUXTQREQ_u8Inhib|0|0|Hexa|-||||divers|divers||MUXTQREQ_u8Inhib||2|||||||V02 NT 11 08258|1|1||||1|0|0|calib d'inhibition du module MUXTQREQ|0|0|255|0|255|0
REGUL_REGIME|bool|MUXTQREQ|1|0|0|REOM_stEngOpm|0|7|Phys|bool|2|7||divers|divers||REGUL_REGIME||1||||||||0|1|||7|1|0|0||0|0|1|0|1|0
REOM_stEngOpm|st300|MUXTQREQ|1|0|0|REOM_stEngOpm|0|0|Phys|etat|4|1|0|divers|divers||REOM_stEngOpm||1||||||||0|1||||1|0|0||0|0|255|0|255|0
TqSys_tqCkEngReal|sint16|HEADER|1|0|0|TqSys_tqCkEngReal|0|0|Phys|N.m|1|1/16|0|divers|divers||TqSys_tqCkEngReal||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0
