Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile
NVMSRV_u16TestEeprom_1|uint16|NVMSRV|1|0|0|TEST_EEPROM_1_NvMRamBlockDataStruct.NVMSRV_u16TestEeprom_1|0|0|Hexa|-|1|1|0|Nvram|Nvram||NVMSRV_u16TestEeprom_1||4||||||||0|1||||1|0|0||0
NVMSRV_u16TestEeprom_2|uint16|NVMSRV|1|0|0|TEST_EEPROM_2_NvMRamBlockDataStruct.NVMSRV_u16TestEeprom_2|0|0|Hexa|-|1|1|0|Nvram|Nvram||NVMSRV_u16TestEeprom_2||4||||||||0|1||||1|0|0||0
NVMSRV_u32SavedReReadFrameCntr|uint32|NVMSRV|1|0|0|SPI_REREAD_FRAMES_NvMRamBlockDataStruct.NVMSRV_u32SavedReReadFrameCntr|0|0|Déci|-|1|1|0|Nvram|Nvram||NVMSRV_u32SavedReReadFrameCntr||4||||||||0|1||||1|0|0||0
EPMSRV_u8TdcCounter|uint8|NVMSRV|1|0|0|EPMSRV_NvMRamBlockDataStruct.EPMSRV_u8TdcCounter|0|0|Phys|Pmh|1|1|0|Nvram|Nvram||EPMSRV_u8TdcCounter||4||||||||0|1||||1|0|0||0
Cpt_tel_eep|uint8|NVMSRV|1|0|0|DOWNLOAD_NvMRamBlockDataStruct.Cpt_tel_eep|0|0|Déci|-|1|1|0|Nvram|Nvram||Cpt_tel_eep||4||||||||0|1||||1|0|0||0
Eep_nb_ecr_pages|uint16|NVMSRV|1|0|0|ECRITURES_EEPROM_NvMRamBlockDataStruct.Eep_nb_ecr_pages|0|0|Déci|-|1|1|0|Nvram|Nvram||Eep_nb_ecr_pages||4||||||||0|1||||1|0|0||0
Eep_nb_total_ecr_pages|uint32|NVMSRV|1|0|0|ECRITURES_EEPROM_NvMRamBlockDataStruct.Eep_nb_total_ecr_pages|0|0|Déci|-|1|1|0|Nvram|Nvram||Eep_nb_total_ecr_pages||4||||||||0|1||||1|0|0||0
RSTSRV_u16HotResetCtr|uint16|NVMSRV|1|0|0|RESET_NvMRamBlockDataStruct.RSTSRV_u16HotResetCtr|0|0|Déci|-|1|1|0|Nvram|Nvram||RSTSRV_u16HotResetCtr||4||||||||0|1||||1|0|0||0
ErrorStackIdx_eep|uint8|NVMSRV|1|0|0|EXCEPTION_REGS_NvMRamBlockDataStruct.ErrorStackIdx_eep|0|0|Hexa|-|1|1|0|Nvram|Nvram||ErrorStackIdx_eep||4||||||||0|1||||1|0|0||0
Compteur_defaut_pile_eep|uint16|NVMSRV|1|0|0|EXCEPTION_REGS_NvMRamBlockDataStruct.Compteur_defaut_pile_eep|0|0|Déci|-|1|1|0|Nvram|Nvram||Compteur_defaut_pile_eep||4||||||||0|1||||1|0|0||0
Compteur_defaut_except_eep|uint16|NVMSRV|1|0|0|EXCEPTION_REGS_NvMRamBlockDataStruct.Compteur_defaut_except_eep|0|0|Déci|-|1|1|0|Nvram|Nvram||Compteur_defaut_except_eep||4||||||||0|1||||1|0|0||0
Type_de_defaut_eep|uint16|NVMSRV|1|0|0|EXCEPTION_REGS_NvMRamBlockDataStruct.Type_de_defaut_eep|0|0|Bin|-|1|1|0|Nvram|Nvram||Type_de_defaut_eep||4||||||||0|1||||1|0|0||0
ErrorAddress_eep|uint32|NVMSRV|1|0|0|EXCEPTION_REGS_NvMRamBlockDataStruct.ErrorAddress_eep|0|0|Hexa|-|1|1|0|Nvram|Nvram||ErrorAddress_eep||4||||||||0|1||||1|0|0||0
NVMSRV_u16TestEeprom_3|uint16|NVMSRV|1|0|0|TEST_EEPROM_3_NvMRamBlockDataStruct.NVMSRV_u16TestEeprom_3|0|0|Hexa|-|1|1|0|Nvram|Nvram||NVMSRV_u16TestEeprom_3||4||||||||0|1||||1|0|0||0
RED_au8Prod1Reserve|uint8|NVMSRV|1|1|11|REDPROD_1_NvMRamBlockDataStruct.RED_au8Prod1Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8Prod1Reserve||4||||||||0|1||||1|0|0||0
RED_au8ECUSerial|uint8|NVMSRV|1|1|5|REDPROD_1_NvMRamBlockDataStruct.RED_au8ECUSerial|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8ECUSerial||4||||||||0|1||||1|0|0||0
RED_au8RefCIndex|uint8|NVMSRV|1|1|2|REDPROD_1_NvMRamBlockDataStruct.RED_au8RefCIndex|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8RefCIndex||4||||||||0|1||||1|0|0||0
RED_au8RefCNum|uint8|NVMSRV|1|1|5|REDPROD_1_NvMRamBlockDataStruct.RED_au8RefCNum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8RefCNum||4||||||||0|1||||1|0|0||0
RED_au8RefAIndex|uint8|NVMSRV|1|1|2|REDPROD_1_NvMRamBlockDataStruct.RED_au8RefAIndex|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8RefAIndex||4||||||||0|1||||1|0|0||0
RED_au8RefANum|uint8|NVMSRV|1|1|5|REDPROD_1_NvMRamBlockDataStruct.RED_au8RefANum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8RefANum||4||||||||0|1||||1|0|0||0
RED_au8Prod2Reserve|uint8|NVMSRV|1|1|20|REDPROD_2_NvMRamBlockDataStruct.RED_au8Prod2Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8Prod2Reserve||4||||||||0|1||||1|0|0||0
RED_au8FuncProductNum|uint8|NVMSRV|1|1|5|REDPROD_2_NvMRamBlockDataStruct.RED_au8FuncProductNum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8FuncProductNum||4||||||||0|1||||1|0|0||0
RED_au8FuncSchematicNum|uint8|NVMSRV|1|1|5|REDPROD_2_NvMRamBlockDataStruct.RED_au8FuncSchematicNum|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8FuncSchematicNum||4||||||||0|1||||1|0|0||0
RED_au8Prod5Reserve|uint8|NVMSRV|1|1|21|REDPROD_5_NvMRamBlockDataStruct.RED_au8Prod5Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||RED_au8Prod5Reserve||4||||||||0|1||||1|0|0||0
