Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|1|HEADER|1|NONE||||0|0|0|0|Main API to manage the GDU.|
OILDSP_NVMSRV_vidInit|A|();|FCT1.8|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|Initialization of OilDsp_mFuInOilEstim to OilDsp_mFuInOilEstimInit_C in EEPROM's re-initialization|
OILDSP_vidAbsorption|A|();|FCT1.3|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|The function must detect the beginning and the end of a significative desorption phase  of fuel in oil.|
OILDSP_vidDesorption|A|();|FCT1.5|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|The function detect the start and the end of a significative desorption phase of fuel in oil|
OILDSP_vidDisableAFACanister|A|();|FCT1.7|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|This function produced  2 flags to disable the mixture adaptation when the ratio between the mass of fuel evaporated and the fuel injected is high.|
OILDSP_vidEnaAbsorption|B|();|FCT1.4|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|This funtion calculate estimated mass of fuel in oil.|
OILDSP_vidEnaDesorption|C|();|FCT1.6|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|this function calculate  the estimated mass of fuel in oil|
OILDSP_vidInit|A|();|FCT1.2|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|Initialization of internals and outputs.|
OILDSP_vidInitOutput|A|();|FCT1.1|OILDSP|0|PTS_DOC_5377698||||0|0|0|0|initialization of internals.|
OilSys_EveRst_OilDsp|A|();|SCH.1|OILDSP|1|PTS_DOC_5377698||||0|0|0|0|Reset event.|
OilSys_EveTDC_OilDsp|A|();|SCH.2|OILDSP|1|PTS_DOC_5377698||||0|0|0|0|TDC event (Top Dead Center)|
OilSys_SdlMid_OilDsp|A|();|SCH.3|OILDSP|1|PTS_DOC_5377698||||0|0|0|0|Middle scheduler.|
