Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
DIAGCAN_bIntegratioElectronique|boolean|HEADER|1||0|DIAGCAN_bIntegratioElectronique|0|0|Phys|bool|2|0||divers|divers||DIAGCAN_bIntegratioElectronique||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
E_OK|uint8|HEADER|1|0|0|E_OK|0|0|Phys|bool|2|0|||||E_OK||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_bDgoGrd_OilLvlAcq|boolean|OILLVLACQ|0|0|0|Ext_bDgoGrd_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Ext_bDgoGrd_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bDgoScg_OilLvlAcq|boolean|OILLVLACQ|0|0|0|Ext_bDgoScg_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Ext_bDgoScg_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bDgoScp_OilLvlAcq|boolean|OILLVLACQ|0|0|0|Ext_bDgoScp_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Ext_bDgoScp_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bMonRunGrd_OilLvlAcq|boolean|OILLVLACQ|0|0|0|Ext_bMonRunGrd_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Ext_bMonRunGrd_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bMonRunScg_OilLvlAcq|boolean|OILLVLACQ|0|0|0|Ext_bMonRunScg_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Ext_bMonRunScg_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bMonRunScp_OilLvlAcq|boolean|OILLVLACQ|0|0|0|Ext_bMonRunScp_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Ext_bMonRunScp_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bOilLvlAcqDone|boolean|OILLVLACQ|0|0|0|Ext_bOilLvlAcqDone|0|0|Phys|bool|2|0||divers|divers||Ext_bOilLvlAcqDone||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_iCurMes|uint16|HEADER|1|0|0|Ext_iCurMes|0|0|Phys|mA|1|1|0|divers|divers||Ext_iCurMes||1||||||||0|1||||1|0|0||0|0|300|0|300|0|
Ext_iCurNom_C|uint16|OILLVLACQ|1|0|0|Ext_iCurNom_C|0|0|Phys|mA|1|1|0|divers|divers||Ext_iCurNom_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Nominal current of oil level sensor|0|0|300|0|300|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|divers|divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
ACQUI_DONE|bool|OILLVLACQ|0|0|0|OILLVLACQ_stAcqMng|0|4|Phys|etat|2|4||divers|divers||ACQUI_DONE||1||||||||0|1||||1|0|0||0|||||0|
ACQUI_RUNNING|bool|OILLVLACQ|0|0|0|OILLVLACQ_stAcqMng|0|8|Phys|etat|2|8||divers|divers||ACQUI_RUNNING||1||||||||0|1||||1|0|0||0|||||0|
ACQUI_STOPPED|bool|OILLVLACQ|0|0|0|OILLVLACQ_stAcqMng|0|2|Phys|etat|2|2||divers|divers||ACQUI_STOPPED||1||||||||0|1||||1|0|0||0|||||0|
AcquiState_stEngOilLvl|uint8|HEADER|1|0|0|AcquiState_stEngOilLvl|0|0|Phys|-|1|1|0|divers|divers||AcquiState_stEngOilLvl||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
ACTIF|boolean|OILLVLACQ|1|0|0|ACTIF|0|0|Phys|bool|2|0|||||ACTIF||3||||||||0|1|||1|0|0|0||0|||||0|
CoReqVeh_bOilMesReq|boolean|HEADER|1|0|0|CoReqVeh_bOilMesReq|0|0|Phys|bool|2|0||FHCAN|FHCAN||CoReqVeh_bOilMesReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoReqVeh_bOilWkuReq|boolean|HEADER|1|0|0|CoReqVeh_bOilWkuReq|0|0|Phys|bool|2|0||FHCAN|FHCAN||CoReqVeh_bOilWkuReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bAcv_uEngOilLvl|boolean|HEADER|1|0|0|Ctrl_bAcv_uEngOilLvl|0|0|Phys|bool|2|0||divers|divers||Ctrl_bAcv_uEngOilLvl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_oc_OilLvlAcq|boolean|HEADER|1|0|0|Dena_oc_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Dena_oc_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scg_OilLvlAcq|boolean|HEADER|1|0|0|Dena_scg_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Dena_scg_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dena_scp_OilLvlAcq|boolean|HEADER|1|0|0|Dena_scp_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Dena_scp_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_oc_OilLvlAcq|boolean|HEADER|1|0|0|Dft_oc_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Dft_oc_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scg_OilLvlAcq|boolean|HEADER|1|0|0|Dft_scg_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Dft_scg_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Dft_scp_OilLvlAcq|boolean|HEADER|1|0|0|Dft_scp_OilLvlAcq|0|0|Phys|bool|2|0||divers|divers||Dft_scp_OilLvlAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_stMeasAuth|boolean|OILLVLACQ|1|0|0|Ext_stMeasAuth|0|0|Phys|bool|2|0||divers|divers||Ext_stMeasAuth||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|divers|divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_tiMeasAuth|uint16|OILLVLACQ|0|0|0|Ext_tiMeasAuth|0|0|Phys|s|1|0.001|0|divers|divers||Ext_tiMeasAuth||1||||||||0|1||||1|0|0||0|0|5000|0|5|0|
Ext_tiMeasAuthEndMes_C|uint16|OILLVLACQ|1|0|0|Ext_tiMeasAuthEndMes_C|0|0|Phys|s|1|0.001|0|divers|divers||Ext_tiMeasAuthEndMes_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Maximum delay for oil measure autorisation|0|0|5000|0|5|0|
Ext_tMaxThres_C|sint16|OILLVLACQ|1|0|0|Ext_tMaxThres_C|0|0|Phys|°C|1|1|0|divers|divers||Ext_tMaxThres_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Maximal water temperature allowing oil level acquisition|0|-40|214|-40|214|0|
Ext_tOil|sint16|HEADER|1|0|0|Ext_tOil|0|0|Phys|°C|1|0.25|0|divers|divers||Ext_tOil||1||||||||0|1||||1|0|0||0|-200|800|-50|200|0|
Ext_uBSIMax_C|uint16|OILLVLACQ|1|0|0|Ext_uBSIMax_C|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uBSIMax_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Voltage difference corresponding to low oil level (0%) at BSI input|0|0|4096|0|5|0|
Ext_uBSIMin_C|uint16|OILLVLACQ|1|0|0|Ext_uBSIMin_C|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uBSIMin_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Voltage difference corresponding to high oil level (100%) at BSI input|0|0|4096|0|5|0|
Ext_uCMMMax_C|uint16|OILLVLACQ|1|0|0|Ext_uCMMMax_C|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uCMMMax_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Voltage difference corresponding to low oil level (0%)|0|0|4096|0|5|0|
Ext_uCMMMin_C|uint16|OILLVLACQ|1|0|0|Ext_uCMMMin_C|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uCMMMin_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Voltage difference corresponding to high oil level (100%)|0|0|4096|0|5|0|
Ext_uEngOilLvl|uint16|OILLVLACQ|1|0|0|Ext_uEngOilLvl|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uEngOilLvl||1||||||||0|1||||1|0|0||0|0|4096|0|5|0|
Ext_uEngOilLvlAGrdMax_C|uint16|OILLVLACQ|1|0|0|Ext_uEngOilLvlAGrdMax_C|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uEngOilLvlAGrdMax_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Maximal voltage difference of oil level|0|0|4096|0|5|0|
Ext_uEngOilLvlAGrdMin_C|uint16|OILLVLACQ|1|0|0|Ext_uEngOilLvlAGrdMin_C|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uEngOilLvlAGrdMin_C||2|||||||PTS_DOC_6872932|1|1||||1|0|0|Minimal voltage difference of oil level|0|0|4096|0|5|0|
Ext_uEngOilLvlAvg1|uint16|OILLVLACQ|0|0|0|Ext_uEngOilLvlAvg1|0|0|Phys|V|1|0.001220703125|0|divers|divers||Ext_uEngOilLvlAvg1||1||||||||0|1||||1|0|0||0|0|4096|0|5|0|
