Name|Type|Requirement
OILPRESACQ_vidIni|1|VEMS_R_08_02741_173.01
OILPRESACQ_vidInit|1|VEMS_R_08_02741_173.01
Ext_bOilPres|0|VEMS_R_09_00761_001.01
Ext_bOilPres|0|VEMS_R_09_00761_002.01
Ext_bRawOilPres|0|VEMS_R_09_00761_001.01
Ext_bRawOilPres|0|VEMS_R_09_00761_002.01
Oil_pres_alert|0|VEMS_R_09_00761_001.01
Oil_pres_alert|0|VEMS_R_09_00761_002.01
Ext_bOilPresDetec|0|VEMS_R_09_00761_002.01
Ext_bRawOilPresDetec|0|VEMS_R_09_00761_001.01
Ext_bRawOilPresDetec|0|VEMS_R_09_00761_002.01
Oil_pres_alertTyp_C|0|VEMS_R_09_00761_001.01
Oil_pres_alertTyp_C|0|VEMS_R_09_00761_002.01
Ext_noOilPresHiThd_C|0|VEMS_R_08_00761_002.01
Ext_noOilPresHiThd_C|0|VEMS_R_09_00761_001.01
Ext_noOilPresLoThd_C|0|VEMS_R_08_00761_002.01
Ext_noOilPresLoThd_C|0|VEMS_R_09_00761_001.01
Hal_dio_inverse_signal_oil_pres|0|VEMS_R_09_00761_001.01
Hal_dio_inverse_signal_oil_pres|0|VEMS_R_09_00761_002.01
Oil_EveRst_OilPresAcq|1|VEMS_R_09_00761_001.01
Oil_EveRst_OilPresAcq|1|VEMS_R_09_00761_002.01
Oil_SdlMid_OilPresAcq|1|VEMS_R_09_00761_001.01
Oil_SdlMid_OilPresAcq|1|VEMS_R_09_00761_002.01
OILPRESACQ_vidAcqFil|1|VEMS_R_09_00761_006.01
OILPRESACQ_vidInitialization|1|VEMS_R_09_00761_003.01
OILPRESACQ_vidOilPresInfoAcq|1|VEMS_R_09_00761_004.01
OILPRESACQ_vidOilPresInfoAcq|1|VEMS_R_09_00761_005.02
