Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPTSt_bEngRun|boolean|HEADER|1|0|0|CoPTSt_bEngRun|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoPTSt_bEngRun||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bOilPropPresAcq|boolean|HEADER|1|0|0|Ctrl_bOilPropPresAcq|0|0|Phys|bool|2|0||Cf|Cf||Ctrl_bOilPropPresAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_bDgoScg_pOilMes|boolean|OILPROPPRESACQ|0|0|0|Ext_bDgoScg_pOilMes|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bDgoScg_pOilMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bDgoScp_pOilMes|boolean|OILPROPPRESACQ|0|0|0|Ext_bDgoScp_pOilMes|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bDgoScp_pOilMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bMonRunScg_pOilMes|boolean|OILPROPPRESACQ|0|0|0|Ext_bMonRunScg_pOilMes|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bMonRunScg_pOilMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bMonRunScp_pOilMes|boolean|OILPROPPRESACQ|0|0|0|Ext_bMonRunScp_pOilMes|0|0|Phys|bool|2|0||Diagnostic|Diagnostic||Ext_bMonRunScp_pOilMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bOilPresProp|boolean|OILPROPPRESACQ|1|0|0|Ext_bOilPresProp|0|0|Phys|bool|2|0||Divers|Divers||Ext_bOilPresProp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bRawOilPresProp|boolean|OILPROPPRESACQ|1|0|0|Ext_bRawOilPresProp|0|0|Phys|bool|2|0||Divers|Divers||Ext_bRawOilPresProp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_nEngOilPresAcqHiThd_C|uint16|OILPROPPRESACQ|1|0|0|Ext_nEngOilPresAcqHiThd_C|0|0|Phys|rpm|1|1|0|Acquisitions|Acquisitions||Ext_nEngOilPresAcqHiThd_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Seuil bas du régime moteur permettant l'activation de l'acquisition angulaire de la pression d'huile.|0|0|7500|0|7500|0|
Ext_nEngOilPresAcqLoThd_C|uint16|OILPROPPRESACQ|1|0|0|Ext_nEngOilPresAcqLoThd_C|0|0|Phys|rpm|1|1|0|Acquisitions|Acquisitions||Ext_nEngOilPresAcqLoThd_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Seuil haut du régime moteur permettant l'activation de l'acquisition angulaire de la pression d'huile.|0|0|7500|0|7500|0|
Ext_noOilPresDetecDeltThd_C|uint16|OILPROPPRESACQ|1|0|0|Ext_noOilPresDetecDeltThd_C|0|0|Phys|mbar|1|0.16|0|Divers|Divers||Ext_noOilPresDetecDeltThd_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Threshold allowing to filter the transition 0-> 1 of the information engine oils pressure|0|0|65535|0|10485.6|0|
Ext_noOilPresDetecLoThd_C|uint16|OILPROPPRESACQ|1|0|0|Ext_noOilPresDetecLoThd_C|0|0|Phys|mbar|1|0.16|0|Divers|Divers||Ext_noOilPresDetecLoThd_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Threshold allowing to filter the transition 1-> 0 of the information engine oils pressure|0|0|65535|0|10485.6|0|
Ext_OilCoef_nEng_A|uint16|OILPROPPRESACQ|1|1|3|Ext_OilCoef_nEng_A|0|0|Phys|rpm|1|1|0|Divers|Divers||Ext_OilCoef_nEng_A||2||Ext_nEng||F1||Ext_OilCoef_nEng_A|PTS_DOC_6978050|1|1||||1|0|0|Table des points d'appui en regime pour l'interpolation du gain du filtre d'acquisition de la pression d'huile|0|0|7500|0|7500|0|
Ext_OilCoef_tOilMes_A|uint16|OILPROPPRESACQ|1|1|3|Ext_OilCoef_tOilMes_A|0|0|Phys|°C|1|0.1|-50|Divers|Divers||Ext_OilCoef_tOilMes_A||2||Ext_tOilMes||F1_p500||Ext_OilCoef_tOilMes_A|PTS_DOC_6978050|1|1||||1|0|0|Table des points d'appui en température d'huile pour l'interpolation du gain du filtre d'acquisition de la pression dhuile|0|0|2500|-50|200|0|
Ext_pOilMes|uint16|OILPROPPRESACQ|1|0|0|Ext_pOilMes|0|0|Phys|bar|1|1/128|0|Acquisitions|Acquisitions||Ext_pOilMes||1||||||||0|1||||1|0|0||0|0|1280|0|10|0|
Ext_pOilMesPrev|uint16|OILPROPPRESACQ|0|0|0|Ext_pOilMesPrev|0|0|Phys|Pa|1|16|0|Acquisitions|Acquisitions||Ext_pOilMesPrev||1||||||||0|1||||1|0|0||0|0|65535|0|1048560|0|
Ext_pOilMesRaw|uint16|OILPROPPRESACQ|1|0|0|Ext_pOilMesRaw|0|0|Phys|mbar|1|0.16|0|Acquisitions|Acquisitions||Ext_pOilMesRaw||1||||||||0|1||||1|0|0||0|0|65535|0|10485.6|0|
Ext_pOilMesRaw_bornee|uint16|OILPROPPRESACQ|0|0|0|Ext_pOilMesRaw_bornee|0|0|Phys|mbar|1|0.16|0|Acquisitions|Acquisitions||Ext_pOilMesRaw_bornee||1||||||||0|1||||1|0|0||0|0|65535|0|10485.6|0|
Ext_pOilMesSI|uint16|OILPROPPRESACQ|1|0|0|Ext_pOilMesSI|0|0|Phys|Pa|1|16|0|Acquisitions|Acquisitions||Ext_pOilMesSI||1||||||||0|1||||1|0|0||0|0|65535|0|1048560|0|
Ext_prm_uPresOilMesMem|uint16|OILPROPPRESACQ|0|1|12|Ext_prm_uPresOilMesMem|0|0|Phys|V|1|5/4096|0|Acquisitions|Acquisitions||Ext_prm_uPresOilMesMem||1||*||*||*||0|1||||1|0|0||0|0|4096|0|5|0|
Ext_tOilMes|sint16|HEADER|1|0|0|Ext_tOilMes|0|0|Phys|°C|1|1/10|0|Cf|Cf||Ext_tOilMes||1||||||||0|1||||1|0|0||0|-500|2000|-50|200|0|
Ext_upOilMes|uint16|HEADER|1|0|0|Ext_upOilMes|0|0|Phys|V|1|5/4096|0|Acquisitions|Acquisitions||Ext_upOilMes||1||||||||0|1||||1|0|0||0|0|4096|0|5|0|
Ext_upOilMesCoef_M|uint8|OILPROPPRESACQ|1|3|3|Ext_upOilMesCoef_M|0|0|Phys|-|1|0.01|0|Divers|Divers||Ext_upOilMesCoef_M||2|Ext_nEng|Ext_tOilMes|F1|F1_p500|Ext_OilCoef_nEng_A|Ext_OilCoef_tOilMes_A|PTS_DOC_6978050|1|1||||1|0|0|Cartographie du gain du filtre de l'acquisition pression d'huile|0|0|100|0|1|0|
Ext_upOilMesCoef_MP|uint8|OILPROPPRESACQ|0|0|0|Ext_upOilMesCoef_MP|0|0|Phys|-|1|0.01|0|Divers|Divers||Ext_upOilMesCoef_MP||1||||||||0|1||||1|0|0||0|0|100|0|1|0|
Ext_uptOilSenPwr|uint16|HEADER|1|0|0|Ext_uptOilSenPwr|0|0|Phys|V|1|5/4096|0|Acquisitions|Acquisitions||Ext_uptOilSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0|
FRM_FRM_ACVDFTMOD_POILMES|uint16|HEADER|1|0|0|FRM_FRM_ACVDFTMOD_POILMES|0|0|Phys|-|||||||FRM_FRM_ACVDFTMOD_POILMES||3||||||||0|1|||0|0|0|0||0|||||0|
FRM_FRM_ACVDFTVALOILPRESACQPROP|uint16|HEADER|1|0|0|FRM_FRM_ACVDFTVALOILPRESACQPROP|0|0|Phys|-|||||||FRM_FRM_ACVDFTVALOILPRESACQPROP||3||||||||0|1|||1|0|0|0||0|||||0|
FRM_FRM_INHELDIAGPOILMES|uint16|HEADER|1|0|0|FRM_FRM_INHELDIAGPOILMES|0|0|Phys|-|||||||FRM_FRM_INHELDIAGPOILMES||3||||||||0|1|||2|0|0|0||0|||||0|
GD_DFT_SCG_POILMES|uint16|HEADER|1|0|0|GD_DFT_SCG_POILMES|0|0|Phys|-|||||||GD_DFT_SCG_POILMES||3||||||||0|1|||2|0|0|0||0|||||0|
GD_DFT_SCP_POILMES|uint16|HEADER|1|0|0|GD_DFT_SCP_POILMES|0|0|Phys|-|||||||GD_DFT_SCP_POILMES||3||||||||0|1|||1|0|0|0||0|||||0|
Oil_bAcvCkOilPresAcq|boolean|OILPROPPRESACQ|1|0|0|Oil_bAcvCkOilPresAcq|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Oil_bAcvCkOilPresAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Oil_bAcvOilPresAcq|boolean|OILPROPPRESACQ|0|0|0|Oil_bAcvOilPresAcq|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Oil_bAcvOilPresAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Oil_bSelTypOilMesDiag_C|boolean|OILPROPPRESACQ|1|0|0|Oil_bSelTypOilMesDiag_C|0|0|Phys|bool|2|0||Acquisitions|Acquisitions||Oil_bSelTypOilMesDiag_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|booléen pour sélectionner l'information tension capteur de la presion d'huile à utiliser (brute ou moyenne) pour le diagnostic.|0|0|1|0|1|0|
Oil_pMax_SC|uint16|OILPROPPRESACQ|1|0|0|Oil_pMax_SC|0|0|Phys|-|||||||Oil_pMax_SC||3||||||||0|1|||10000|0|0|0||0|||||0|
Oil_pMin_SC|uint16|OILPROPPRESACQ|1|0|0|Oil_pMin_SC|0|0|Phys|-|||||||Oil_pMin_SC||3||||||||0|1|||500|0|0|0||0|||||0|
Oil_pOilMesDft_C|uint16|OILPROPPRESACQ|1|0|0|Oil_pOilMesDft_C|0|0|Phys|bar|1|0.00016|0|Acquisitions|Acquisitions||Oil_pOilMesDft_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Default value used in a degraded mode for the confirmed faults|0|0|65535|0|10.4856|0|
Oil_pOilPresAcq_uOilMes_A|uint16|OILPROPPRESACQ|1|1|2|Oil_pOilPresAcq_uOilMes_A|0|0|Phys|V|1|5/4096|0|Acquisitions|Acquisitions||Oil_pOilPresAcq_uOilMes_A||2||Oil_upOilMesAct||F1||Oil_pOilPresAcq_uOilMes_A|PTS_DOC_6978050|1|1||||1|0|0|Table of Voltage points for the oil pressure interpolation|0|0|4096|0|5|0|
Oil_Pres_alertProp|boolean|OILPROPPRESACQ|1|0|0|Oil_Pres_alertProp|0|0|Phys|bool|2|0||Divers|Divers||Oil_Pres_alertProp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Oil_pres_alertTypProp_C|boolean|OILPROPPRESACQ|1|0|0|Oil_pres_alertTypProp_C|0|0|Phys|bool|2|0||Divers|Divers||Oil_pres_alertTypProp_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Boolean of configuration of  state of the alert of engine oil pressure|0|0|1|0|1|0|
Oil_prm_noAcqOilPresLstSample_T|uint8|OILPROPPRESACQ|1|1|12|Oil_prm_noAcqOilPresLstSample_T|0|0|Phys|s.u|1|1|0|Acquisitions|Acquisitions||Oil_prm_noAcqOilPresLstSample_T||2||*||*||*|PTS_DOC_6978050|1|1||||1|0|0|Table de selection d'indices des échantillons utilisés dans le calcul de la moyenne de la pression d'huile.|0|0|1|0|1|0|
Oil_uDgoScg_pOilMes_C|uint16|OILPROPPRESACQ|1|0|0|Oil_uDgoScg_pOilMes_C|0|0|Phys|V|1|5/4096|0|Diagnostic|Diagnostic||Oil_uDgoScg_pOilMes_C||2|||||||PTS_DOC_6978050|1|1||||1|0|0|Voltage below which the signal is in the area of low diagnostic (Short Circuit to Ground)|0|0|4096|0|5|0|
