Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
EngSt_EveRst_OscDet|A|();|SCH.1|OSCDET|1|V02 NT 12 00679||||0|0|0|0|Evénement reset du calculateur
EngSt_SdlFast_OscDet|B|();|SCH.2|OSCDET|1|V02 NT 12 00679||||0|0|0|0|Moniteur rapide de la fonction démarreur
GDGAR_bGetFRM|A|(argin uint16 u16channel)boolean;|10|HEADER|1|NONE||||0|0|0|0|
OSCDET_vidInitOutput|B|();|FCT1.5|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Fonction d'initialisation des variable internes.
OSCDET_vidOscCheckFctCallInit|B|();|FCT1.1|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc est appellé lors de la perte des conditions de détection de stabilité
OSCDET_vidOscCheckStabDecision|A|();|FCT2.1|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc définit le mode de detection de la stabilité.
OSCDET_vidOscCheckStabIdlSpd|A|();|FCT1.3|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc vérifie l'indicateur de la stabilité du régime moteur au ralenti.
OSCDET_vidOscCheckStabilityInit|B|();|FCT1.4|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Bloc d'initialisation.
OSCDET_vidOscChekStabAirLd|A|();|FCT1.2|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc vérifie la stabilité de la charge d'air.
OSCDET_vidOscChekStabilityPeriod|A|();|FCT1.6|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc verifie la période de stabilité du point de fonctionnement moteur.
OSCDET_vidOscEngAirLoadExtrCmpt|A|();|FCT1.8|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc calcule les valeurs maximale et minimale de la charge d'air.
OSCDET_vidOscEngAirLoadStabCompt|A|();|FCT1.7|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc calcule la stabilité de la charge d'air.
OSCDET_vidOscEngSpeedExtrCmpt|A|();|FCT1.10|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc calcule les valeurs maximale et minimale du régime moteur observées pendant une période.
OSCDET_vidOscEngSpeedStabCmpt|A|();|FCT1.9|OSCDET|0|V02 NT 12 00679||||0|0|0|0|Ce bloc calcule l'indicateur de stabilité du régime moteur au ralenti.
SWFAIL_vidSoftwareErrorHook|A|();|HEADER.3|HEADER|1|NONE||||0|0|0|0|
