Name|Type|Requirement
Srv_PostEquIndice_C|0|VEMS_E_12_04585_001.01
Srv_bInhSAFstWrPosEq_C|0|VEMS_E_12_04585_001.01
Srv_prmPostEquMax_C|0|VEMS_E_12_04585_001.01
Srv_prmPostEquMin_C|0|VEMS_E_12_04585_001.01
Srv_tiDelayPostEqu_C|0|VEMS_E_12_04585_001.01
Ext_spdVehVSMaxPrmaReq1|0|VEMS_E_12_04585_001.01
Ext_spdVehVSMaxPrmaReq2|0|VEMS_E_12_04585_001.01
Srv_PostEquIndice|0|VEMS_E_12_04585_001.01
Srv_bPostEquDone|0|VEMS_E_12_04585_001.01
Srv_stPostEquEcuStatus|0|VEMS_E_12_04585_001.01
Srv_SdlFast_PostEquSrv|1|VEMS_E_12_04585_001.01
Srv_EveRst_PostEqu|1|VEMS_E_12_04585_001.01
Srv_EvePostEqu_PostEquSrv|1|VEMS_E_12_04585_001.01
Srv_EveSa_PostEquSrv|1|VEMS_E_12_04585_001.01
