Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPTStNew_stEng|uint8|HEADER|1|0|0|CoPTStNew_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTStNew_stEng||1||||||||0|1||||1|0|0||0|1|9|1|9|0|
CoSync_bDetNNull|boolean|HEADER|1|0|0|CoSync_bDetNNull|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bDetNNull||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bOilPropPresAcq|boolean|HEADER|1|0|0|Ctrl_bOilPropPresAcq|0|0|Phys|bool|2|0||Cf|Cf||Ctrl_bOilPropPresAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bAcvCohDiagPresSen|boolean|PRESDIAGCOH|0|0|0|DgSen_bAcvCohDiagPresSen|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bAcvCohDiagPresSen||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bAirPrssExtSdwn|boolean|PRESDIAGCOH|0|0|0|DgSen_bAirPrssExtSdwn|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bAirPrssExtSdwn||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bAirPrssExtSup|boolean|PRESDIAGCOH|0|0|0|DgSen_bAirPrssExtSup|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bAirPrssExtSup||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bDgoAirPrssExtSdwn|boolean|PRESDIAGCOH|0|0|0|DgSen_bDgoAirPrssExtSdwn|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bDgoAirPrssExtSdwn||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bDgoAirPrssExtSup|boolean|PRESDIAGCOH|0|0|0|DgSen_bDgoAirPrssExtSup|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bDgoAirPrssExtSup||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bDgoOilPrssSdwnORng|boolean|PRESDIAGCOH|0|0|0|DgSen_bDgoOilPrssSdwnORng|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bDgoOilPrssSdwnORng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DgSen_bDgoOilPrssSupORng|boolean|PRESDIAGCOH|0|0|0|DgSen_bDgoOilPrssSupORng|0|0|Phys|bool|2|0||Divers|Divers||DgSen_bDgoOilPrssSupORng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
