Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Acqui_diag_pompe_ess_pwd_per|uint32|HEADER|1|0|0|Acqui_diag_pompe_ess_pwd_per|0|0|Phys|ns|1|100|0|divers|divers||Acqui_diag_pompe_ess_pwd_per||1||||||||0|1||||1|0|0||0|0|2500001|0|250000100|0
Acqui_diag_pompe_ess_pwd_rco|uint16|HEADER|1|0|0|Acqui_diag_pompe_ess_pwd_rco|0|0|Phys|%|1|100/32768|0|divers|divers||Acqui_diag_pompe_ess_pwd_rco||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Commande_pompe_ess_pwm|uint16|PROPFUPMP|1|0|0|Commande_pompe_ess_pwm|0|0|Phys|%|1|100/32768|0|divers|divers||Commande_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|32768|0|100|0
Ctrl_bAcv_FuTnkPmp|boolean|HEADER|1|0|0|Ctrl_bAcv_FuTnkPmp|0|0|Phys|bool|2|0||divers|divers||Ctrl_bAcv_FuTnkPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Ctrl_bInhCmd_FuTnkPmp|boolean|PROPFUPMP|0|0|0|Ctrl_bInhCmd_FuTnkPmp|0|0|Phys|bool|2|0||divers|divers||Ctrl_bInhCmd_FuTnkPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_oc_pompe_ess_pwm|boolean|HEADER|1|0|0|Dena_oc_pompe_ess_pwm|0|0|Phys|bool|2|0||divers|divers||Dena_oc_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scg_pompe_ess_pwm|boolean|HEADER|1|0|0|Dena_scg_pompe_ess_pwm|0|0|Phys|bool|2|0||divers|divers||Dena_scg_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dena_scp_pompe_ess_pwm|boolean|HEADER|1|0|0|Dena_scp_pompe_ess_pwm|0|0|Phys|bool|2|0||divers|divers||Dena_scp_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dft_oc_pompe_ess_pwm|boolean|HEADER|1|0|0|Dft_oc_pompe_ess_pwm|0|0|Phys|bool|2|0||divers|divers||Dft_oc_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
Dft_scg_pompe_ess_pwm|boolean|HEADER|1|0|0|Dft_scg_pompe_ess_pwm|0|0|Phys|bool|2|0||divers|divers||Dft_scg_pompe_ess_pwm||1||||||||0|1||||1|0|0||0|0|1|0|1|0
