Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
Conf_alimentation_ac|uint8|PWRSEN_ACQ|1|0|0|Conf_alimentation_ac|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Conf_alimentation_ac||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour l'air conditionné|0|0|11|0|11|0
Conf_alimentation_air_pts|uint8|PWRSEN_ACQ|1|0|0|Conf_alimentation_air_pts|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Conf_alimentation_air_pts||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour les capteurs de pression et de température d'air|0|0|11|0|11|0
Conf_alimentation_aps|uint8|PWRSEN_ACQ|1|0|0|Conf_alimentation_aps|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Conf_alimentation_aps||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de position de la pédale d'accélération|0|0|11|0|11|0
Conf_alimentation_pmast|uint8|PWRSEN_ACQ|1|0|0|Conf_alimentation_pmast|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Conf_alimentation_pmast||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de dépression MASTERVAC|0|0|11|0|11|0
Conf_alimentation_thr|uint8|PWRSEN_ACQ|1|0|0|Conf_alimentation_thr|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Conf_alimentation_thr||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de position papillon|0|0|11|0|11|0
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0||-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0
Ext_idxAccP2Cf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxAccP2Cf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxAccP2Cf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de la pédale d'accélération 2|0|0|11|0|11|0
Ext_idxBoostPresCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxBoostPresCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxBoostPresCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de la pression de suralimentation|0|0|11|0|11|0
Ext_idxCluPosnCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxCluPosnCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxCluPosnCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de position de l'embrayage|0|0|11|0|11|0
Ext_idxExCmCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxExCmCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxExCmCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de position arbre à cames (AAC) d'échappement|0|0|11|0|11|0
Ext_idxInCmCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxInCmCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxInCmCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de position arbre à cames (AAC) d'admission|0|0|11|0|11|0
Ext_idxnEngCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxnEngCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxnEngCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de régime moteur Uni ou bidirectionnelle|0|0|11|0|11|0
Ext_idxNeutCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxNeutCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxNeutCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de point mort BVM|0|0|11|0|11|0
Ext_idxPfuCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxPfuCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxPfuCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur pression rail.|0|0|11|0|11|0
Ext_idxptOilCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxptOilCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxptOilCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de pression et de température d'huile.|0|0|11|0|11|0
Ext_idxTrbActCf_C|uint8|PWRSEN_ACQ|1|0|0|Ext_idxTrbActCf_C|0|0|Phys|-|1|1|0|Electric_Mng|Electric_Mng||Ext_idxTrbActCf_C||2|||||||PTS_DOC_6538484|1|1||||1|0|0|Calibration qui détermine quelle mesure de la tension d'alimentation est selectionnée pour le capteur de position de la soupape Wastegate.|0|0|11|0|11|0
Ext_uAccP1SenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uAccP1SenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uAccP1SenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_uAccP2SenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uAccP2SenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uAccP2SenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_uCluPosnSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uCluPosnSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uCluPosnSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_uExCmSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uExCmSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uExCmSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_uInCmSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uInCmSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uInCmSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_unEngSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_unEngSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_unEngSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_uNeutSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uNeutSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uNeutSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_upAcSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_upAcSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_upAcSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_upBoostSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_upBoostSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_upBoostSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
Ext_uPfuSenPwr|uint16|PWRSEN_ACQ|1|0|0|Ext_uPfuSenPwr|0|0|Phys|V|1|0.001220703125|0|Electric_Mng|Electric_Mng||Ext_uPfuSenPwr||1||||||||0|1||||1|0|0||0|0|65535|0|79.998779296875|0
