Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CRC_u8CRC_NOK|uint8|HEADER|1|0|0|CRC_u8CRC_NOK|0|0|Phys|-|||||||CRC_u8CRC_NOK||3||||||||0|1|||0|0|0|0||0|||||0|
CRC_u8CRC_OK|uint8|HEADER|1|0|0|CRC_u8CRC_OK|0|0|Phys|-|||||||CRC_u8CRC_OK||3||||||||0|1|||1|0|0|0||0|||||0|
DCM_CANCEL|uint8|HEADER|1|0|0|DCM_CANCEL|0|0|Phys|-|||||||DCM_CANCEL||3||||||||0|1|||0x02|0|0|0||0|||||0|
DCM_E_BUSYREPEATREQUEST|uint8|HEADER|1|0|0|DCM_E_BUSYREPEATREQUEST|0|0|Phys|-|||||||DCM_E_BUSYREPEATREQUEST||3||||||||0|1|||0x21|0|0|0||0|||||0|
DCM_E_CONDITIONSNOTCORRECT|uint8|HEADER|1|0|0|DCM_E_CONDITIONSNOTCORRECT|0|0|Phys|-|||||||DCM_E_CONDITIONSNOTCORRECT||3||||||||0|1|||0x22|0|0|0||0|||||0|
DCM_E_GENERALPROGRAMMINGFAILURE|uint8|HEADER|1|0|0|DCM_E_GENERALPROGRAMMINGFAILURE|0|0|Phys|-|||||||DCM_E_GENERALPROGRAMMINGFAILURE||3||||||||0|1|||0x72|0|0|0||0|||||0|
DCM_E_GENERALREJECT|uint8|HEADER|1|0|0|DCM_E_GENERALREJECT|0|0|Phys|-|||||||DCM_E_GENERALREJECT||3||||||||0|1|||0x10|0|0|0||0|||||0|
DCM_E_INCORRECTLENGTH|uint8|HEADER|1|0|0|DCM_E_INCORRECTLENGTH|0|0|Phys|-|||||||DCM_E_INCORRECTLENGTH||3||||||||0|1|||0x13|0|0|0||0|||||0|
DCM_E_REQUESTOUTOFRANGE|uint8|HEADER|1|0|0|DCM_E_REQUESTOUTOFRANGE|0|0|Phys|-|||||||DCM_E_REQUESTOUTOFRANGE||3||||||||0|1|||0x31|0|0|0||0|||||0|
DCM_INITIAL|uint8|HEADER|1|0|0|DCM_INITIAL|0|0|Phys|-|||||||DCM_INITIAL||3||||||||0|1|||0x00|0|0|0||0|||||0|
DCM_PENDING|uint8|HEADER|1|0|0|DCM_PENDING|0|0|Phys|-|||||||DCM_PENDING||3||||||||0|1|||0x01|0|0|0||0|||||0|
DIAG_DISPO|uint8|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
E_PENDING|uint8|HEADER|1|0|0|E_PENDING|0|0|Phys|-|||||||E_PENDING||3||||||||0|1|||10|0|0|0||0|||||0|
GD_DFT_INV_CALID|uint16|HEADER|1|0|0|GD_DFT_INV_CALID|0|0|Phys|-|||||||GD_DFT_INV_CALID||3||||||||0|1|||0x164|0|0|0||0|||||0|
