Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
CRC_bCheck|A|func_CRC_bCheck|API1.2|HEADER|1|V02 NT 09 03344||||0|0|0|0|Check the CRC of the frame|
GDGAR_vidGdu|A|(argin uint16 u16IdxDft, argin boolean bDgo, argin boolean bMonRun, argin boolean Ns_bMonWait);|17|HEADER|1|NONE||||0|0|0|0||
GDGAR_vidGUS|A|(argin uint16 u16idxDefaut, argin boolean bDgo);|API1.1|HEADER|1|NONE||||0|0|0|0|API for using GUS|
MEMSRV_vidSetU8|A|(argio uint8 *pu8Dest, argin uint8 u8Value, argin uint16 u16ElementNumber);|3|HEADER|1|NONE||||0|0|0|0||
NVMSRV_u8GetStatus|B|nvmsrv_u8writestatus|4|HEADER|1|V03 NT 08 04754||||0|0|0|0||
NVMSRV_u8WriteStatus|C|nvmsrv_u8writestatus|0x09|HEADER|1|V03 NT 09 00985||||0|0|0|0||
NVMSRV_vidRead|B|(argin NVMSRV_tudtObjectList udtObject);|0x02|HEADER|1|V03 NT 09 00985||||0|0|0|0||
NVMSRV_vidWrite|B|(argin NVMSRV_tudtObjectList udtObject, argin boolean bMode);|0x01|HEADER|1|V03 NT 09 00985||||0|0|0|0||
REFIDETA_CheckCondition|A|func_REFIDETA_CheckCondition|FCT1.3|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Evènement vérifiant les conditions de la Refideta|
REFIDETA_ConditionCheck_ReadData|A|func_checkCondition_ReadData|API.1|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Evènement vérifiant les conditions de lecture de la Refideta|
REFIDETA_Init|C|();|FCT1.1|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Initialisation of outputs|
REFIDETA_MainFunction|D|mainFonctionPrototype|API.1|REFIDETA|1|V02 NT 11 00995|VEMS V02 ECU#056261|||0|0|0|0|Fonction gérant l'automate de la ref_ident_etal de façon évènementielle|
REFIDETA_ReadData_Uds|A|func_readData|API.2|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Fonction de lecture de la REFIDETA via une requete UDS|
REFIDETA_ReadDataLength|A|func_readdatalength|1|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Fonction utilisée pour connaître la taille de la donnée REFIDENTETAL|
REFIDETA_sdlFast|A|();|FCT1.2|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Evènement fast de la Refideta|
REFIDETA_WriteData|A|func_writeData|API.3|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Fonction d'écriture de la REFIDETA|
Srv_EveCrcChkEnd_RefIdEta|A|();|.3|HEADER|1|NONE||||0|0|0|0||
Srv_EveRefIdOk_RefIdEta|A|();|.1|HEADER|1|NONE||||0|0|0|0||
Srv_EveRst_RefIdEta|B|();|SCH.1|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Function called at the initialisation|
Srv_EveTxSrv09_RefIdEta|A|();|.2|HEADER|1|NONE||||0|0|0|0||
Srv_SdlFast_RefIdEta|B|();|SCH.2|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|fonction call at the Fast KRN event|
SWFAIL_vidSoftwareErrorHook|A|();|1.1|HEADER|1|NONE||||0|0|0|0||
DCM_MANU_CheckADCCondition|C|func_DCM_MANU_CheckADCCondition|AllChecked.1|HEADER|1|V02NT1102667|V02NT1106050|||0|0|0|0|Check condition "ADC"|
DCM_MANU_CheckVehicleCondition|D|func_DCM_MANU_CheckVehicleCondition|AllChecked.1|HEADER|1|V02NT1102667|V02NT1106050|||0|0|0|0|Check condition "Véhicule non roulant / Moteurarrêté "|
REFIDETA_ReadData_Obd|A|func_readData|API.4|REFIDETA|1|V02 NT 11 00995||||0|0|0|0|Fonction de lecture de la REFIDETA via une requete OBDSRV09|
