Name|Type|Requirement
Rly_bActrTstCmd|0|VEMS_R_09_00440_030.00
Rly_bActrTstCmpl|0|VEMS_R_09_00440_030.00
Rly_btstInProgress|0|VEMS_R_09_00440_030.00
Rly_EveRst_ActTstPwrRly|1|VEMS_R_09_00440_030.00
Rly_SdlFast_ActTstPwrRly|1|VEMS_R_09_00440_030.00
RLYACTEST_vidInitOutput|1|VEMS_R_09_00440_030.00
RLYACTEST_vidTimeCmdPwrRly|1|VEMS_R_09_00440_030.00
RLYACTEST_vidTimeCmdPwrRly|1|VEMS_R_09_00440_032.00
RLYACTEST_vidTimeCmdPwrRly|1|VEMS_R_09_00440_033.00
TpsOff_ActrTstPwrRly|0|VEMS_R_09_00440_030.00
TpsOn_ActrTstPwrRly|0|VEMS_R_09_00440_030.00
TpsTot_ActrTstPwrRly|0|VEMS_R_09_00440_030.00
ActrTstRly_Tempo_C|0|VEMS_R_09_00872_001.01
Rly_bActrTstCmd|0|VEMS_R_09_00872_001.01
Rly_bActrTstCmpl|0|VEMS_R_09_00872_001.01
Rly_bTstInProgress|0|VEMS_R_09_00872_001.01
TpsOff_ActrTstPwrRly|0|VEMS_R_09_00872_001.01
TpsOn_ActrTstPwrRly|0|VEMS_R_09_00872_001.01
TpsTot_ActrTstPwrRly|0|VEMS_R_09_00872_001.01
Rly_EveRst_ActTstPwrRly|1|VEMS_R_09_00872_001.01
Rly_SdlFast_ActTstPwrRly|1|VEMS_R_09_00872_001.01
RLYACTEST_vidInitOutput|1|VEMS_R_09_00872_002.01
RLYACTEST_vidInitOutput|1|VEMS_R_09_00872_003.01
RLYACTEST_vidInitOutput|1|VEMS_R_09_00872_004.01
RLYACTEST_vidTimeCmdPwrRly|1|VEMS_R_09_00872_002.01
RLYACTEST_vidTimeCmdPwrRly|1|VEMS_R_09_00872_003.01
RLYACTEST_vidTimeCmdPwrRly|1|VEMS_R_09_00872_004.01
