Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
RlyPwr_tiWaitAcvModEcoBatt_C|uint16|RLYPWR|1|0|0|RlyPwr_tiWaitAcvModEcoBatt_C|0|0|Phys|ms|1|RlyPwr_SampleTiSlow_SC|0|Rly|Rly||RlyPwr_tiWaitAcvModEcoBatt_C||2|||||||PTS_DOC_5137464|1|1||||1|0|0|Durée de la tempo économie batterie|0|0|38250|0|7650000|0|
RlyPwr_tiWaitOp|uint16|RLYPWR|0|0|0|RlyPwr_tiWaitOp|0|0|Phys|ms|1|RlyPwr_SampleTiFast_SC|0|Rly|Rly||RlyPwr_tiWaitOp||1||||||||0|1||||1|0|0||0|0|65000|0|2600000|0|
RlyPwr_tiWaitOp_C|uint16|RLYPWR|1|0|0|RlyPwr_tiWaitOp_C|0|0|Phys|ms|1|RlyPwr_SampleTiFast_SC|0|Rly|Rly||RlyPwr_tiWaitOp_C||2|||||||PTS_DOC_5137464|1|1||||1|0|0|Durée de la boucle d'attente avant coupure du relais de puissance|0|0|65000|0|2600000|0|
RLYPWR_u8Inhib|uint8|RLYPWR|0|0|0|RLYPWR_u8Inhib|0|0|Hexa|-||||Rly|Rly||RLYPWR_u8Inhib||2|||||||PTS_DOC_5137464|1|1||||1|0|0|Calibration d'inhibition du module RLYPWR|0|0|255|0|255|0|
RLYPWR_u8PowercondstatePrev|uint8|RLYPWR|0|0|0|RLYPWR_u8PowercondstatePrev|0|0|Phys|-|1|1|0|Phases moteur|Phases moteur||RLYPWR_Power_conditions_state||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
RLYPWRMNG_ACTRCUTWAIT|bool|RLYPWR|0|0|0|RlyPwrMng_stPwrRlyCmd|0|4|Phys|bool|2|4||Rly|Rly||RLYPWRMNG_ACTRCUTWAIT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
RLYPWRMNG_CLOSE|bool|RLYPWR|0|0|0|RlyPwrMng_stPwrRlyCmd|0|3|Phys|bool|2|3||Rly|Rly||RLYPWRMNG_CLOSE||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
RLYPWRMNG_INITCLOSED|bool|RLYPWR|0|0|0|RlyPwrMng_stPwrRlyCmd|0|0|Phys|bool|2|0||Rly|Rly||RLYPWRMNG_INITCLOSED||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
RLYPWRMNG_INITOPEN|bool|RLYPWR|0|0|0|RlyPwrMng_stPwrRlyCmd|0|1|Phys|bool|2|1||Rly|Rly||RLYPWRMNG_INITOPEN||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
RLYPWRMNG_OPEN|bool|RLYPWR|0|0|0|RlyPwrMng_stPwrRlyCmd|0|2|Phys|bool|2|2||Rly|Rly||RLYPWRMNG_OPEN||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
