Name|Type|Requirement
Ext_bRvs|0|VEMS_R_09_04448_001.01
Ext_bRvs|0|VEMS_R_09_04448_002.01
Ext_bRvs|0|VEMS_R_09_04448_003.01
Ext_bRvs|0|VEMS_R_09_04448_006.01
Ext_bRvs|0|VEMS_R_09_04448_007.01
Ext_bRvsVld|0|VEMS_R_09_04448_001.01
Ext_bRvsVld|0|VEMS_R_09_04448_002.01
Ext_bRvsVld|0|VEMS_R_09_04448_003.01
Ext_bRvsVld|0|VEMS_R_09_04448_006.01
Ext_bRvsVld|0|VEMS_R_09_04448_007.01
Rear_gear_ratio_filt_max_thresh|0|VEMS_R_09_04448_001.01
Rear_gear_ratio_filt_max_thresh|0|VEMS_R_09_04448_002.01
Rear_gear_ratio_filt_max_thresh|0|VEMS_R_09_04448_003.01
Rear_gear_ratio_filt_max_thresh|0|VEMS_R_09_04448_006.01
Rear_gear_ratio_filt_max_thresh|0|VEMS_R_09_04448_007.01
RVSSTDIAG_u8Inhib|0|VEMS_R_09_04448_001.01
RVSSTDIAG_u8Inhib|0|VEMS_R_09_04448_002.01
RVSSTDIAG_u8Inhib|0|VEMS_R_09_04448_003.01
RVSSTDIAG_u8Inhib|0|VEMS_R_09_04448_006.01
RVSSTDIAG_u8Inhib|0|VEMS_R_09_04448_007.01
Gear_SdlMid_FctDiagRvsSt|1|VEMS_R_09_04448_001.01
Gear_SdlMid_FctDiagRvsSt|1|VEMS_R_09_04448_002.01
Gear_SdlMid_FctDiagRvsSt|1|VEMS_R_09_04448_003.01
Gear_SdlMid_FctDiagRvsSt|1|VEMS_R_09_04448_006.01
Gear_SdlMid_FctDiagRvsSt|1|VEMS_R_09_04448_007.01
RVSSTDIAG_vidEntryInit|1|VEMS_R_09_04448_001.01
RVSSTDIAG_vidEntryInit|1|VEMS_R_09_04448_002.01
RVSSTDIAG_vidEntryInit|1|VEMS_R_09_04448_003.01
RVSSTDIAG_vidEntryInit|1|VEMS_R_09_04448_006.01
RVSSTDIAG_vidEntryInit|1|VEMS_R_09_04448_007.01
Rear_gear_ratio_filt_max_thresh|0|VEMS_R_09_01180_001.02
Ext_bRvs|0|VEMS_R_09_01180_001.02
Ext_bRvsVld|0|VEMS_R_09_01180_001.02
Gear_SdlMid_FctDiagRvsSt|1|VEMS_R_09_01180_001.02
RVSSTDIAG_vidEntryInit|1|VEMS_R_09_01180_001.02
